X	Y
5.467	3.538
5.488	3.525
5.516	3.516
5.550	3.509
5.589	3.504
5.632	3.501
5.680	3.499
5.732	3.500
5.786	3.502
5.843	3.504
5.903	3.508
5.964	3.513
6.026	3.517
6.088	3.522
6.150	3.527
6.212	3.532
6.274	3.537
6.335	3.542
6.395	3.547
6.455	3.552
6.513	3.557
6.571	3.563
6.627	3.569
6.683	3.575
6.737	3.582
6.789	3.589
6.840	3.597
6.890	3.606
6.938	3.615
6.984	3.626
7.028	3.637
7.071	3.648
7.112	3.661
7.151	3.674
7.190	3.688
7.228	3.702
7.266	3.716
7.303	3.731
7.341	3.746
7.378	3.761
7.416	3.776
7.455	3.791
7.495	3.805
7.535	3.820
7.576	3.835
7.617	3.850
7.658	3.866
7.699	3.882
7.740	3.899
7.780	3.917
7.819	3.936
7.858	3.956
7.895	3.978
7.931	4.001
7.965	4.026
7.998	4.052
8.029	4.079
8.058	4.108
8.086	4.137
8.112	4.167
8.136	4.196
8.159	4.227
8.179	4.256
8.198	4.286
8.215	4.315
8.229	4.343
8.242	4.371
8.253	4.399
8.261	4.428
8.268	4.456
8.272	4.486
8.274	4.517
8.274	4.550
8.272	4.584
8.268	4.620
8.261	4.656
8.253	4.694
8.243	4.731
8.232	4.768
8.220	4.803
8.206	4.838
8.192	4.870
8.177	4.900
8.161	4.927
8.145	4.951
8.129	4.973
8.111	4.994
8.093	5.014
8.075	5.034
8.056	5.055
8.036	5.077
8.015	5.101
7.993	5.127
7.971	5.154
7.948	5.183
7.925	5.212
7.902	5.242
7.879	5.272
7.855	5.302
7.832	5.331
7.809	5.360
7.786	5.387
7.764	5.412
7.742	5.436
7.720	5.460
7.697	5.482
7.675	5.503
7.652	5.523
7.628	5.543
7.603	5.563
7.578	5.582
7.551	5.601
7.524	5.619
7.495	5.637
7.466	5.655
7.436	5.672
7.405	5.688
7.374	5.703
7.341	5.718
7.308	5.732
7.275	5.744
7.241	5.756
7.206	5.767
7.171	5.777
7.137	5.785
7.102	5.792
7.067	5.798
7.032	5.802
6.998	5.805
6.964	5.807
6.931	5.807
6.898	5.806
6.867	5.805
6.836	5.804
6.806	5.804
6.778	5.805
6.751	5.807
6.725	5.812
6.702	5.820
6.679	5.830
6.658	5.841
6.637	5.852
6.617	5.863
6.596	5.872
6.575	5.879
6.554	5.883
6.531	5.884
6.507	5.884
6.481	5.882
6.454	5.878
6.424	5.874
6.392	5.870
6.358	5.866
6.321	5.862
6.283	5.857
6.242	5.851
6.201	5.844
6.159	5.835
6.116	5.825
6.073	5.812
6.030	5.797
5.988	5.779
5.947	5.757
5.906	5.732
5.868	5.704
5.830	5.672
5.795	5.637
5.760	5.599
5.727	5.559
5.696	5.517
5.666	5.473
5.637	5.428
5.610	5.381
5.585	5.334
5.561	5.286
5.538	5.238
5.517	5.190
5.497	5.142
5.479	5.095
5.462	5.048
5.447	5.002
5.433	4.956
5.421	4.910
5.409	4.864
5.399	4.819
5.391	4.774
5.383	4.728
5.377	4.682
5.372	4.636
5.368	4.590
5.365	4.543
5.363	4.495
5.362	4.447
5.362	4.399
5.362	4.352
5.364	4.304
5.366	4.258
5.369	4.212
5.372	4.168
5.375	4.125
5.379	4.084
5.384	4.045
5.388	4.009
5.392	3.975
5.397	3.943
5.401	3.914
5.406	3.887
5.410	3.861
5.414	3.836
5.418	3.813
5.422	3.789
5.425	3.767
5.428	3.744
5.430	3.722
5.432	3.699
5.434	3.677
5.435	3.655
5.435	3.633
5.436	3.611
5.438	3.590
5.443	3.571
5.452	3.553
5.467	3.538
