X	Y
25.366	12.822
25.379	12.694
25.401	12.560
25.431	12.422
25.470	12.278
25.518	12.130
25.575	11.977
25.642	11.820
25.718	11.660
25.805	11.495
25.902	11.327
26.009	11.155
26.127	10.981
26.254	10.803
26.390	10.622
26.534	10.439
26.685	10.252
26.843	10.063
27.008	9.871
27.178	9.677
27.352	9.480
27.531	9.280
27.713	9.078
27.899	8.874
28.086	8.668
28.275	8.459
28.464	8.248
28.654	8.035
28.844	7.821
29.034	7.606
29.224	7.391
29.414	7.176
29.604	6.962
29.794	6.751
29.984	6.541
30.175	6.335
30.365	6.133
30.556	5.935
30.747	5.742
30.938	5.555
31.130	5.374
31.321	5.200
31.513	5.035
31.705	4.877
31.898	4.729
32.090	4.591
32.282	4.464
32.472	4.348
32.661	4.246
32.847	4.159
33.029	4.087
33.208	4.031
33.381	3.993
33.549	3.974
33.711	3.975
33.866	3.997
34.014	4.041
34.153	4.107
34.285	4.194
34.409	4.300
34.525	4.424
34.634	4.562
34.735	4.715
34.830	4.879
34.917	5.053
34.998	5.236
35.072	5.425
35.139	5.619
35.200	5.816
35.255	6.016
35.304	6.219
35.348	6.423
35.386	6.630
35.420	6.837
35.449	7.045
35.474	7.254
35.496	7.463
35.513	7.672
35.528	7.880
35.539	8.087
35.548	8.293
35.554	8.496
35.558	8.699
35.559	8.899
35.555	9.098
35.547	9.294
35.534	9.489
35.515	9.683
35.489	9.874
35.457	10.064
35.417	10.252
35.369	10.438
35.312	10.623
35.246	10.806
35.171	10.987
35.087	11.165
34.994	11.341
34.894	11.514
34.787	11.682
34.674	11.847
34.554	12.007
34.430	12.161
34.301	12.310
34.169	12.453
34.033	12.589
33.895	12.718
33.755	12.840
33.613	12.955
33.468	13.062
33.320	13.164
33.170	13.260
33.017	13.351
32.860	13.437
32.700	13.520
32.535	13.598
32.367	13.674
32.194	13.747
32.017	13.818
31.835	13.887
31.649	13.955
31.461	14.021
31.271	14.086
31.081	14.150
30.891	14.213
30.703	14.275
30.517	14.337
30.334	14.398
30.156	14.458
29.983	14.518
29.817	14.578
29.657	14.638
29.504	14.697
29.355	14.755
29.210	14.810
29.068	14.862
28.927	14.910
28.787	14.953
28.645	14.991
28.501	15.022
28.353	15.047
28.202	15.064
28.046	15.074
27.886	15.079
27.723	15.079
27.557	15.076
27.389	15.070
27.218	15.063
27.045	15.056
26.871	15.050
26.696	15.045
26.521	15.043
26.346	15.043
26.176	15.042
26.014	15.038
25.862	15.028
25.725	15.010
25.605	14.981
25.505	14.938
25.429	14.878
25.379	14.801
25.353	14.706
25.347	14.600
25.354	14.485
25.370	14.367
25.391	14.248
25.410	14.135
25.423	14.030
25.431	13.932
25.433	13.840
25.430	13.751
25.423	13.663
25.414	13.573
25.402	13.480
25.389	13.382
25.377	13.280
25.368	13.173
25.362	13.061
25.361	12.944
25.366	12.822
