X	Y
25.551	14.951
25.666	14.914
25.799	14.906
25.949	14.923
26.115	14.963
26.294	15.022
26.484	15.097
26.684	15.185
26.893	15.283
27.108	15.387
27.327	15.495
27.550	15.603
27.774	15.709
27.999	15.812
28.225	15.914
28.452	16.014
28.680	16.114
28.907	16.213
29.135	16.312
29.363	16.411
29.591	16.512
29.819	16.615
30.046	16.719
30.272	16.826
30.498	16.936
30.722	17.050
30.945	17.167
31.167	17.288
31.385	17.413
31.600	17.541
31.810	17.672
32.014	17.805
32.212	17.940
32.403	18.076
32.585	18.214
32.758	18.352
32.922	18.491
33.074	18.630
33.214	18.769
33.342	18.906
33.456	19.043
33.558	19.181
33.647	19.318
33.724	19.457
33.789	19.598
33.843	19.741
33.884	19.888
33.915	20.038
33.935	20.192
33.945	20.351
33.944	20.512
33.934	20.675
33.914	20.838
33.885	21.000
33.847	21.158
33.800	21.312
33.746	21.461
33.683	21.602
33.613	21.736
33.535	21.862
33.449	21.981
33.356	22.095
33.255	22.204
33.147	22.309
33.032	22.410
32.909	22.509
32.778	22.606
32.641	22.701
32.497	22.794
32.346	22.885
32.190	22.973
32.028	23.059
31.861	23.142
31.690	23.222
31.514	23.298
31.335	23.370
31.152	23.439
30.966	23.503
30.777	23.563
30.586	23.618
30.393	23.668
30.199	23.712
30.004	23.750
29.809	23.782
29.613	23.807
29.417	23.825
29.222	23.836
29.027	23.839
28.835	23.833
28.643	23.819
28.453	23.796
28.264	23.763
28.076	23.720
27.890	23.666
27.705	23.601
27.522	23.524
27.339	23.434
27.158	23.332
26.978	23.217
26.800	23.088
26.623	22.946
26.450	22.792
26.281	22.627
26.117	22.453
25.959	22.270
25.809	22.079
25.668	21.883
25.536	21.681
25.414	21.475
25.304	21.265
25.207	21.055
25.124	20.843
25.056	20.632
25.002	20.422
24.962	20.212
24.932	20.005
24.913	19.799
24.901	19.594
24.895	19.391
24.894	19.190
24.896	18.991
24.900	18.794
24.902	18.599
24.903	18.407
24.901	18.218
24.896	18.031
24.890	17.849
24.884	17.672
24.881	17.501
24.883	17.336
24.890	17.179
24.904	17.030
24.928	16.891
24.962	16.761
25.006	16.641
25.057	16.531
25.108	16.428
25.157	16.333
25.198	16.243
25.226	16.157
25.240	16.075
25.242	15.993
25.236	15.908
25.230	15.815
25.227	15.712
25.232	15.597
25.249	15.472
25.278	15.345
25.321	15.222
25.380	15.111
25.456	15.019
25.551	14.951
