X,Y
276.500,139.000
277.452,138.464
278.731,137.990
280.309,137.575
282.160,137.215
284.255,136.907
286.568,136.648
289.071,136.434
291.737,136.263
294.539,136.130
297.448,136.033
300.439,135.969
303.484,135.933
306.554,135.923
309.624,135.936
312.665,135.968
315.651,136.016
318.565,136.079
321.409,136.157
324.187,136.254
326.901,136.371
329.556,136.510
332.155,136.672
334.702,136.860
337.200,137.076
339.652,137.321
342.062,137.598
344.434,137.907
346.771,138.252
349.077,138.634
351.354,139.055
353.608,139.517
355.840,140.021
358.054,140.570
360.243,141.162
362.401,141.796
364.523,142.472
366.600,143.188
368.628,143.943
370.598,144.735
372.506,145.565
374.344,146.431
376.106,147.331
377.785,148.265
379.375,149.231
380.869,150.229
382.262,151.258
383.555,152.318
384.751,153.414
385.856,154.548
386.875,155.724
387.810,156.943
388.668,158.210
389.453,159.526
390.169,160.896
390.821,162.322
391.412,163.806
391.946,165.349
392.420,166.947
392.834,168.600
393.190,170.304
393.485,172.057
393.720,173.858
393.894,175.703
394.007,177.591
394.059,179.520
394.049,181.486
393.977,183.489
393.841,185.523
393.638,187.582
393.362,189.659
393.010,191.745
392.577,193.833
392.058,195.915
391.449,197.983
390.746,200.031
389.945,202.051
389.040,204.034
388.028,205.973
386.904,207.861
385.664,209.690
384.303,211.452
382.827,213.145
381.242,214.767
379.557,216.316
377.781,217.792
375.921,219.192
373.987,220.517
371.985,221.765
369.926,222.934
367.816,224.024
365.665,225.033
363.480,225.959
361.270,226.802
359.043,227.561
356.807,228.234
354.570,228.819
352.333,229.314
350.098,229.714
347.865,230.015
345.635,230.214
343.408,230.307
341.186,230.289
338.968,230.157
336.756,229.908
334.551,229.536
332.353,229.039
330.163,228.412
327.981,227.652
325.809,226.755
323.648,225.717
321.502,224.546
319.380,223.251
317.287,221.846
315.232,220.340
313.221,218.745
311.263,217.072
309.363,215.332
307.530,213.537
305.770,211.697
304.092,209.824
302.501,207.929
301.005,206.024
299.613,204.119
298.329,202.225
297.163,200.355
296.116,198.515
295.177,196.704
294.330,194.917
293.560,193.151
292.852,191.402
292.191,189.665
291.562,187.936
290.949,186.211
290.338,184.487
289.714,182.758
289.060,181.022
288.363,179.273
287.610,177.509
286.805,175.738
285.962,173.970
285.092,172.215
284.207,170.485
283.319,168.791
282.440,167.143
281.583,165.552
280.759,164.029
279.981,162.584
279.260,161.229
278.609,159.974
278.034,158.819
277.534,157.739
277.104,156.709
276.740,155.701
276.439,154.689
276.195,153.645
276.006,152.545
275.867,151.367
275.768,150.129
275.700,148.855
275.654,147.572
275.620,146.304
275.587,145.078
275.548,143.919
275.490,142.852
275.427,141.894
275.422,141.039
275.550,140.278
275.885,139.602
276.500,139.000
