X,Y
33.509,14.145
33.530,14.100
33.556,14.058
33.587,14.016
33.623,13.976
33.664,13.937
33.709,13.899
33.759,13.861
33.812,13.824
33.870,13.788
33.931,13.752
33.996,13.715
34.064,13.679
34.136,13.643
34.210,13.606
34.287,13.570
34.367,13.533
34.450,13.496
34.535,13.459
34.622,13.421
34.712,13.384
34.803,13.346
34.897,13.307
34.992,13.269
35.088,13.230
35.186,13.191
35.286,13.152
35.386,13.112
35.487,13.072
35.590,13.031
35.693,12.991
35.796,12.949
35.900,12.908
36.004,12.866
36.109,12.823
36.214,12.781
36.320,12.738
36.426,12.695
36.532,12.651
36.638,12.608
36.744,12.564
36.851,12.520
36.957,12.476
37.064,12.431
37.170,12.387
37.276,12.342
37.382,12.298
37.488,12.253
37.594,12.208
37.699,12.164
37.804,12.119
37.908,12.074
38.012,12.030
38.116,11.985
38.219,11.941
38.322,11.896
38.425,11.851
38.527,11.807
38.630,11.762
38.732,11.717
38.835,11.672
38.937,11.627
39.040,11.582
39.143,11.536
39.246,11.491
39.349,11.445
39.453,11.399
39.557,11.352
39.662,11.305
39.767,11.258
39.873,11.211
39.980,11.163
40.087,11.114
40.195,11.066
40.305,11.016
40.414,10.967
40.525,10.917
40.636,10.867
40.747,10.817
40.859,10.766
40.971,10.716
41.082,10.666
41.194,10.616
41.306,10.566
41.417,10.516
41.527,10.467
41.637,10.418
41.747,10.370
41.855,10.322
41.963,10.275
42.070,10.229
42.175,10.183
42.279,10.139
42.382,10.095
42.483,10.053
42.583,10.011
42.681,9.971
42.777,9.932
42.872,9.894
42.965,9.857
43.057,9.822
43.148,9.788
43.238,9.756
43.328,9.725
43.417,9.695
43.506,9.667
43.595,9.640
43.683,9.615
43.772,9.592
43.861,9.570
43.951,9.550
44.041,9.532
44.132,9.515
44.224,9.500
44.317,9.487
44.411,9.476
44.507,9.466
44.602,9.459
44.698,9.454
44.794,9.451
44.890,9.450
44.985,9.452
45.080,9.456
45.174,9.463
45.266,9.472
45.357,9.484
45.447,9.498
45.534,9.516
45.620,9.536
45.703,9.560
45.783,9.586
45.860,9.616
45.935,9.649
46.005,9.685
