X,Y
33.377,15.110
33.430,15.072
33.500,15.042
33.584,15.018
33.680,14.999
33.785,14.983
33.895,14.970
34.008,14.959
34.120,14.949
34.228,14.937
34.330,14.924
34.426,14.910
34.516,14.894
34.603,14.878
34.687,14.861
34.769,14.844
34.852,14.828
34.935,14.813
35.021,14.800
35.109,14.788
35.201,14.778
35.294,14.771
35.390,14.766
35.487,14.764
35.586,14.764
35.685,14.767
35.785,14.773
35.885,14.781
35.984,14.794
36.083,14.809
36.181,14.826
36.278,14.846
36.375,14.868
36.470,14.892
36.564,14.917
36.657,14.943
36.748,14.970
36.838,14.997
36.926,15.025
37.014,15.055
37.101,15.086
37.187,15.119
37.275,15.155
37.363,15.194
37.453,15.237
37.545,15.284
37.639,15.335
37.735,15.391
37.832,15.452
37.929,15.515
38.026,15.582
38.122,15.652
38.216,15.724
38.306,15.798
38.393,15.874
38.474,15.950
38.550,16.027
38.620,16.103
38.683,16.180
38.742,16.257
38.796,16.335
38.848,16.413
38.897,16.493
38.946,16.575
38.996,16.658
39.046,16.744
39.099,16.832
39.155,16.922
39.212,17.014
39.268,17.107
39.323,17.199
39.374,17.290
39.420,17.378
39.460,17.464
39.493,17.546
39.516,17.623
39.528,17.695
39.529,17.762
39.518,17.825
39.495,17.885
39.459,17.944
39.411,18.002
39.348,18.060
39.273,18.119
39.188,18.179
39.093,18.237
38.991,18.295
38.885,18.352
38.775,18.406
38.665,18.458
38.555,18.506
38.448,18.551
38.346,18.592
38.249,18.628
38.159,18.660
38.073,18.687
37.990,18.712
37.908,18.733
37.827,18.752
37.746,18.769
37.661,18.785
37.574,18.800
37.482,18.814
37.388,18.827
37.293,18.840
37.197,18.852
37.102,18.864
37.009,18.876
36.919,18.887
36.834,18.898
36.755,18.910
36.681,18.920
36.609,18.930
36.539,18.936
36.469,18.940
36.395,18.938
36.317,18.932
36.233,18.919
36.141,18.899
36.044,18.873
35.942,18.841
35.838,18.805
35.732,18.763
35.626,18.717
35.521,18.667
35.419,18.614
35.321,18.559
35.229,18.500
35.143,18.441
35.062,18.380
34.985,18.318
34.911,18.257
34.839,18.198
34.767,18.140
34.694,18.084
34.619,18.032
34.541,17.983
34.459,17.939
34.374,17.899
34.287,17.860
34.201,17.821
34.118,17.782
34.038,17.741
33.964,17.695
33.897,17.645
33.840,17.588
33.792,17.524
33.752,17.455
33.720,17.381
33.694,17.305
33.673,17.227
33.657,17.149
33.642,17.073
33.630,16.998
33.618,16.927
33.608,16.857
33.599,16.789
33.590,16.722
33.581,16.655
33.573,16.589
33.565,16.523
33.555,16.457
33.543,16.394
33.528,16.333
33.508,16.275
33.483,16.222
33.453,16.173
33.419,16.127
33.387,16.083
33.357,16.038
33.335,15.992
33.322,15.942
33.318,15.889
33.320,15.834
33.325,15.777
33.331,15.720
33.337,15.664
33.340,15.608
33.341,15.552
33.340,15.495
33.337,15.438
33.332,15.380
33.326,15.320
33.323,15.262
33.328,15.206
33.344,15.155
33.377,15.110
