X,Y
18.992,24.186
19.026,24.146
19.074,24.104
19.134,24.062
19.206,24.019
19.287,23.975
19.378,23.932
19.477,23.888
19.582,23.845
19.694,23.802
19.811,23.761
19.932,23.720
20.056,23.681
20.182,23.643
20.309,23.607
20.436,23.573
20.561,23.542
20.685,23.513
20.806,23.486
20.927,23.462
21.045,23.439
21.163,23.418
21.279,23.399
21.394,23.382
21.508,23.366
21.622,23.351
21.735,23.337
21.847,23.324
21.959,23.312
22.071,23.300
22.182,23.289
22.294,23.278
22.406,23.267
22.519,23.256
22.631,23.245
22.745,23.234
22.858,23.223
22.973,23.211
23.087,23.200
23.203,23.190
23.318,23.180
23.434,23.170
23.551,23.161
23.668,23.153
23.786,23.146
23.904,23.140
24.022,23.135
24.141,23.132
24.260,23.130
24.380,23.129
24.500,23.130
24.621,23.133
24.742,23.138
24.863,23.144
24.984,23.152
25.105,23.162
25.225,23.172
25.345,23.185
25.464,23.198
25.583,23.212
25.700,23.227
25.816,23.243
25.931,23.259
26.044,23.277
26.155,23.294
26.264,23.312
26.372,23.331
26.476,23.349
26.579,23.368
26.679,23.387
26.776,23.406
26.871,23.425
26.964,23.446
27.055,23.467
27.143,23.491
27.229,23.516
27.314,23.543
27.396,23.572
27.477,23.605
27.556,23.640
27.633,23.678
27.709,23.720
27.784,23.766
27.857,23.816
27.928,23.869
27.998,23.925
28.065,23.984
28.129,24.046
28.191,24.110
28.250,24.175
28.305,24.242
28.358,24.310
28.406,24.379
28.451,24.448
28.491,24.518
28.527,24.587
28.558,24.656
28.586,24.726
28.609,24.795
28.628,24.864
28.643,24.934
28.655,25.003
28.663,25.073
28.667,25.144
28.668,25.215
28.666,25.286
28.660,25.358
28.651,25.430
28.639,25.503
28.624,25.576
28.607,25.649
28.587,25.722
28.564,25.794
28.538,25.867
28.510,25.939
28.480,26.010
28.447,26.081
28.413,26.151
28.376,26.220
28.337,26.288
28.295,26.353
28.252,26.416
28.206,26.477
28.157,26.535
28.107,26.589
28.054,26.639
27.998,26.685
27.940,26.727
27.880,26.763
27.817,26.796
27.751,26.823
27.683,26.847
27.612,26.866
27.537,26.882
27.460,26.894
27.380,26.904
27.297,26.910
27.210,26.914
27.120,26.915
27.026,26.914
26.929,26.911
26.829,26.906
26.727,26.900
26.622,26.892
26.515,26.883
26.406,26.872
26.295,26.861
26.184,26.849
26.071,26.836
25.958,26.823
25.845,26.809
25.732,26.795
25.620,26.781
25.508,26.767
25.397,26.754
25.288,26.740
25.180,26.728
25.074,26.716
24.968,26.704
24.863,26.693
24.758,26.682
24.654,26.672
24.549,26.661
24.443,26.651
24.337,26.641
24.229,26.632
24.120,26.622
24.009,26.613
23.896,26.603
23.781,26.593
23.663,26.584
23.542,26.574
23.418,26.564
23.291,26.554
23.161,26.543
23.030,26.532
22.897,26.521
22.762,26.510
22.628,26.498
22.492,26.485
22.358,26.472
22.223,26.458
22.090,26.444
21.959,26.428
21.829,26.412
21.702,26.396
21.577,26.378
21.456,26.359
21.339,26.340
21.226,26.319
21.117,26.298
21.014,26.275
20.915,26.251
20.822,26.225
20.733,26.198
20.649,26.168
20.570,26.136
20.495,26.102
20.425,26.064
20.359,26.023
20.297,25.979
20.240,25.932
20.187,25.880
20.138,25.824
20.092,25.764
20.049,25.702
20.009,25.637
19.970,25.570
19.932,25.504
19.893,25.438
19.854,25.374
19.814,25.312
19.771,25.253
19.725,25.199
19.676,25.150
19.623,25.106
19.566,25.068
19.507,25.033
19.446,25.001
19.384,24.972
19.322,24.944
19.260,24.917
19.200,24.889
19.142,24.860
19.086,24.829
19.035,24.795
18.988,24.759
18.948,24.723
18.914,24.685
18.889,24.647
18.873,24.609
18.868,24.572
18.874,24.537
18.887,24.503
18.905,24.469
18.924,24.436
18.940,24.403
18.950,24.369
18.954,24.334
18.956,24.299
18.960,24.262
18.971,24.225
18.992,24.186
