X,Y
18.806,24.697
18.859,24.675
18.925,24.662
19.002,24.655
19.090,24.656
19.188,24.663
19.294,24.675
19.408,24.692
19.528,24.714
19.654,24.740
19.784,24.768
19.916,24.799
20.051,24.832
20.187,24.867
20.323,24.901
20.458,24.936
20.591,24.970
20.721,25.003
20.849,25.035
20.975,25.067
21.100,25.098
21.223,25.129
21.345,25.159
21.466,25.190
21.587,25.220
21.706,25.250
21.826,25.280
21.946,25.310
22.066,25.340
22.187,25.371
22.308,25.402
22.430,25.434
22.553,25.466
22.678,25.500
22.805,25.533
22.932,25.568
23.061,25.604
23.190,25.640
23.320,25.677
23.450,25.715
23.579,25.754
23.708,25.795
23.836,25.836
23.964,25.878
24.090,25.921
24.214,25.965
24.337,26.010
24.457,26.056
24.575,26.104
24.690,26.152
24.802,26.202
24.911,26.253
25.017,26.305
25.120,26.358
25.219,26.411
25.316,26.465
25.411,26.519
25.504,26.573
25.595,26.627
25.685,26.680
25.773,26.732
25.861,26.783
25.948,26.833
26.034,26.881
26.121,26.927
26.207,26.972
26.294,27.014
26.380,27.054
26.466,27.093
26.551,27.132
26.633,27.171
26.712,27.210
26.788,27.251
26.860,27.294
26.926,27.339
26.988,27.388
27.043,27.440
27.092,27.497
27.133,27.558
27.168,27.624
27.196,27.692
27.219,27.763
27.237,27.835
27.250,27.907
27.260,27.978
27.266,28.049
27.270,28.117
27.271,28.181
27.271,28.243
27.267,28.302
27.260,28.358
27.249,28.414
27.233,28.469
27.212,28.525
27.184,28.581
27.150,28.640
27.109,28.700
27.061,28.762
27.008,28.826
26.950,28.890
26.887,28.954
26.821,29.018
26.751,29.081
26.679,29.142
26.604,29.202
26.529,29.260
26.453,29.314
26.377,29.366
26.302,29.413
26.226,29.458
26.151,29.499
26.075,29.538
25.999,29.573
25.923,29.607
25.846,29.638
25.768,29.667
25.689,29.695
25.608,29.720
25.526,29.745
25.442,29.769
25.357,29.791
25.269,29.813
25.180,29.833
25.088,29.851
24.995,29.868
24.899,29.884
24.801,29.898
24.700,29.910
24.597,29.920
24.491,29.928
24.383,29.933
24.272,29.937
24.158,29.938
24.042,29.936
23.922,29.932
23.801,29.926
23.677,29.918
23.551,29.908
23.424,29.895
23.296,29.881
23.166,29.865
23.035,29.847
22.904,29.828
22.772,29.807
22.640,29.784
22.508,29.760
22.376,29.735
22.245,29.709
22.115,29.682
21.985,29.654
21.857,29.625
21.730,29.595
21.605,29.564
21.482,29.532
21.360,29.499
21.240,29.465
21.122,29.430
21.007,29.393
20.893,29.355
20.782,29.316
20.674,29.276
20.568,29.234
20.466,29.191
20.366,29.146
20.269,29.099
20.175,29.051
20.085,29.001
19.998,28.949
19.914,28.895
19.834,28.840
19.757,28.783
19.684,28.724
19.615,28.663
19.549,28.600
19.487,28.535
19.429,28.468
19.374,28.400
19.323,28.329
19.276,28.256
19.233,28.182
19.194,28.105
19.158,28.027
19.125,27.948
19.095,27.868
19.067,27.787
19.042,27.706
19.018,27.624
18.997,27.543
18.976,27.463
18.957,27.383
18.939,27.305
18.922,27.227
18.905,27.151
18.889,27.077
18.875,27.003
18.862,26.930
18.850,26.859
18.840,26.789
18.832,26.719
18.825,26.651
18.820,26.584
18.818,26.518
18.817,26.452
18.819,26.388
18.823,26.325
18.830,26.262
18.838,26.201
18.849,26.140
18.863,26.081
18.879,26.022
18.896,25.965
18.913,25.909
18.926,25.854
18.934,25.802
18.934,25.751
18.926,25.703
18.906,25.658
18.874,25.615
18.835,25.573
18.790,25.533
18.745,25.494
18.703,25.454
18.666,25.414
18.639,25.372
18.624,25.328
18.621,25.283
18.626,25.237
18.637,25.192
18.650,25.149
18.664,25.108
18.675,25.072
18.683,25.037
18.689,25.004
18.693,24.970
18.697,24.933
18.702,24.892
18.708,24.849
18.720,24.806
18.739,24.765
18.766,24.728
18.806,24.697
