X,Y
20.525,19.766
20.542,19.727
20.563,19.688
20.588,19.648
20.618,19.609
20.652,19.569
20.689,19.529
20.731,19.488
20.775,19.447
20.824,19.406
20.875,19.364
20.929,19.322
20.986,19.279
21.046,19.236
21.108,19.192
21.173,19.147
21.239,19.101
21.307,19.055
21.377,19.008
21.449,18.960
21.522,18.911
21.596,18.862
21.671,18.811
21.747,18.760
21.823,18.707
21.900,18.653
21.977,18.598
22.054,18.542
22.131,18.485
22.208,18.427
22.284,18.367
22.360,18.306
22.435,18.244
22.510,18.180
22.585,18.116
22.659,18.051
22.732,17.984
22.806,17.917
22.879,17.849
22.952,17.780
23.024,17.710
23.097,17.639
23.169,17.568
23.241,17.496
23.313,17.424
23.384,17.351
23.456,17.278
23.528,17.205
23.599,17.131
23.671,17.056
23.742,16.982
23.814,16.907
23.886,16.833
23.958,16.758
24.030,16.683
24.102,16.608
24.174,16.534
24.247,16.459
24.319,16.385
24.392,16.311
24.466,16.237
24.539,16.164
24.613,16.091
24.688,16.018
24.762,15.946
24.838,15.875
24.913,15.804
24.989,15.734
25.066,15.665
25.143,15.596
25.221,15.528
25.299,15.462
25.378,15.396
25.457,15.330
25.536,15.266
25.616,15.202
25.696,15.139
25.777,15.077
25.858,15.015
25.939,14.955
26.020,14.894
26.101,14.835
26.182,14.776
26.264,14.717
26.345,14.660
26.426,14.603
26.508,14.546
26.589,14.490
26.670,14.434
26.750,14.379
26.831,14.324
26.911,14.270
26.991,14.216
27.070,14.163
27.149,14.110
27.228,14.057
27.306,14.005
27.383,13.953
27.460,13.902
27.537,13.850
27.613,13.799
27.688,13.749
27.762,13.698
27.835,13.648
27.908,13.597
27.980,13.548
28.051,13.498
28.121,13.448
28.190,13.398
28.258,13.349
28.325,13.300
28.391,13.250
28.457,13.201
28.522,13.152
28.587,13.103
28.651,13.055
28.714,13.006
28.777,12.957
28.840,12.909
28.902,12.861
28.964,12.812
29.026,12.764
29.088,12.716
29.150,12.668
29.212,12.620
29.274,12.572
29.336,12.524
29.398,12.476
29.461,12.429
29.524,12.381
29.588,12.334
29.652,12.286
29.716,12.239
29.781,12.191
29.847,12.144
29.913,12.097
29.981,12.050
30.049,12.003
30.118,11.956
30.188,11.909
30.259,11.862
30.331,11.815
30.404,11.769
30.478,11.722
30.553,11.677
30.629,11.631
30.706,11.587
30.783,11.543
30.862,11.499
30.941,11.457
31.021,11.415
31.102,11.375
31.184,11.335
31.266,11.297
31.350,11.259
31.434,11.223
31.518,11.189
31.604,11.156
31.690,11.124
31.776,11.094
31.863,11.066
31.951,11.040
32.040,11.015
32.129,10.992
32.218,10.972
32.308,10.953
32.399,10.937
32.490,10.923
32.581,10.911
32.673,10.902
32.765,10.895
32.858,10.891
32.951,10.890
33.045,10.891
33.138,10.895
33.232,10.902
33.326,10.912
33.420,10.924
33.513,10.939
33.606,10.957
33.698,10.977
33.788,10.999
33.877,11.023
33.965,11.050
34.051,11.079
34.134,11.110
34.216,11.142
34.294,11.177
34.371,11.213
34.444,11.251
34.514,11.290
34.580,11.331
34.643,11.373
34.702,11.417
34.757,11.462
34.807,11.508
34.853,11.555
34.894,11.603
34.930,11.652
34.961,11.702
34.987,11.753
35.006,11.804
35.020,11.856
35.028,11.908
35.029,11.960
35.024,12.013
35.014,12.067
34.999,12.120
34.979,12.174
34.954,12.228
34.925,12.283
34.892,12.337
34.855,12.392
34.815,12.446
34.772,12.501
34.727,12.555
34.679,12.610
34.630,12.664
34.579,12.718
34.526,12.772
34.473,12.826
34.419,12.880
34.365,12.933
34.311,12.986
