X,Y
35.398,15.575
35.410,15.515
35.424,15.452
35.438,15.388
35.453,15.321
35.468,15.254
35.485,15.186
35.501,15.117
35.519,15.047
35.537,14.977
35.556,14.908
35.575,14.839
35.595,14.771
35.615,14.705
35.636,14.639
35.657,14.576
35.679,14.514
35.701,14.455
35.724,14.397
35.748,14.341
35.773,14.286
35.800,14.232
35.829,14.180
35.859,14.128
35.892,14.076
35.927,14.025
35.964,13.973
36.005,13.922
36.048,13.870
36.095,13.817
36.145,13.764
36.199,13.710
36.255,13.655
36.315,13.599
36.377,13.542
36.442,13.485
36.509,13.428
36.577,13.370
36.648,13.312
36.720,13.253
36.793,13.194
36.867,13.135
36.941,13.076
37.017,13.017
37.092,12.958
37.167,12.899
37.243,12.840
37.317,12.781
37.391,12.723
37.464,12.665
37.536,12.608
37.607,12.551
37.677,12.494
37.746,12.437
37.814,12.381
37.882,12.324
37.950,12.268
38.018,12.211
38.086,12.154
38.154,12.097
38.223,12.039
38.293,11.981
38.364,11.922
38.435,11.862
38.508,11.801
38.582,11.740
38.658,11.678
38.736,11.614
38.816,11.549
38.897,11.483
38.982,11.416
39.068,11.347
39.158,11.277
39.249,11.205
39.343,11.132
39.438,11.058
39.536,10.983
39.636,10.907
39.737,10.829
39.841,10.751
39.945,10.671
40.052,10.591
40.159,10.510
40.268,10.428
40.378,10.346
40.489,10.263
40.602,10.179
40.714,10.095
40.828,10.010
40.943,9.925
41.057,9.840
41.173,9.754
41.288,9.669
41.404,9.583
41.520,9.497
41.636,9.410
41.752,9.324
41.868,9.238
41.983,9.153
42.098,9.067
42.213,8.982
42.326,8.897
42.440,8.812
42.552,8.728
42.664,8.644
42.775,8.561
42.886,8.478
42.996,8.395
43.105,8.313
43.214,8.232
43.321,8.151
43.428,8.070
43.534,7.991
43.640,7.912
43.744,7.833
43.848,7.755
43.951,7.678
44.053,7.602
44.154,7.526
44.254,7.451
44.354,7.377
44.452,7.303
44.550,7.231
44.646,7.159
44.742,7.089
44.837,7.019
44.930,6.950
45.023,6.882
45.115,6.815
45.206,6.749
45.295,6.684
45.384,6.620
45.472,6.557
45.559,6.495
45.645,6.434
45.731,6.374
45.816,6.314
45.901,6.256
45.985,6.199
46.068,6.143
46.152,6.088
46.235,6.033
46.318,5.980
46.401,5.927
46.483,5.875
46.566,5.824
46.649,5.775
46.732,5.725
46.815,5.677
46.898,5.630
46.982,5.583
47.066,5.538
47.151,5.493
47.236,5.449
47.322,5.406
47.408,5.364
47.494,5.323
47.581,5.282
47.668,5.243
47.755,5.205
47.843,5.168
47.930,5.132
48.018,5.097
48.106,5.064
48.194,5.032
48.282,5.001
48.370,4.971
48.458,4.943
48.546,4.916
48.634,4.890
48.722,4.866
48.809,4.843
48.897,4.822
48.984,4.803
49.070,4.784
49.157,4.768
49.243,4.752
49.329,4.738
49.414,4.726
49.499,4.714
49.584,4.704
49.668,4.694
49.751,4.686
49.834,4.678
49.917,4.672
49.998,4.666
50.079,4.661
50.160,4.657
50.240,4.653
50.319,4.650
50.397,4.647
50.474,4.645
50.551,4.644
50.626,4.643
50.700,4.644
50.773,4.647
50.844,4.653
50.914,4.661
50.982,4.673
51.047,4.688
51.111,4.707
51.172,4.731
51.230,4.760
51.286,4.795
51.339,4.835
51.389,4.882
51.435,4.936
51.479,4.996
51.519,5.063
51.556,5.136
51.591,5.214
51.622,5.297
51.651,5.385
51.678,5.477
51.702,5.573
51.724,5.672
51.743,5.773
51.761,5.877
51.777,5.983
51.791,6.090
51.804,6.197
51.815,6.306
51.825,6.414
51.833,6.522
51.841,6.628
51.847,6.734
51.853,6.837
51.857,6.938
51.862,7.036
51.865,7.132
51.868,7.225
51.870,7.316
51.872,7.406
51.872,7.493
51.872,7.579
51.870,7.663
51.868,7.747
51.864,7.829
51.860,7.911
51.854,7.992
51.846,8.073
51.838,8.155
51.828,8.236
51.816,8.318
51.803,8.400
51.789,8.484
51.773,8.568
51.755,8.654
51.735,8.741
51.714,8.829
51.691,8.919
51.667,9.009
51.641,9.101
51.613,9.193
51.584,9.286
51.554,9.380
51.522,9.475
51.488,9.570
51.454,9.665
51.417,9.761
51.380,9.858
51.341,9.954
51.301,10.051
51.260,10.147
51.217,10.244
51.173,10.341
51.128,10.437
51.082,10.533
51.035,10.629
50.986,10.724
50.937,10.819
50.886,10.913
50.835,11.007
50.782,11.101
50.729,11.193
50.675,11.286
50.619,11.377
50.563,11.468
50.507,11.559
50.449,11.649
50.390,11.738
50.331,11.826
50.271,11.914
50.211,12.001
50.149,12.088
50.087,12.173
50.025,12.258
49.962,12.342
49.898,12.426
49.834,12.508
49.770,12.590
49.705,12.671
49.639,12.751
49.573,12.830
49.507,12.909
49.441,12.986
49.374,13.063
49.307,13.139
49.240,13.215
49.172,13.291
49.104,13.365
49.037,13.440
48.969,13.514
48.901,13.588
48.833,13.662
48.765,13.735
48.698,13.809
48.630,13.882
48.562,13.956
48.495,14.029
48.428,14.103
48.361,14.177
48.294,14.252
48.227,14.326
48.161,14.402
48.095,14.477
48.030,14.553
47.965,14.630
47.900,14.706
47.835,14.782
47.770,14.857
47.705,14.932
47.640,15.007
47.575,15.080
47.509,15.153
47.444,15.224
47.378,15.293
47.311,15.361
47.244,15.427
47.176,15.491
47.108,15.553
47.039,15.612
46.970,15.669
46.899,15.723
46.828,15.774
46.755,15.822
46.682,15.866
46.607,15.908
46.531,15.946
46.455,15.980
46.377,16.012
46.299,16.041
46.220,16.067
46.140,16.090
46.059,16.111
45.977,16.129
45.895,16.145
45.812,16.158
45.728,16.169
45.644,16.178
45.560,16.185
45.474,16.190
45.389,16.193
45.303,16.195
45.216,16.194
45.130,16.193
45.043,16.190
44.956,16.186
44.869,16.181
44.783,16.176
44.697,16.170
