X,Y
35.486,15.907
35.521,15.847
35.574,15.786
35.643,15.724
35.726,15.661
35.822,15.598
35.928,15.535
36.043,15.474
36.164,15.413
36.291,15.355
36.420,15.299
36.551,15.246
36.680,15.196
36.807,15.150
36.929,15.109
37.046,15.072
37.156,15.040
37.261,15.011
37.361,14.986
37.458,14.963
37.550,14.942
37.640,14.924
37.728,14.906
37.814,14.889
37.898,14.872
37.983,14.855
38.067,14.837
38.152,14.818
38.237,14.798
38.323,14.778
38.411,14.757
38.499,14.737
38.589,14.717
38.680,14.699
38.772,14.681
38.867,14.665
38.963,14.651
39.061,14.639
39.162,14.630
39.263,14.623
39.366,14.619
39.469,14.617
39.573,14.618
39.676,14.622
39.778,14.628
39.879,14.637
39.978,14.650
40.075,14.665
40.169,14.684
40.260,14.705
40.348,14.730
40.434,14.757
40.518,14.786
40.601,14.817
40.682,14.850
40.763,14.884
40.844,14.919
40.926,14.954
41.008,14.990
41.092,15.025
41.177,15.060
41.264,15.096
41.353,15.131
41.442,15.167
41.531,15.204
41.622,15.242
41.712,15.282
41.801,15.324
41.890,15.368
41.978,15.415
42.065,15.465
42.151,15.518
42.234,15.574
42.317,15.634
42.399,15.695
42.481,15.759
42.563,15.825
42.646,15.892
42.729,15.960
42.814,16.028
42.901,16.096
42.989,16.164
43.081,16.232
43.175,16.298
43.273,16.363
43.373,16.427
43.476,16.489
43.580,16.550
43.686,16.610
43.792,16.669
43.897,16.728
44.002,16.786
44.106,16.843
44.208,16.900
44.307,16.957
44.403,17.013
44.496,17.070
44.584,17.127
44.667,17.184
44.745,17.241
44.818,17.299
44.887,17.357
44.951,17.416
45.009,17.475
45.063,17.535
45.113,17.595
45.157,17.656
45.197,17.718
45.232,17.781
45.261,17.844
45.285,17.909
45.302,17.975
45.311,18.041
45.312,18.110
45.305,18.179
45.288,18.250
45.261,18.322
45.225,18.395
45.181,18.469
45.129,18.542
45.071,18.615
45.007,18.687
44.938,18.757
44.866,18.826
44.790,18.891
44.713,18.954
44.634,19.012
44.555,19.067
44.476,19.119
44.398,19.167
44.320,19.213
44.243,19.258
44.168,19.302
44.095,19.345
44.023,19.388
43.955,19.433
43.888,19.478
43.826,19.526
43.765,19.575
43.706,19.626
43.648,19.676
43.590,19.727
43.531,19.776
43.469,19.824
43.404,19.869
43.335,19.912
43.262,19.951
43.183,19.986
43.100,20.017
43.014,20.046
42.926,20.071
42.837,20.094
42.748,20.114
42.659,20.132
42.573,20.148
42.489,20.163
42.409,20.177
42.333,20.190
42.261,20.203
42.192,20.217
42.124,20.232
42.056,20.250
41.988,20.272
41.918,20.298
41.846,20.328
41.769,20.365
41.688,20.408
41.603,20.456
41.514,20.508
41.423,20.562
41.329,20.618
41.233,20.674
41.136,20.729
41.039,20.782
40.941,20.832
40.843,20.877
40.746,20.916
40.651,20.948
40.557,20.973
40.466,20.990
40.376,21.000
40.288,21.004
40.201,21.004
40.115,20.999
40.031,20.991
39.948,20.981
39.866,20.968
39.784,20.956
39.703,20.943
39.623,20.930
39.543,20.918
39.463,20.905
39.383,20.892
39.302,20.879
39.221,20.866
39.138,20.851
39.055,20.836
38.971,20.820
38.885,20.803
38.797,20.785
38.709,20.766
38.619,20.745
38.529,20.723
38.439,20.699
38.349,20.674
38.259,20.647
38.169,20.618
38.080,20.588
37.992,20.555
37.905,20.520
37.819,20.484
37.734,20.445
37.651,20.404
37.569,20.362
37.488,20.317
37.408,20.271
37.330,20.223
37.252,20.172
37.176,20.120
37.102,20.066
37.028,20.011
36.956,19.953
36.885,19.895
36.816,19.835
36.749,19.775
36.683,19.715
36.620,19.654
36.558,19.593
36.499,19.533
36.441,19.474
36.387,19.416
36.334,19.358
36.284,19.301
36.235,19.244
36.188,19.187
36.143,19.129
36.099,19.069
36.055,19.008
36.013,18.944
35.971,18.877
35.930,18.808
35.890,18.737
35.851,18.665
35.814,18.592
35.778,18.519
35.745,18.446
35.713,18.375
35.685,18.306
35.658,18.239
35.635,18.175
35.615,18.113
35.598,18.053
35.583,17.993
35.571,17.933
35.562,17.872
35.555,17.809
35.550,17.743
35.547,17.675
35.546,17.604
35.546,17.532
35.548,17.458
35.549,17.384
35.551,17.309
35.552,17.234
35.553,17.160
35.552,17.087
35.551,17.014
35.550,16.943
35.549,16.873
35.548,16.806
35.548,16.740
35.550,16.676
35.553,16.614
35.558,16.555
35.563,16.499
35.567,16.444
35.569,16.390
35.567,16.337
35.559,16.285
35.544,16.233
35.523,16.181
35.502,16.129
35.483,16.075
35.471,16.021
35.471,15.965
35.486,15.907
