X	Y
23.318	15.727
23.383	15.647
23.468	15.581
23.574	15.529
23.699	15.488
23.844	15.457
24.008	15.434
24.190	15.419
24.390	15.410
24.607	15.405
24.841	15.404
25.087	15.407
25.346	15.413
25.614	15.423
25.889	15.436
26.170	15.452
26.454	15.471
26.739	15.493
27.024	15.517
27.306	15.544
27.583	15.572
27.853	15.603
28.114	15.635
28.364	15.669
28.601	15.704
28.825	15.741
29.038	15.780
29.240	15.822
29.433	15.868
29.618	15.918
29.797	15.973
29.970	16.033
30.140	16.100
30.307	16.174
30.473	16.256
30.639	16.345
30.806	16.443
30.972	16.549
31.135	16.662
31.294	16.781
31.448	16.907
31.595	17.037
31.733	17.171
31.861	17.309
31.977	17.451
32.081	17.594
32.170	17.739
32.243	17.885
32.303	18.032
32.349	18.180
32.382	18.328
32.405	18.475
32.416	18.623
32.419	18.770
32.412	18.916
32.398	19.061
32.376	19.205
32.344	19.346
32.303	19.485
32.251	19.622
32.188	19.755
32.111	19.885
32.022	20.010
31.918	20.131
31.799	20.247
31.668	20.358
31.526	20.464
31.373	20.564
31.212	20.658
31.045	20.747
30.872	20.829
30.696	20.906
30.517	20.976
30.338	21.039
30.159	21.095
29.981	21.145
29.804	21.187
29.625	21.221
29.446	21.247
29.264	21.265
29.081	21.275
28.894	21.275
28.705	21.266
28.511	21.248
28.313	21.219
28.110	21.181
27.903	21.132
27.694	21.074
27.483	21.007
27.272	20.931
27.061	20.845
26.852	20.752
26.645	20.649
26.442	20.539
26.243	20.421
26.051	20.295
25.865	20.162
25.687	20.022
25.517	19.875
25.355	19.723
25.200	19.566
25.052	19.407
24.911	19.245
24.777	19.083
24.648	18.921
24.525	18.760
24.407	18.601
24.294	18.446
24.185	18.295
24.081	18.151
23.981	18.012
23.886	17.879
23.796	17.751
23.712	17.627
23.635	17.509
23.566	17.394
23.505	17.283
23.452	17.176
23.408	17.071
23.372	16.968
23.342	16.865
23.318	16.759
23.297	16.651
23.278	16.538
23.261	16.418
23.246	16.295
23.237	16.170
23.236	16.047
23.248	15.930
23.274	15.823
23.318	15.727
