X	Y
32.711	17.711
32.732	17.599
32.776	17.462
32.840	17.303
32.923	17.123
33.024	16.927
33.143	16.715
33.277	16.492
33.426	16.258
33.588	16.018
33.763	15.773
33.949	15.526
34.145	15.279
34.349	15.036
34.562	14.798
34.782	14.563
35.008	14.332
35.241	14.105
35.480	13.880
35.724	13.657
35.973	13.436
36.226	13.216
36.482	12.996
36.742	12.777
37.005	12.557
37.269	12.336
37.535	12.113
37.803	11.889
38.071	11.662
38.339	11.432
38.606	11.198
38.873	10.961
39.138	10.719
39.402	10.475
39.665	10.228
39.927	9.979
40.188	9.730
40.447	9.481
40.706	9.232
40.963	8.985
41.220	8.741
41.475	8.499
41.729	8.261
41.982	8.028
42.234	7.801
42.485	7.580
42.736	7.365
42.985	7.159
43.233	6.961
43.480	6.773
43.727	6.594
43.973	6.426
44.219	6.268
44.465	6.120
44.712	5.983
44.961	5.857
45.211	5.741
45.464	5.637
45.718	5.544
45.976	5.463
46.237	5.392
46.502	5.334
46.771	5.287
47.045	5.253
47.324	5.230
47.607	5.219
47.895	5.218
48.186	5.228
48.479	5.246
48.774	5.271
49.069	5.304
49.365	5.342
49.660	5.385
49.953	5.431
50.244	5.481
50.532	5.532
50.815	5.584
51.094	5.636
51.368	5.687
51.635	5.735
51.895	5.781
52.147	5.826
52.391	5.870
52.626	5.914
52.850	5.959
53.064	6.006
53.266	6.057
53.457	6.112
53.634	6.171
53.798	6.237
53.948	6.310
54.083	6.390
54.201	6.478
54.303	6.572
54.387	6.672
54.451	6.777
54.496	6.885
54.519	6.996
54.520	7.109
54.498	7.222
54.454	7.335
54.385	7.445
54.293	7.552
54.176	7.654
54.034	7.750
53.868	7.840
53.683	7.924
53.481	8.005
53.268	8.084
53.045	8.163
52.819	8.242
52.591	8.323
52.367	8.407
52.149	8.497
51.942	8.593
51.749	8.697
51.575	8.810
51.418	8.933
51.279	9.064
51.154	9.204
51.043	9.352
50.943	9.508
50.852	9.670
50.769	9.839
50.693	10.014
50.620	10.195
50.550	10.380
50.483	10.571
50.417	10.767
50.353	10.969
50.291	11.177
50.230	11.390
50.171	11.610
50.113	11.837
50.057	12.070
50.002	12.310
49.948	12.557
49.895	12.812
49.844	13.075
49.793	13.345
49.743	13.621
49.694	13.901
49.646	14.186
49.599	14.474
49.553	14.763
49.509	15.054
49.465	15.344
49.423	15.633
49.381	15.920
49.341	16.203
49.303	16.482
49.265	16.755
49.229	17.023
49.193	17.282
49.160	17.534
49.129	17.776
49.101	18.009
49.076	18.231
49.055	18.442
49.039	18.642
49.028	18.829
49.023	19.003
49.025	19.164
49.034	19.310
49.049	19.441
49.064	19.558
49.070	19.662
49.057	19.754
49.016	19.836
48.937	19.910
48.816	19.976
48.657	20.034
48.464	20.086
48.240	20.130
47.989	20.169
47.715	20.202
47.422	20.229
47.112	20.251
46.791	20.269
46.461	20.282
46.127	20.292
45.792	20.298
45.460	20.301
45.134	20.301
44.817	20.299
44.508	20.294
44.207	20.288
43.911	20.279
43.622	20.268
43.337	20.255
43.056	20.240
42.778	20.223
42.503	20.204
42.229	20.183
41.956	20.161
41.683	20.137
41.409	20.111
41.133	20.084
40.855	20.055
40.573	20.025
40.290	19.994
40.004	19.963
39.717	19.931
39.429	19.900
39.141	19.869
38.853	19.840
38.566	19.812
38.280	19.787
37.997	19.763
37.716	19.743
37.438	19.726
37.164	19.712
36.895	19.703
36.630	19.698
36.370	19.698
36.116	19.701
35.868	19.708
35.625	19.717
35.388	19.726
35.156	19.737
34.931	19.746
34.711	19.755
34.498	19.761
34.290	19.764
34.089	19.764
33.895	19.758
33.707	19.747
33.529	19.729
33.363	19.704
33.211	19.669
33.078	19.625
32.964	19.571
32.874	19.504
32.809	19.425
32.769	19.333
32.749	19.229
32.745	19.116
32.752	18.994
32.764	18.866
32.777	18.733
32.787	18.596
32.795	18.461
32.797	18.331
32.795	18.210
32.786	18.102
32.770	18.010
32.748	17.935
32.726	17.868
32.711	17.797
32.711	17.711
