X	Y
32.651	18.675
32.745	18.602
32.885	18.538
33.065	18.481
33.281	18.434
33.528	18.396
33.800	18.367
34.094	18.349
34.404	18.341
34.726	18.344
35.054	18.359
35.383	18.386
35.710	18.425
36.029	18.476
36.335	18.542
36.624	18.620
36.896	18.712
37.153	18.814
37.396	18.925
37.629	19.044
37.852	19.169
38.068	19.298
38.279	19.430
38.485	19.563
38.690	19.695
38.895	19.825
39.102	19.952
39.313	20.073
39.530	20.187
39.754	20.293
39.985	20.391
40.221	20.484
40.462	20.573
40.707	20.659
40.954	20.743
41.203	20.826
41.453	20.911
41.703	20.998
41.951	21.089
42.198	21.185
42.441	21.288
42.680	21.398
42.914	21.518
43.143	21.648
43.366	21.787
43.583	21.934
43.795	22.088
44.001	22.247
44.202	22.410
44.398	22.575
44.590	22.742
44.776	22.910
44.958	23.076
45.135	23.240
45.308	23.400
45.477	23.555
45.642	23.704
45.801	23.848
45.955	23.987
46.100	24.124
46.236	24.260
46.361	24.397
46.474	24.537
46.573	24.680
46.656	24.830
46.723	24.987
46.771	25.153
46.802	25.328
46.815	25.512
46.813	25.703
46.797	25.902
46.768	26.106
46.727	26.316
46.677	26.530
46.618	26.747
46.552	26.968
46.479	27.190
46.403	27.413
46.322	27.637
46.238	27.862
46.151	28.087
46.060	28.312
45.966	28.537
45.870	28.763
45.771	28.988
45.670	29.214
45.566	29.439
45.461	29.663
45.353	29.888
45.245	30.111
45.135	30.334
45.023	30.556
44.908	30.778
44.790	30.998
44.668	31.218
44.539	31.436
44.404	31.654
44.262	31.870
44.111	32.086
43.950	32.300
43.778	32.514
43.595	32.726
43.399	32.937
43.190	33.147
42.966	33.355
42.727	33.562
42.475	33.767
42.213	33.968
41.942	34.165
41.665	34.357
41.384	34.544
41.100	34.723
40.817	34.895
40.536	35.059
40.260	35.214
39.990	35.358
39.729	35.491
39.479	35.612
39.242	35.721
39.020	35.816
38.816	35.896
38.631	35.961
38.463	36.009
38.311	36.040
38.170	36.051
38.040	36.042
37.916	36.012
37.797	35.959
37.681	35.881
37.564	35.779
37.447	35.653
37.330	35.505
37.213	35.334
37.095	35.141
36.976	34.928
36.856	34.696
36.735	34.445
36.614	34.177
36.490	33.891
36.366	33.589
36.239	33.272
36.111	32.941
35.981	32.596
35.849	32.239
35.716	31.871
35.582	31.494
35.447	31.108
35.313	30.716
35.178	30.318
35.045	29.917
34.913	29.514
34.784	29.109
34.656	28.705
34.531	28.303
34.410	27.905
34.292	27.511
34.179	27.123
34.070	26.744
33.966	26.373
33.868	26.013
33.777	25.665
33.691	25.330
33.613	25.011
33.542	24.707
33.480	24.421
33.424	24.150
33.375	23.894
33.332	23.650
33.294	23.418
33.261	23.195
33.233	22.980
33.209	22.771
33.187	22.568
33.168	22.368
33.151	22.170
33.136	21.973
33.121	21.775
33.106	21.578
33.090	21.385
33.071	21.199
33.049	21.024
33.021	20.863
32.988	20.718
32.947	20.593
32.897	20.491
32.839	20.414
32.778	20.352
32.720	20.296
32.672	20.232
32.643	20.150
32.633	20.045
32.639	19.924
32.655	19.793
32.675	19.660
32.695	19.531
32.710	19.414
32.713	19.315
32.706	19.230
32.691	19.154
32.667	19.081
32.638	19.004
32.610	18.922
32.594	18.838
32.603	18.754
32.651	18.675
