X	Y
24.649	14.973
24.692	14.906
24.765	14.824
24.864	14.728
24.982	14.621
25.114	14.504
25.257	14.377
25.404	14.244
25.550	14.104
25.691	13.960
25.825	13.812
25.951	13.660
26.072	13.505
26.189	13.346
26.303	13.183
26.415	13.016
26.527	12.845
26.639	12.670
26.753	12.492
26.871	12.309
26.993	12.122
27.119	11.932
27.251	11.738
27.389	11.541
27.532	11.341
27.680	11.139
27.834	10.935
27.994	10.730
28.160	10.524
28.331	10.318
28.509	10.111
28.694	9.905
28.884	9.699
29.081	9.495
29.285	9.292
29.495	9.091
29.709	8.893
29.928	8.698
30.149	8.508
30.373	8.322
30.597	8.142
30.821	7.967
31.044	7.800
31.265	7.640
31.482	7.489
31.695	7.346
31.903	7.212
32.104	7.089
32.298	6.977
32.484	6.876
32.661	6.789
32.831	6.716
32.994	6.659
33.149	6.621
33.297	6.603
33.438	6.606
33.573	6.632
33.702	6.682
33.825	6.758
33.942	6.857
34.052	6.979
34.154	7.122
34.250	7.284
34.337	7.464
34.417	7.661
34.488	7.873
34.550	8.098
34.603	8.335
34.647	8.583
34.683	8.839
34.711	9.101
34.733	9.366
34.748	9.633
34.758	9.899
34.763	10.162
34.764	10.419
34.762	10.669
34.758	10.909
34.751	11.137
34.743	11.351
34.735	11.549
34.727	11.729
34.717	11.894
34.704	12.048
34.687	12.193
34.665	12.333
34.635	12.470
34.596	12.607
34.548	12.749
34.489	12.896
34.420	13.049
34.344	13.205
34.263	13.363
34.180	13.521
34.096	13.678
34.013	13.832
33.934	13.981
33.861	14.123
33.795	14.258
33.735	14.385
33.675	14.505
33.612	14.619
33.541	14.727
33.459	14.830
33.361	14.929
33.243	15.024
33.104	15.117
32.945	15.206
32.769	15.291
32.577	15.374
32.371	15.452
32.152	15.527
31.921	15.598
31.682	15.666
31.435	15.729
31.182	15.788
30.924	15.843
30.664	15.894
30.402	15.941
30.139	15.984
29.877	16.024
29.614	16.060
29.352	16.093
29.093	16.123
28.836	16.150
28.581	16.175
28.331	16.198
28.085	16.219
27.845	16.239
27.610	16.257
27.382	16.274
27.161	16.289
26.947	16.304
26.740	16.317
26.539	16.329
26.345	16.338
26.156	16.345
25.974	16.349
25.797	16.349
25.626	16.347
25.460	16.340
25.299	16.329
25.146	16.313
25.004	16.291
24.879	16.260
24.774	16.219
24.694	16.168
24.642	16.104
24.620	16.027
24.619	15.942
24.630	15.853
24.645	15.765
24.654	15.682
24.656	15.605
24.654	15.533
24.650	15.467
24.647	15.404
24.646	15.344
24.648	15.286
24.650	15.228
24.653	15.172
24.651	15.119
24.643	15.072
24.637	15.026
24.649	14.973
