X	Y
24.554	15.988
24.657	15.930
24.805	15.882
24.991	15.843
25.211	15.813
25.460	15.791
25.734	15.778
26.026	15.772
26.333	15.775
26.650	15.785
26.971	15.802
27.293	15.826
27.609	15.856
27.916	15.893
28.208	15.936
28.482	15.984
28.741	16.037
28.987	16.093
29.222	16.152
29.448	16.213
29.668	16.275
29.883	16.336
30.097	16.396
30.310	16.455
30.527	16.510
30.748	16.562
30.976	16.608
31.214	16.649
31.460	16.685
31.711	16.719
31.963	16.752
32.215	16.786
32.463	16.823
32.703	16.867
32.934	16.917
33.150	16.978
33.351	17.050
33.532	17.136
33.690	17.237
33.823	17.357
33.930	17.493
34.014	17.644
34.076	17.806
34.118	17.977
34.144	18.153
34.155	18.331
34.153	18.510
34.141	18.684
34.120	18.853
34.092	19.016
34.057	19.174
34.014	19.328
33.965	19.482
33.909	19.636
33.847	19.792
33.778	19.951
33.703	20.116
33.622	20.288
33.535	20.465
33.442	20.647
33.344	20.831
33.241	21.017
33.134	21.202
33.021	21.385
32.904	21.564
32.783	21.738
32.658	21.906
32.529	22.064
32.396	22.213
32.261	22.353
32.124	22.484
31.985	22.607
31.846	22.723
31.707	22.833
31.568	22.937
31.430	23.037
31.295	23.133
31.162	23.227
31.032	23.317
30.902	23.403
30.770	23.484
30.634	23.558
30.492	23.624
30.342	23.681
30.181	23.727
30.008	23.761
29.821	23.782
29.623	23.791
29.414	23.788
29.199	23.774
28.980	23.749
28.759	23.715
28.538	23.672
28.321	23.620
28.110	23.560
27.907	23.493
27.714	23.420
27.535	23.341
27.368	23.255
27.212	23.162
27.067	23.061
26.932	22.950
26.804	22.830
26.683	22.699
26.569	22.557
26.459	22.402
26.352	22.234
26.249	22.053
26.148	21.861
26.049	21.659
25.953	21.450
25.858	21.235
25.765	21.016
25.673	20.796
25.581	20.575
25.491	20.356
25.401	20.141
25.311	19.931
25.221	19.728
25.132	19.534
25.043	19.347
24.957	19.167
24.874	18.993
24.795	18.825
24.721	18.661
24.654	18.501
24.595	18.344
24.544	18.190
24.503	18.038
24.470	17.888
24.446	17.740
24.429	17.595
24.416	17.455
24.408	17.318
24.401	17.187
24.395	17.062
24.389	16.944
24.383	16.833
24.381	16.730
24.383	16.636
24.391	16.551
24.407	16.476
24.427	16.408
24.446	16.342
24.458	16.275
24.462	16.203
24.470	16.128
24.495	16.055
24.554	15.988
