X	Y
13.525	18.074
13.542	18.028
13.564	17.980
13.588	17.930
13.616	17.878
13.646	17.824
13.680	17.767
13.717	17.709
13.756	17.649
13.798	17.587
13.842	17.524
13.889	17.458
13.939	17.391
13.990	17.323
14.044	17.253
14.100	17.182
14.158	17.110
14.218	17.036
14.280	16.961
14.343	16.885
14.408	16.808
14.475	16.730
14.543	16.650
14.612	16.571
14.683	16.490
14.754	16.408
14.827	16.326
14.901	16.244
14.976	16.160
15.051	16.077
15.128	15.993
15.205	15.908
15.283	15.823
15.361	15.738
15.441	15.652
15.521	15.566
15.602	15.479
15.683	15.393
15.765	15.306
15.848	15.218
15.931	15.131
16.015	15.044
16.100	14.956
16.185	14.869
16.270	14.781
16.356	14.693
16.442	14.605
16.529	14.518
16.616	14.430
16.704	14.342
16.791	14.255
16.879	14.167
16.968	14.080
17.056	13.993
17.145	13.907
17.234	13.820
17.324	13.734
17.413	13.648
17.503	13.563
17.592	13.478
17.682	13.393
17.772	13.309
17.862	13.225
17.952	13.142
18.041	13.059
18.131	12.977
18.221	12.895
18.310	12.814
18.400	12.734
18.489	12.654
18.579	12.575
18.668	12.497
18.757	12.419
18.846	12.342
18.935	12.266
19.024	12.190
19.112	12.116
19.201	12.042
19.289	11.969
19.377	11.896
19.465	11.825
19.553	11.754
19.640	11.684
19.728	11.616
19.815	11.548
19.902	11.481
19.988	11.415
20.075	11.350
20.161	11.285
20.247	11.222
20.333	11.160
20.418	11.099
20.503	11.039
20.588	10.980
20.672	10.922
20.756	10.866
20.840	10.810
20.924	10.756
21.007	10.702
21.090	10.650
21.173	10.599
21.255	10.550
21.337	10.501
21.418	10.454
21.499	10.408
21.579	10.364
21.659	10.321
21.739	10.279
21.818	10.239
21.896	10.200
21.974	10.162
22.051	10.126
22.127	10.092
22.203	10.059
22.278	10.028
22.352	9.999
22.426	9.971
22.498	9.945
22.570	9.920
22.641	9.897
22.711	9.876
22.780	9.857
22.849	9.840
22.916	9.824
22.982	9.811
23.048	9.799
23.112	9.790
23.175	9.782
23.237	9.776
23.298	9.772
23.358	9.771
23.417	9.772
23.475	9.775
23.531	9.780
23.586	9.787
23.640	9.797
23.693	9.809
23.744	9.824
23.795	9.841
23.843	9.861
23.891	9.883
23.937	9.908
23.982	9.935
24.026	9.966
24.068	9.999
24.109	10.035
24.148	10.073
24.186	10.114
24.223	10.157
24.259	10.203
24.293	10.251
