X	Y
13.852	19.385
13.897	19.350
13.948	19.317
14.004	19.287
14.067	19.260
14.134	19.234
14.206	19.212
14.283	19.191
14.363	19.173
14.447	19.157
14.534	19.142
14.624	19.130
14.716	19.120
14.810	19.111
14.905	19.104
15.002	19.099
15.099	19.095
15.196	19.092
15.293	19.091
15.390	19.091
15.486	19.092
15.580	19.094
15.673	19.097
15.763	19.101
15.852	19.106
15.938	19.112
16.023	19.119
16.106	19.127
16.187	19.136
16.268	19.146
16.347	19.156
16.425	19.168
16.503	19.181
16.581	19.195
16.658	19.210
16.734	19.226
16.811	19.243
16.889	19.261
16.966	19.281
17.045	19.302
17.124	19.324
17.204	19.347
17.285	19.371
17.368	19.397
17.453	19.424
17.539	19.452
17.626	19.482
17.716	19.513
17.806	19.545
17.899	19.577
17.992	19.611
18.087	19.646
18.183	19.682
18.280	19.718
18.378	19.755
18.477	19.792
18.576	19.830
18.677	19.869
18.778	19.908
18.879	19.947
18.981	19.986
19.084	20.026
19.186	20.066
19.289	20.105
19.392	20.145
19.495	20.185
19.598	20.224
19.700	20.263
19.803	20.302
19.905	20.340
20.006	20.378
20.107	20.415
20.208	20.452
20.308	20.488
20.407	20.523
20.505	20.558
20.601	20.593
20.697	20.628
20.791	20.663
20.884	20.698
20.975	20.734
21.064	20.770
21.152	20.806
21.237	20.844
21.320	20.883
21.401	20.923
21.479	20.964
21.555	21.007
21.628	21.051
21.698	21.098
21.765	21.146
21.829	21.196
21.890	21.249
21.947	21.304
22.001	21.362
22.051	21.422
22.097	21.486
22.140	21.552
22.178	21.622
22.213	21.693
22.244	21.768
22.272	21.844
22.296	21.923
22.317	22.004
22.334	22.086
22.349	22.169
22.360	22.254
22.368	22.340
22.374	22.426
22.376	22.514
22.376	22.602
22.374	22.690
22.369	22.778
22.361	22.866
22.351	22.953
22.339	23.040
22.325	23.127
22.309	23.212
22.291	23.296
22.271	23.379
22.249	23.461
22.226	23.542
22.200	23.621
22.173	23.700
22.144	23.777
22.113	23.853
22.080	23.929
22.046	24.004
22.009	24.078
21.971	24.151
21.931	24.223
21.889	24.295
21.846	24.366
21.800	24.437
21.753	24.507
21.704	24.577
21.653	24.646
21.601	24.715
21.546	24.784
21.490	24.852
21.432	24.921
21.372	24.989
21.311	25.057
21.248	25.125
21.184	25.192
21.118	25.260
21.051	25.327
20.983	25.393
20.913	25.460
20.843	25.525
20.772	25.591
20.700	25.655
20.627	25.719
20.554	25.783
20.481	25.845
20.407	25.907
20.332	25.969
20.258	26.029
20.184	26.089
20.109	26.147
20.035	26.205
19.961	26.262
19.887	26.318
19.813	26.372
19.741	26.426
19.668	26.478
19.597	26.529
19.526	26.579
19.456	26.628
19.387	26.676
19.319	26.722
19.252	26.768
19.186	26.812
19.120	26.856
19.056	26.898
18.993	26.939
18.931	26.980
18.870	27.019
18.811	27.058
18.752	27.095
18.695	27.132
18.640	27.168
18.585	27.203
18.532	27.237
18.481	27.270
18.431	27.303
18.382	27.335
18.335	27.365
18.288	27.395
18.243	27.422
18.198	27.448
18.153	27.471
18.108	27.491
18.063	27.509
18.018	27.523
17.972	27.533
17.926	27.540
17.878	27.543
17.829	27.541
17.778	27.534
17.726	27.523
17.672	27.507
17.617	27.487
17.561	27.463
17.503	27.434
17.444	27.401
17.383	27.364
17.322	27.324
17.259	27.279
17.195	27.231
17.129	27.180
17.063	27.125
16.996	27.066
16.927	27.005
16.857	26.941
16.787	26.873
16.715	26.803
16.643	26.730
16.570	26.654
16.496	26.576
16.421	26.496
16.345	26.414
16.269	26.329
16.193	26.242
16.116	26.154
16.038	26.063
15.961	25.972
15.883	25.878
15.805	25.783
15.728	25.687
15.650	25.590
15.573	25.492
15.496	25.393
15.420	25.293
15.344	25.193
15.269	25.092
15.195	24.991
15.121	24.889
15.048	24.788
14.977	24.686
14.906	24.585
14.837	24.483
14.769	24.382
14.702	24.282
14.637	24.182
14.574	24.083
14.512	23.985
14.452	23.887
14.393	23.791
14.337	23.696
14.283	23.602
14.231	23.510
14.181	23.419
14.134	23.330
14.088	23.243
14.045	23.156
14.004	23.071
13.964	22.988
13.927	22.906
13.892	22.826
13.859	22.747
13.828	22.669
13.799	22.593
13.772	22.518
13.746	22.444
13.723	22.372
13.701	22.301
13.681	22.231
13.663	22.163
13.647	22.096
13.633	22.030
13.620	21.966
13.609	21.903
13.600	21.841
13.593	21.780
13.586	21.720
13.582	21.661
13.579	21.603
13.577	21.545
13.576	21.488
13.576	21.431
13.578	21.374
13.580	21.317
13.583	21.260
13.587	21.203
13.591	21.145
13.597	21.087
13.602	21.028
13.608	20.969
13.614	20.908
13.621	20.847
13.627	20.786
13.634	20.725
13.641	20.664
13.648	20.604
13.654	20.544
13.660	20.487
13.666	20.431
13.671	20.376
13.676	20.325
13.681	20.275
13.684	20.229
13.687	20.186
13.689	20.146
13.691	20.110
13.691	20.076
13.692	20.045
13.691	20.014
13.691	19.983
13.690	19.953
13.689	19.921
13.689	19.887
13.688	19.850
13.689	19.811
13.690	19.770
13.694	19.727
13.700	19.683
13.708	19.638
13.720	19.594
13.737	19.549
13.757	19.506
13.783	19.464
13.815	19.423
13.852	19.385
