X	Y
72.322	42.736
72.380	42.354
72.476	41.964
72.609	41.565
72.777	41.157
72.977	40.742
73.206	40.319
73.463	39.888
73.744	39.450
74.049	39.005
74.374	38.553
74.717	38.095
75.076	37.630
75.449	37.159
75.833	36.682
76.225	36.200
76.624	35.712
77.028	35.219
77.435	34.721
77.847	34.219
78.263	33.713
78.684	33.204
79.109	32.692
79.539	32.178
79.975	31.662
80.415	31.144
80.862	30.626
81.314	30.107
81.772	29.588
82.236	29.070
82.706	28.553
83.183	28.038
83.666	27.525
84.157	27.014
84.655	26.506
85.160	26.001
85.672	25.501
86.192	25.005
86.721	24.514
87.257	24.028
87.801	23.548
88.352	23.074
88.911	22.606
89.476	22.144
90.049	21.689
90.628	21.240
91.213	20.799
91.804	20.365
92.402	19.938
93.004	19.519
93.612	19.109
94.225	18.706
94.843	18.313
95.466	17.928
96.093	17.552
96.724	17.185
97.359	16.828
97.997	16.480
98.639	16.143
99.284	15.816
99.932	15.499
100.583	15.193
101.235	14.898
101.890	14.614
102.545	14.342
103.200	14.082
103.855	13.834
104.508	13.599
105.160	13.376
105.809	13.167
106.454	12.970
107.096	12.788
107.733	12.619
108.365	12.465
108.991	12.325
109.610	12.200
110.222	12.091
110.826	11.996
111.421	11.918
112.007	11.855
112.582	11.809
113.147	11.779
113.701	11.767
114.244	11.770
114.778	11.789
115.305	11.822
115.824	11.869
116.338	11.929
116.847	12.002
117.353	12.086
117.856	12.181
118.358	12.286
118.861	12.401
119.364	12.523
119.870	12.654
120.380	12.792
120.893	12.936
121.413	13.085
121.939	13.240
122.470	13.399
123.001	13.563
123.527	13.734
124.044	13.911
124.547	14.095
125.031	14.287
125.491	14.487
125.923	14.697
126.323	14.915
126.685	15.144
127.005	15.384
127.278	15.635
127.499	15.898
127.665	16.174
127.771	16.461
127.821	16.755
127.819	17.049
127.770	17.336
127.679	17.610
127.549	17.865
127.385	18.093
127.192	18.290
126.974	18.448
126.734	18.570
126.475	18.667
126.201	18.749
125.913	18.824
125.615	18.903
125.309	18.995
124.998	19.110
124.685	19.258
124.373	19.449
124.064	19.691
123.758	19.981
123.455	20.318
123.156	20.697
122.860	21.116
122.567	21.572
122.278	22.061
121.991	22.580
121.708	23.125
121.428	23.694
121.151	24.284
120.877	24.891
120.606	25.512
120.338	26.143
120.073	26.783
119.811	27.426
119.552	28.071
119.296	28.714
119.042	29.351
118.791	29.982
118.541	30.605
118.291	31.221
118.040	31.828
117.787	32.427
117.531	33.017
117.270	33.597
117.005	34.169
116.733	34.730
116.453	35.280
116.165	35.821
115.867	36.350
115.559	36.867
115.239	37.373
114.906	37.867
114.559	38.348
114.197	38.816
113.818	39.271
113.423	39.713
113.010	40.140
112.579	40.554
112.131	40.955
111.668	41.343
111.189	41.718
110.697	42.082
110.190	42.433
109.671	42.774
109.140	43.103
108.598	43.423
108.045	43.732
107.483	44.031
106.912	44.321
106.333	44.603
105.747	44.875
105.155	45.140
104.557	45.397
103.955	45.646
103.348	45.889
102.738	46.125
102.126	46.355
101.513	46.580
100.899	46.799
100.285	47.015
99.673	47.226
99.063	47.435
98.456	47.642
97.853	47.846
97.255	48.049
96.662	48.252
96.077	48.454
95.499	48.657
94.929	48.862
94.369	49.068
93.820	49.276
93.281	49.488
92.755	49.703
92.241	49.922
91.742	50.146
91.257	50.375
90.784	50.607
90.322	50.839
89.869	51.070
89.422	51.297
88.979	51.518
88.539	51.731
88.099	51.933
87.658	52.121
87.213	52.295
86.762	52.451
86.303	52.587
85.834	52.701
85.354	52.791
84.859	52.854
84.349	52.888
83.823	52.894
83.285	52.872
82.737	52.824
82.180	52.751
81.619	52.656
81.056	52.540
80.492	52.404
79.931	52.250
79.376	52.079
78.828	51.893
78.291	51.693
77.766	51.482
77.258	51.260
76.767	51.029
76.297	50.790
75.850	50.546
75.429	50.297
75.036	50.046
74.671	49.792
74.336	49.537
74.032	49.282
73.760	49.028
73.520	48.775
73.315	48.526
73.144	48.280
73.008	48.038
72.910	47.803
72.850	47.574
72.823	47.351
72.822	47.130
72.837	46.910
72.858	46.686
72.875	46.456
72.880	46.216
72.864	45.965
72.820	45.698
72.756	45.418
72.678	45.124
72.593	44.817
72.508	44.498
72.430	44.167
72.365	43.825
72.321	43.472
72.304	43.108
72.322	42.736
