X	Y
73.144	45.749
73.430	45.517
73.791	45.335
74.221	45.198
74.714	45.106
75.264	45.055
75.866	45.042
76.513	45.066
77.200	45.123
77.922	45.210
78.671	45.326
79.443	45.468
80.232	45.632
81.032	45.817
81.837	46.020
82.641	46.238
83.439	46.469
84.224	46.709
84.992	46.957
85.735	47.210
86.453	47.466
87.145	47.725
87.814	47.987
88.462	48.253
89.091	48.521
89.703	48.793
90.299	49.068
90.882	49.346
91.453	49.627
92.015	49.911
92.569	50.198
93.116	50.489
93.660	50.783
94.202	51.080
94.744	51.380
95.287	51.684
95.834	51.990
96.387	52.300
96.946	52.613
97.512	52.930
98.081	53.252
98.651	53.579
99.222	53.912
99.790	54.252
100.355	54.600
100.913	54.956
101.463	55.321
102.002	55.696
102.530	56.081
103.044	56.478
103.541	56.887
104.020	57.308
104.479	57.743
104.916	58.193
105.329	58.657
105.716	59.137
106.075	59.633
106.406	60.142
106.707	60.664
106.980	61.194
107.222	61.730
107.435	62.269
107.617	62.809
107.769	63.347
107.889	63.880
107.978	64.406
108.035	64.922
108.060	65.426
108.052	65.914
108.011	66.384
107.937	66.833
107.830	67.260
107.690	67.665
107.519	68.052
107.319	68.423
107.090	68.780
106.834	69.125
106.553	69.461
106.248	69.791
105.920	70.116
105.570	70.439
105.201	70.763
104.813	71.090
104.407	71.422
103.986	71.759
103.548	72.099
103.094	72.441
102.626	72.782
102.143	73.120
101.646	73.454
101.135	73.782
100.612	74.101
100.075	74.410
99.526	74.707
98.966	74.989
98.394	75.256
97.812	75.505
97.219	75.734
96.616	75.941
96.004	76.124
95.383	76.282
94.755	76.414
94.119	76.523
93.479	76.610
92.836	76.675
92.190	76.719
91.543	76.745
90.897	76.753
90.253	76.745
89.612	76.721
88.976	76.683
88.345	76.633
87.722	76.570
87.108	76.498
86.504	76.416
85.912	76.326
85.332	76.230
84.767	76.128
84.217	76.021
83.685	75.907
83.171	75.783
82.677	75.648
82.204	75.500
81.755	75.336
81.330	75.155
80.930	74.954
80.558	74.732
80.215	74.487
79.902	74.215
79.621	73.916
79.372	73.588
79.156	73.229
78.969	72.842
78.807	72.428
78.665	71.990
78.540	71.530
78.428	71.050
78.324	70.552
78.225	70.038
78.126	69.510
78.023	68.971
77.913	68.421
77.791	67.864
77.653	67.301
77.495	66.735
77.315	66.167
77.116	65.597
76.898	65.026
76.666	64.454
76.421	63.881
76.166	63.308
75.904	62.734
75.637	62.161
75.368	61.588
75.099	61.015
74.833	60.443
74.572	59.872
74.320	59.303
74.077	58.735
73.848	58.169
73.634	57.604
73.438	57.043
73.263	56.484
73.107	55.930
72.972	55.384
72.856	54.850
72.759	54.329
72.680	53.824
72.619	53.339
72.574	52.877
72.546	52.440
72.535	52.031
72.538	51.653
72.557	51.308
72.589	51.001
72.635	50.731
72.689	50.492
72.746	50.270
72.799	50.053
72.841	49.829
72.867	49.585
72.870	49.309
72.847	48.994
72.806	48.643
72.758	48.268
72.714	47.878
72.685	47.482
72.681	47.089
72.715	46.710
72.796	46.354
72.935	46.031
73.144	45.749
