X,Y
10.036,4.917
10.042,4.914
10.050,4.913
10.058,4.913
10.066,4.914
10.075,4.917
10.085,4.920
10.095,4.924
10.106,4.929
10.118,4.935
10.129,4.940
10.142,4.947
10.154,4.953
10.167,4.960
10.180,4.967
10.194,4.974
10.207,4.980
10.221,4.986
10.235,4.992
10.249,4.998
10.264,5.002
10.278,5.006
10.292,5.009
10.307,5.012
10.321,5.013
10.335,5.013
10.349,5.012
10.363,5.010
10.378,5.007
10.392,5.003
10.406,4.998
10.420,4.993
10.435,4.986
10.449,4.979
10.464,4.972
10.478,4.963
10.493,4.954
10.508,4.944
10.523,4.934
10.538,4.923
10.554,4.911
10.569,4.899
10.585,4.887
10.601,4.874
10.617,4.861
10.634,4.848
10.650,4.834
10.667,4.820
10.685,4.806
10.702,4.792
10.720,4.777
10.738,4.762
10.757,4.748
10.776,4.733
10.795,4.719
10.815,4.704
10.835,4.689
10.856,4.675
10.877,4.661
10.899,4.647
10.920,4.633
10.943,4.620
10.966,4.606
10.989,4.593
11.013,4.580
11.037,4.568
11.062,4.555
11.087,4.543
11.112,4.531
11.138,4.519
11.164,4.507
11.190,4.496
11.217,4.485
11.244,4.473
11.272,4.462
11.300,4.452
11.328,4.441
11.356,4.430
11.385,4.420
11.414,4.410
11.443,4.399
11.473,4.389
11.503,4.379
11.533,4.370
11.563,4.360
11.594,4.350
11.624,4.340
11.655,4.331
11.686,4.321
11.718,4.312
11.749,4.303
11.781,4.293
11.812,4.284
11.844,4.275
11.876,4.266
11.908,4.256
11.941,4.247
11.973,4.238
12.005,4.229
12.038,4.220
12.070,4.210
12.103,4.201
12.136,4.192
12.168,4.183
12.201,4.173
12.234,4.164
12.267,4.155
12.299,4.145
12.332,4.136
12.365,4.126
12.397,4.116
12.430,4.107
12.463,4.097
12.495,4.087
12.527,4.077
12.560,4.067
12.592,4.056
12.624,4.046
12.656,4.035
12.688,4.025
12.720,4.014
12.751,4.003
12.783,3.992
12.814,3.981
12.846,3.969
12.877,3.958
12.908,3.946
12.939,3.935
12.969,3.923
13.000,3.911
13.031,3.899
13.061,3.887
13.092,3.875
13.122,3.863
13.152,3.851
13.182,3.839
13.212,3.826
13.242,3.814
13.272,3.802
13.302,3.789
13.331,3.777
13.361,3.764
13.390,3.751
13.420,3.739
13.449,3.726
13.478,3.713
13.507,3.701
13.537,3.688
13.566,3.675
13.595,3.662
13.623,3.650
13.652,3.637
13.681,3.624
13.710,3.611
13.738,3.599
13.767,3.586
13.795,3.573
13.824,3.561
13.852,3.548
13.881,3.535
13.909,3.523
13.937,3.510
13.965,3.498
13.993,3.486
14.022,3.473
14.050,3.461
14.078,3.449
14.106,3.437
14.134,3.425
14.162,3.413
14.190,3.401
14.217,3.389
14.245,3.377
14.273,3.366
14.301,3.354
14.329,3.343
14.357,3.331
14.384,3.320
14.412,3.309
14.440,3.298
14.468,3.287
14.495,3.277
14.523,3.266
14.551,3.255
14.578,3.245
14.606,3.235
14.634,3.225
14.662,3.215
14.689,3.205
14.717,3.195
14.745,3.186
14.773,3.177
14.801,3.167
14.829,3.158
14.856,3.149
14.884,3.140
14.912,3.132
14.940,3.123
14.969,3.115
14.997,3.107
15.025,3.098
15.053,3.091
15.081,3.083
15.110,3.075
15.138,3.068
15.167,3.060
15.195,3.053
15.224,3.046
15.253,3.039
15.281,3.033
15.310,3.026
15.339,3.020
15.368,3.014
15.397,3.008
15.427,3.002
15.456,2.996
15.485,2.991
15.515,2.986
15.544,2.981
15.574,2.976
15.604,2.971
15.634,2.966
15.664,2.962
15.694,2.958
15.725,2.954
15.755,2.950
15.786,2.946
15.816,2.943
15.847,2.940
15.878,2.937
15.909,2.934
15.941,2.931
15.972,2.929
16.004,2.927
16.035,2.925
16.067,2.923
16.099,2.921
16.131,2.920
16.163,2.918
16.195,2.917
16.228,2.916
16.260,2.916
16.292,2.915
16.325,2.915
16.357,2.915
16.389,2.914
16.421,2.915
16.454,2.915
16.486,2.915
16.518,2.916
16.550,2.917
16.582,2.917
16.614,2.918
16.645,2.920
16.677,2.921
16.708,2.922
16.740,2.924
16.771,2.925
16.801,2.927
16.832,2.929
16.863,2.931
16.893,2.933
16.923,2.935
16.952,2.938
16.982,2.940
17.011,2.943
17.039,2.945
17.068,2.948
17.096,2.951
17.124,2.954
17.151,2.957
17.178,2.960
17.205,2.963
17.231,2.966
17.257,2.969
17.282,2.973
17.307,2.976
17.331,2.979
17.355,2.983
17.379,2.987
17.401,2.990
17.424,2.994
17.446,2.998
17.467,3.001
17.488,3.005
17.508,3.009
17.528,3.013
17.547,3.017
17.565,3.020
17.583,3.024
17.600,3.029
17.617,3.033
17.633,3.037
17.649,3.042
17.664,3.046
17.679,3.051
17.693,3.056
17.707,3.062
17.720,3.067
17.733,3.073
17.746,3.080
17.758,3.086
17.770,3.093
17.781,3.101
17.792,3.108
17.803,3.116
17.814,3.125
17.824,3.134
17.834,3.144
17.843,3.154
17.852,3.164
17.862,3.175
17.870,3.187
17.879,3.199
17.887,3.212
17.896,3.226
17.904,3.240
17.911,3.255
17.919,3.270
17.927,3.286
17.934,3.302
17.941,3.319
17.947,3.336
17.954,3.354
17.960,3.372
17.966,3.391
17.972,3.410
17.978,3.429
17.983,3.449
17.988,3.469
17.993,3.489
17.998,3.510
18.002,3.531
18.007,3.552
18.010,3.574
18.014,3.595
18.018,3.617
18.021,3.639
18.024,3.662
18.026,3.684
18.029,3.707
18.031,3.730
18.032,3.752
18.034,3.775
18.035,3.798
18.036,3.821
18.037,3.844
18.037,3.867
18.037,3.890
18.037,3.913
18.037,3.936
18.036,3.959
18.035,3.982
18.033,4.004
18.032,4.027
18.030,4.049
18.028,4.072
18.025,4.094
18.023,4.116
18.020,4.138
18.016,4.160
18.013,4.182
18.009,4.204
18.006,4.226
