X,Y
10.000,5.690
10.006,5.682
10.013,5.674
10.022,5.666
10.031,5.658
10.042,5.650
10.053,5.642
10.065,5.634
10.079,5.626
10.093,5.619
10.107,5.612
10.123,5.605
10.140,5.598
10.157,5.591
10.174,5.584
10.193,5.578
10.212,5.572
10.231,5.566
10.251,5.560
10.272,5.554
10.293,5.549
10.314,5.544
10.336,5.539
10.358,5.534
10.381,5.529
10.403,5.525
10.426,5.521
10.450,5.517
10.473,5.514
10.496,5.511
10.520,5.508
10.543,5.505
10.567,5.503
10.591,5.501
10.615,5.499
10.638,5.497
10.662,5.496
10.687,5.495
10.711,5.494
10.735,5.493
10.759,5.493
10.783,5.493
10.808,5.493
10.832,5.493
10.856,5.493
10.881,5.494
10.905,5.495
10.930,5.496
10.954,5.497
10.979,5.498
11.003,5.500
11.028,5.502
11.052,5.503
11.077,5.505
11.101,5.508
11.126,5.510
11.150,5.512
11.175,5.515
11.199,5.518
11.224,5.521
11.248,5.524
11.272,5.527
11.297,5.530
11.321,5.533
11.345,5.537
11.369,5.540
11.393,5.544
11.417,5.548
11.441,5.552
11.465,5.555
11.489,5.559
11.513,5.564
11.537,5.568
11.561,5.572
11.584,5.576
11.608,5.581
11.632,5.585
11.656,5.590
11.679,5.594
11.703,5.599
11.727,5.604
11.751,5.609
11.775,5.614
11.799,5.619
11.823,5.625
11.847,5.630
11.871,5.635
11.895,5.641
11.919,5.647
11.944,5.652
11.968,5.658
11.992,5.664
12.017,5.670
12.042,5.676
12.067,5.683
12.092,5.689
12.117,5.696
12.142,5.702
12.168,5.709
12.193,5.716
12.219,5.722
12.245,5.730
12.271,5.737
12.298,5.744
12.324,5.751
12.351,5.759
12.378,5.766
12.405,5.774
12.433,5.782
12.460,5.790
12.488,5.798
12.516,5.806
12.544,5.814
12.573,5.822
12.602,5.831
12.630,5.839
12.659,5.848
12.689,5.856
12.718,5.865
12.747,5.874
12.777,5.883
12.807,5.891
12.837,5.900
12.867,5.909
12.897,5.918
12.927,5.927
12.958,5.936
12.988,5.945
13.019,5.954
13.050,5.964
13.081,5.973
13.112,5.982
13.142,5.991
13.174,6.000
13.205,6.009
13.236,6.018
13.267,6.027
13.298,6.036
13.330,6.045
13.361,6.054
13.392,6.063
13.424,6.072
13.455,6.081
13.486,6.089
13.518,6.098
13.549,6.107
13.580,6.115
13.612,6.124
13.643,6.132
13.674,6.141
13.706,6.149
13.737,6.157
13.768,6.165
13.799,6.173
13.830,6.181
13.861,6.189
13.892,6.196
13.923,6.204
13.953,6.211
13.984,6.218
14.014,6.226
14.045,6.233
14.075,6.240
14.105,6.246
14.135,6.253
14.165,6.260
14.195,6.266
14.225,6.273
14.255,6.279
14.285,6.285
14.314,6.292
14.344,6.298
14.373,6.304
14.402,6.310
14.431,6.316
14.460,6.322
14.489,6.328
14.518,6.334
14.547,6.340
14.575,6.346
14.604,6.351
14.632,6.357
14.660,6.363
14.688,6.369
14.716,6.375
14.744,6.380
14.772,6.386
14.799,6.392
14.827,6.398
14.854,6.404
14.881,6.409
14.909,6.415
14.936,6.421
14.962,6.427
14.989,6.433
15.016,6.439
15.042,6.446
15.069,6.452
15.095,6.458
15.121,6.464
15.147,6.471
15.173,6.477
15.198,6.484
15.224,6.491
15.249,6.497
15.275,6.504
15.300,6.511
15.325,6.518
15.349,6.526
15.374,6.533
15.398,6.540
15.423,6.548
15.447,6.556
15.471,6.564
15.494,6.572
15.518,6.580
15.541,6.589
15.564,6.598
15.587,6.607
15.610,6.616
15.632,6.625
15.655,6.635
15.677,6.645
15.698,6.655
15.720,6.665
15.741,6.676
15.762,6.687
15.783,6.698
15.803,6.709
15.823,6.721
15.843,6.733
15.863,6.746
15.882,6.758
15.902,6.771
15.920,6.785
15.939,6.798
15.957,6.812
15.975,6.827
15.992,6.842
16.010,6.857
16.027,6.872
16.043,6.888
16.059,6.905
16.075,6.921
16.091,6.938
16.106,6.956
16.121,6.974
16.136,6.992
16.150,7.010
16.164,7.029
16.177,7.048
16.190,7.068
16.203,7.088
16.215,7.108
16.227,7.128
16.239,7.149
16.250,7.170
16.261,7.191
16.271,7.213
16.281,7.234
16.291,7.256
16.300,7.279
16.309,7.301
16.318,7.324
16.326,7.347
16.333,7.370
16.340,7.393
