X	Y
32.551	19.733
32.607	19.655
32.679	19.585
32.767	19.520
32.871	19.462
32.989	19.409
33.122	19.362
33.268	19.320
33.428	19.283
33.599	19.250
33.782	19.221
33.977	19.196
34.181	19.175
34.396	19.156
34.620	19.140
34.852	19.127
35.092	19.115
35.340	19.106
35.594	19.097
35.854	19.090
36.120	19.084
36.391	19.079
36.666	19.075
36.945	19.073
37.227	19.072
37.513	19.072
37.801	19.075
38.091	19.079
38.382	19.085
38.674	19.093
38.967	19.103
39.260	19.115
39.552	19.130
39.842	19.148
40.132	19.168
40.419	19.191
40.703	19.216
40.985	19.245
41.262	19.276
41.536	19.311
41.805	19.349
42.069	19.391
42.327	19.436
42.579	19.485
42.824	19.537
43.062	19.594
43.292	19.654
43.514	19.718
43.728	19.787
43.933	19.860
44.130	19.936
44.319	20.016
44.501	20.099
44.676	20.185
44.845	20.273
45.007	20.363
45.164	20.455
45.316	20.549
45.463	20.644
45.605	20.740
45.744	20.837
45.878	20.934
46.010	21.031
46.139	21.128
46.265	21.224
46.389	21.319
46.512	21.414
46.633	21.506
46.754	21.598
46.873	21.688
46.991	21.778
47.107	21.868
47.222	21.959
47.336	22.050
47.447	22.142
47.557	22.235
47.666	22.330
47.772	22.428
47.877	22.528
47.979	22.631
48.080	22.738
48.178	22.848
48.274	22.963
48.367	23.082
48.459	23.205
48.548	23.331
48.634	23.460
48.718	23.593
48.800	23.727
48.879	23.864
48.955	24.002
49.029	24.141
49.101	24.282
49.169	24.422
49.235	24.563
49.298	24.704
49.358	24.843
49.416	24.982
49.471	25.119
49.522	25.254
49.571	25.387
49.615	25.518
49.654	25.645
49.689	25.769
49.717	25.890
49.740	26.006
49.755	26.118
49.764	26.225
49.764	26.327
49.756	26.424
49.738	26.515
49.712	26.599
49.677	26.679
49.635	26.755
49.590	26.829
49.543	26.902
49.496	26.976
49.451	27.054
49.411	27.135
49.377	27.223
49.352	27.318
49.336	27.421
49.328	27.531
49.327	27.646
49.331	27.765
49.338	27.887
49.347	28.010
49.356	28.133
49.365	28.254
49.370	28.372
49.371	28.485
49.367	28.593
49.355	28.694
49.335	28.787
49.308	28.873
49.276	28.954
49.239	29.030
49.198	29.102
49.156	29.173
49.112	29.242
49.069	29.311
49.027	29.381
48.988	29.454
48.950	29.528
48.915	29.605
48.880	29.685
48.848	29.768
48.816	29.854
48.786	29.944
48.756	30.038
48.727	30.136
48.698	30.239
48.670	30.345
48.642	30.455
48.615	30.567
48.589	30.680
48.565	30.793
48.542	30.907
48.520	31.019
48.500	31.130
48.483	31.237
48.467	31.341
48.454	31.441
48.443	31.535
48.432	31.624
48.420	31.709
48.404	31.788
48.383	31.862
48.353	31.930
48.314	31.994
48.263	32.053
48.199	32.107
48.121	32.157
48.033	32.204
47.937	32.250
47.835	32.295
47.730	32.342
47.624	32.392
47.519	32.446
47.418	32.506
47.324	32.572
47.238	32.646
47.163	32.730
47.101	32.823
47.050	32.925
47.009	33.034
46.975	33.148
46.948	33.264
46.925	33.383
46.905	33.500
46.886	33.616
46.868	33.727
46.847	33.833
46.823	33.931
46.794	34.020
46.759	34.099
46.719	34.169
46.672	34.232
46.621	34.288
46.565	34.339
46.504	34.386
46.438	34.430
46.369	34.473
46.296	34.515
46.218	34.557
46.138	34.598
46.053	34.641
45.965	34.683
45.873	34.727
45.778	34.773
45.679	34.820
45.578	34.869
