X,Y
834.000,503.000
834.244,502.042
834.562,501.069
834.949,500.080
835.404,499.077
835.925,498.058
836.509,497.024
837.154,495.976
837.857,494.913
838.616,493.835
839.428,492.743
840.291,491.636
841.202,490.515
842.160,489.380
843.162,488.231
844.204,487.067
845.286,485.890
846.404,484.699
847.556,483.494
848.740,482.275
849.953,481.043
851.193,479.797
852.457,478.538
853.744,477.265
855.050,475.980
856.378,474.682
857.725,473.372
859.092,472.050
860.478,470.716
861.882,469.372
863.306,468.017
864.747,466.652
866.206,465.277
867.682,463.892
869.175,462.499
870.685,461.097
872.211,459.687
873.752,458.269
875.309,456.844
876.881,455.412
878.468,453.973
880.068,452.528
881.683,451.078
883.311,449.622
884.953,448.161
886.607,446.695
888.273,445.226
889.952,443.752
891.642,442.276
893.343,440.796
895.055,439.314
896.778,437.830
898.510,436.344
900.253,434.856
902.004,433.368
903.765,431.880
905.534,430.391
907.312,428.902
909.097,427.414
910.890,425.927
912.691,424.440
914.500,422.954
916.316,421.468
918.140,419.984
919.971,418.501
921.809,417.018
923.654,415.537
925.506,414.058
927.365,412.579
929.231,411.102
931.103,409.627
932.982,408.153
934.867,406.681
936.758,405.210
938.656,403.742
940.559,402.276
942.468,400.811
944.383,399.349
946.304,397.889
948.230,396.432
950.162,394.977
952.099,393.524
954.041,392.074
955.988,390.627
957.941,389.182
959.898,387.741
961.859,386.302
963.826,384.866
965.796,383.434
967.771,382.005
969.751,380.579
971.734,379.156
973.722,377.737
975.713,376.322
977.708,374.910
979.707,373.503
981.709,372.099
983.715,370.699
985.722,369.304
987.732,367.914
989.743,366.529
991.755,365.150
993.768,363.776
995.781,362.409
997.794,361.048
999.806,359.694
1001.817,358.348
1003.825,357.009
1005.832,355.678
1007.836,354.355
1009.837,353.040
1011.834,351.734
1013.828,350.438
1015.817,349.151
1017.800,347.874
1019.779,346.606
1021.751,345.350
1023.717,344.104
1025.676,342.869
1027.628,341.646
1029.572,340.434
1031.507,339.235
1033.434,338.048
1035.352,336.873
1037.260,335.712
1039.158,334.564
1041.045,333.430
1042.922,332.310
1044.786,331.204
1046.639,330.113
1048.479,329.037
1050.307,327.976
1052.121,326.931
1053.921,325.901
1055.709,324.887
1057.487,323.888
1059.256,322.902
1061.017,321.929
1062.772,320.969
1064.523,320.020
1066.271,319.082
1068.018,318.155
1069.766,317.237
1071.515,316.328
1073.268,315.427
1075.026,314.534
1076.791,313.647
1078.564,312.766
1080.347,311.890
1082.141,311.019
1083.949,310.152
1085.770,309.288
1087.608,308.427
1089.464,307.567
1091.339,306.709
1093.234,305.850
1095.152,304.992
1097.094,304.132
1099.062,303.270
1101.056,302.406
1103.080,301.539
1105.133,300.668
1107.219,299.792
1109.337,298.911
1111.491,298.023
1113.681,297.129
1115.909,296.228
1118.174,295.320
1120.472,294.406
1122.803,293.487
1125.163,292.563
1127.551,291.637
1129.963,290.707
1132.399,289.776
1134.856,288.844
1137.331,287.913
1139.822,286.982
1142.328,286.052
1144.845,285.126
1147.372,284.203
1149.906,283.284
1152.445,282.371
1154.987,281.463
1157.530,280.563
1160.071,279.670
1162.608,278.786
1165.139,277.911
1167.662,277.047
1170.174,276.194
1172.674,275.353
1175.158,274.524
1177.625,273.710
1180.073,272.910
1182.499,272.126
1184.900,271.358
1187.276,270.608
1189.623,269.875
1191.939,269.161
1194.223,268.467
1196.471,267.794
1198.682,267.143
1200.853,266.513
1202.982,265.907
1205.068,265.325
1207.106,264.768
1209.096,264.237
1211.036,263.732
1212.926,263.255
1214.768,262.804
1216.568,262.380
1218.328,261.983
1220.052,261.614
1221.742,261.271
1223.403,260.954
1225.038,260.665
1226.650,260.402
1228.243,260.166
1229.820,259.957
1231.385,259.774
1232.940,259.618
1234.490,259.488
1236.037,259.385
1237.586,259.308
1239.140,259.258
1240.701,259.234
1242.274,259.237
1243.862,259.265
1245.468,259.320
1247.095,259.401
1248.748,259.509
1250.429,259.642
1252.143,259.802
1253.891,259.988
1255.678,260.199
1257.500,260.437
1259.354,260.701
1261.236,260.991
1263.144,261.306
1265.072,261.648
1267.018,262.015
1268.978,262.408
1270.948,262.827
1272.925,263.271
1274.906,263.741
1276.886,264.237
1278.861,264.759
1280.830,265.306
1282.787,265.878
1284.729,266.476
1286.653,267.100
1288.554,267.749
1290.430,268.424
1292.277,269.124
1294.091,269.849
1295.868,270.599
1297.606,271.375
1299.300,272.176
1300.946,273.003
1302.542,273.854
1304.083,274.731
1305.566,275.633
1306.987,276.560
1308.343,277.511
1309.631,278.488
1310.849,279.489
1312.000,280.511
1313.086,281.552
1314.109,282.610
1315.073,283.682
1315.979,284.766
1316.830,285.859
1317.628,286.960
1318.376,288.065
1319.075,289.172
1319.729,290.280
1320.340,291.385
1320.909,292.485
1321.440,293.578
1321.935,294.661
1322.396,295.732
1322.825,296.789
1323.226,297.829
1323.599,298.850
1323.949,299.850
1324.276,300.826
1324.584,301.779
1324.876,302.712
1325.153,303.626
1325.419,304.525
1325.677,305.409
1325.927,306.281
1326.175,307.143
1326.421,307.997
1326.669,308.846
1326.922,309.691
1327.181,310.534
1327.450,311.378
1327.731,312.225
1328.027,313.076
1328.339,313.935
1328.666,314.804
1329.005,315.687
1329.354,316.588
1329.709,317.510
1330.070,318.456
1330.433,319.431
1330.795,320.438
1331.155,321.480
1331.510,322.561
1331.858,323.684
1332.195,324.854
1332.521,326.073
1332.831,327.345
1333.124,328.673
1333.397,330.062
1333.648,331.515
1333.875,333.035
1334.074,334.626
1334.245,336.288
1334.388,338.021
1334.502,339.822
1334.589,341.690
1334.649,343.621
1334.681,345.615
1334.686,347.668
1334.664,349.780
1334.616,351.947
1334.542,354.169
1334.441,356.442
1334.315,358.766
1334.163,361.137
1333.986,363.555
1333.783,366.016
1333.556,368.519
1333.304,371.062
1333.028,373.643
1332.728,376.259
1332.404,378.909
1332.057,381.591
1331.686,384.303
1331.292,387.042
1330.875,389.807
1330.435,392.596
1329.973,395.406
1329.489,398.236
1328.983,401.084
1328.456,403.946
1327.907,406.823
1327.337,409.711
1326.746,412.608
1326.134,415.513
1325.502,418.423
1324.849,421.337
1324.177,424.252
1323.485,427.166
1322.774,430.077
1322.043,432.984
1321.294,435.884
1320.526,438.776
1319.739,441.657
1318.935,444.526
1318.113,447.382
1317.275,450.223
1316.420,453.049
1315.549,455.857
1314.662,458.646
1313.761,461.416
1312.845,464.164
1311.916,466.889
1310.972,469.589
1310.016,472.264
1309.047,474.913
1308.066,477.532
1307.074,480.122
1306.070,482.681
1305.056,485.207
1304.031,487.699
1302.997,490.155
1301.954,492.575
1300.902,494.957
1299.842,497.299
1298.774,499.601
1297.699,501.860
1296.617,504.075
1295.528,506.246
1294.434,508.370
1293.335,510.446
1292.230,512.473
1291.122,514.449
1290.009,516.373
1288.893,518.244
1287.774,520.060
1286.652,521.820
1285.529,523.523
1284.404,525.166
1283.278,526.749
1282.151,528.271
1281.025,529.729
1279.898,531.123
1278.773,532.452
1277.647,533.718
1276.520,534.923
1275.391,536.069
1274.259,537.160
1273.123,538.196
1271.981,539.182
1270.834,540.119
1269.680,541.009
1268.518,541.855
1267.347,542.659
1266.167,543.423
1264.975,544.151
1263.772,544.844
1262.556,545.504
1261.326,546.135
1260.082,546.738
1258.823,547.316
1257.546,547.871
1256.252,548.405
1254.940,548.922
1253.608,549.422
1252.256,549.910
1250.883,550.386
1249.487,550.852
1248.068,551.307
1246.626,551.752
1245.160,552.188
1243.668,552.613
1242.150,553.028
1240.606,553.434
1239.035,553.830
1237.435,554.217
1235.807,554.594
1234.148,554.962
1232.460,555.321
1230.740,555.671
1228.989,556.013
1227.205,556.345
1225.387,556.669
1223.536,556.985
1221.650,557.292
1219.728,557.591
1217.770,557.881
1215.775,558.164
1213.742,558.439
1211.670,558.706
1209.559,558.966
1207.408,559.218
1205.217,559.463
1202.984,559.700
1200.708,559.931
1198.390,560.154
1196.029,560.370
1193.628,560.580
1191.187,560.782
1188.708,560.978
1186.192,561.166
1183.641,561.348
1181.057,561.522
1178.440,561.689
1175.792,561.850
1173.115,562.003
1170.410,562.150
1167.677,562.289
1164.920,562.422
1162.139,562.547
1159.336,562.665
1156.511,562.777
1153.667,562.881
1150.805,562.978
1147.926,563.069
1145.031,563.152
1142.123,563.228
1139.202,563.297
1136.271,563.359
1133.329,563.414
1130.379,563.462
1127.423,563.502
1124.461,563.536
1121.495,563.563
1118.526,563.582
1115.557,563.595
1112.588,563.600
1109.620,563.598
1106.656,563.589
1103.695,563.573
1100.741,563.550
1097.795,563.520
1094.857,563.483
1091.929,563.438
1089.013,563.387
1086.110,563.328
1083.222,563.262
1080.349,563.189
1077.493,563.109
1074.657,563.021
1071.840,562.927
1069.043,562.825
1066.265,562.717
1063.505,562.602
1060.762,562.481
1058.036,562.353
1055.324,562.219
1052.627,562.080
1049.944,561.934
1047.274,561.784
1044.615,561.627
1041.968,561.466
1039.330,561.300
1036.702,561.129
1034.082,560.954
1031.469,560.774
1028.863,560.590
1026.263,560.402
1023.667,560.210
1021.076,560.015
1018.487,559.816
1015.900,559.614
1013.315,559.409
1010.730,559.201
1008.145,558.990
1005.558,558.777
1002.969,558.562
1000.377,558.344
997.781,558.125
995.179,557.904
992.573,557.682
989.959,557.458
987.338,557.232
984.708,557.006
982.069,556.780
979.420,556.552
976.760,556.325
974.088,556.097
971.403,555.869
968.704,555.641
965.990,555.413
963.261,555.186
960.516,554.960
957.754,554.735
954.978,554.511
952.190,554.287
949.392,554.064
946.587,553.841
943.776,553.620
940.962,553.398
938.148,553.177
935.336,552.957
932.527,552.737
929.725,552.516
926.932,552.297
924.149,552.077
921.380,551.857
918.626,551.637
915.890,551.417
913.174,551.197
910.480,550.977
907.812,550.756
905.170,550.535
902.557,550.314
899.977,550.092
897.430,549.869
894.919,549.646
892.447,549.422
890.016,549.197
887.628,548.972
885.286,548.745
882.991,548.518
880.746,548.289
878.554,548.060
876.416,547.829
874.335,547.597
872.314,547.364
870.354,547.129
868.458,546.893
866.628,546.655
864.867,546.416
863.176,546.175
861.558,545.932
860.014,545.689
858.541,545.445
857.134,545.204
