X,Y
844.000,537.000
845.019,535.977
846.193,534.979
847.514,534.004
848.971,533.052
850.557,532.123
852.261,531.216
854.073,530.331
855.986,529.467
857.989,528.624
860.073,527.802
862.229,526.999
864.447,526.216
866.719,525.452
869.034,524.706
871.384,523.979
873.759,523.269
876.150,522.577
878.547,521.901
880.942,521.242
883.324,520.598
885.685,519.969
888.016,519.356
890.306,518.757
892.547,518.172
894.729,517.600
896.843,517.042
898.882,516.496
900.848,515.962
902.747,515.438
904.585,514.925
906.368,514.422
908.101,513.927
909.789,513.440
911.440,512.960
913.058,512.486
914.649,512.017
916.220,511.553
917.775,511.093
919.321,510.636
920.863,510.181
922.407,509.727
923.959,509.274
925.525,508.821
927.110,508.367
928.719,507.911
930.360,507.452
932.037,506.990
933.755,506.524
935.512,506.054
937.305,505.583
939.129,505.109
940.983,504.636
942.862,504.163
944.764,503.691
946.685,503.221
948.621,502.755
950.570,502.293
952.529,501.835
954.493,501.384
956.460,500.940
958.426,500.503
960.388,500.075
962.344,499.657
964.288,499.250
966.219,498.854
968.133,498.470
970.026,498.100
971.896,497.744
973.739,497.403
975.552,497.079
977.331,496.771
979.080,496.480
980.800,496.207
982.497,495.950
984.174,495.710
985.834,495.487
987.483,495.280
989.122,495.089
990.758,494.914
992.392,494.754
994.029,494.611
995.673,494.483
997.328,494.370
998.997,494.273
1000.685,494.191
1002.395,494.123
1004.130,494.070
1005.896,494.032
1007.695,494.008
1009.532,493.998
1011.409,494.002
1013.331,494.020
1015.294,494.052
1017.298,494.099
1019.341,494.160
1021.422,494.235
1023.537,494.325
1025.686,494.429
1027.868,494.549
1030.079,494.684
1032.320,494.834
1034.587,494.999
1036.880,495.180
1039.196,495.376
1041.534,495.588
1043.892,495.816
1046.269,496.060
1048.662,496.321
1051.071,496.598
1053.493,496.891
1055.927,497.201
1058.371,497.527
1060.823,497.871
1063.282,498.231
1065.746,498.609
1068.213,499.004
1070.681,499.417
1073.149,499.848
1075.616,500.296
1078.080,500.761
1080.542,501.245
1083.002,501.746
1085.459,502.264
1087.914,502.799
1090.366,503.351
1092.817,503.920
1095.265,504.505
1097.712,505.107
1100.156,505.725
1102.598,506.359
1105.038,507.009
1107.476,507.675
1109.912,508.356
1112.346,509.053
1114.778,509.765
1117.209,510.492
1119.637,511.234
1122.064,511.991
