X	Y
52.789	67.297
52.861	67.194
52.948	67.102
53.049	67.019
53.163	66.944
53.289	66.874
53.428	66.807
53.577	66.741
53.736	66.673
53.905	66.601
54.082	66.523
54.267	66.437
54.459	66.341
54.657	66.233
54.860	66.113
55.070	65.981
55.284	65.838
55.504	65.686
55.729	65.524
55.959	65.354
56.193	65.177
56.431	64.992
56.674	64.802
56.920	64.607
57.170	64.407
57.424	64.203
57.681	63.997
57.941	63.788
58.204	63.578
58.469	63.368
58.737	63.158
59.007	62.949
59.279	62.741
59.553	62.537
59.829	62.335
60.106	62.138
60.384	61.946
60.664	61.759
60.944	61.577
61.226	61.399
61.509	61.225
61.793	61.055
62.078	60.889
62.364	60.726
62.652	60.566
62.941	60.408
63.231	60.253
63.523	60.100
63.816	59.948
64.110	59.798
64.405	59.649
64.702	59.500
65.001	59.352
65.300	59.204
65.602	59.056
65.904	58.907
66.208	58.757
66.514	58.607
66.821	58.455
67.130	58.301
67.440	58.144
67.752	57.986
68.065	57.825
68.380	57.662
68.695	57.497
69.011	57.331
69.327	57.164
69.642	56.996
69.957	56.828
70.272	56.661
70.584	56.494
70.896	56.328
71.205	56.164
71.512	56.001
71.817	55.841
72.118	55.683
72.416	55.529
72.711	55.377
73.002	55.230
73.288	55.087
73.569	54.948
73.846	54.814
74.117	54.686
74.383	54.564
74.642	54.447
74.895	54.338
75.142	54.235
75.381	54.139
75.615	54.051
75.843	53.968
76.068	53.892
76.289	53.822
76.507	53.757
76.724	53.697
76.940	53.642
77.156	53.591
77.373	53.544
77.591	53.500
77.813	53.460
78.038	53.422
78.267	53.387
78.502	53.354
78.743	53.322
78.991	53.292
79.247	53.263
79.511	53.234
79.782	53.206
80.059	53.179
80.342	53.153
80.630	53.127
80.922	53.102
81.216	53.077
81.513	53.053
81.812	53.030
82.111	53.007
82.410	52.985
82.708	52.963
83.004	52.942
83.298	52.922
83.588	52.901
83.874	52.882
84.155	52.862
84.431	52.844
84.699	52.825
84.961	52.807
85.214	52.790
85.458	52.772
85.694	52.756
85.922	52.740
86.143	52.726
86.357	52.714
86.566	52.704
86.770	52.697
86.969	52.693
87.164	52.691
87.356	52.694
87.546	52.700
87.734	52.711
87.921	52.727
88.108	52.748
88.295	52.774
88.482	52.806
88.670	52.844
88.858	52.889
89.043	52.941
89.224	53.000
89.401	53.066
89.571	53.141
89.734	53.224
89.888	53.315
90.032	53.415
90.164	53.525
90.283	53.644
90.387	53.773
90.476	53.913
90.549	54.063
90.605	54.223
90.646	54.394
90.673	54.574
90.686	54.763
90.685	54.961
90.672	55.168
90.648	55.383
90.612	55.606
90.567	55.837
90.511	56.075
90.447	56.320
90.374	56.572
90.295	56.830
90.208	57.095
90.115	57.365
90.017	57.641
89.914	57.922
89.805	58.207
89.692	58.497
89.574	58.790
89.452	59.087
89.325	59.386
89.193	59.688
89.057	59.992
88.917	60.298
88.772	60.604
88.624	60.912
88.472	61.219
88.316	61.527
88.156	61.833
87.992	62.139
87.825	62.443
87.655	62.746
87.482	63.046
87.305	63.343
87.125	63.637
86.942	63.927
86.757	64.213
86.568	64.495
86.378	64.771
86.184	65.042
85.988	65.308
85.790	65.568
85.590	65.823
85.387	66.073
85.182	66.317
84.976	66.556
84.767	66.790
84.557	67.018
84.345	67.242
84.131	67.460
83.916	67.674
83.700	67.882
83.482	68.086
83.262	68.285
83.042	68.479
82.821	68.669
82.598	68.854
82.375	69.034
82.151	69.210
81.926	69.381
81.700	69.548
81.474	69.711
81.248	69.869
81.021	70.023
80.794	70.172
80.566	70.316
80.339	70.456
80.111	70.590
79.884	70.720
79.657	70.843
79.430	70.962
79.203	71.074
78.977	71.181
78.751	71.282
78.526	71.376
78.301	71.464
78.078	71.546
77.855	71.620
77.633	71.688
77.412	71.749
77.192	71.803
76.974	71.850
76.757	71.889
76.541	71.922
76.327	71.949
76.114	71.970
75.904	71.985
75.695	71.996
75.488	72.001
75.284	72.003
75.082	72.000
74.882	71.994
74.685	71.984
74.491	71.972
74.299	71.957
74.110	71.940
73.924	71.922
73.742	71.902
73.561	71.883
73.383	71.864
73.208	71.847
73.033	71.833
72.860	71.823
72.688	71.818
72.516	71.818
72.344	71.825
72.173	71.840
72.000	71.863
71.827	71.896
71.653	71.939
71.477	71.993
71.299	72.058
71.119	72.132
70.937	72.214
70.751	72.304
70.562	72.400
70.369	72.502
70.173	72.609
69.972	72.719
69.766	72.833
69.555	72.948
69.338	73.065
69.116	73.182
68.887	73.298
68.652	73.412
68.410	73.524
68.160	73.632
67.904	73.737
67.640	73.836
67.371	73.931
67.097	74.021
66.820	74.107
66.540	74.187
66.259	74.262
65.977	74.332
65.696	74.397
65.417	74.457
65.140	74.511
64.867	74.559
64.598	74.602
64.336	74.639
64.080	74.671
63.832	74.696
63.593	74.715
63.364	74.728
63.146	74.734
62.940	74.734
62.747	74.728
62.565	74.716
62.393	74.698
62.229	74.676
62.071	74.649
61.917	74.619
61.765	74.586
61.614	74.550
61.461	74.513
61.304	74.475
61.142	74.436
60.973	74.398
60.795	74.360
60.606	74.323
60.408	74.287
60.200	74.253
59.985	74.220
59.761	74.188
59.530	74.157
59.293	74.128
59.051	74.099
58.803	74.072
58.551	74.046
58.295	74.021
58.036	73.998
57.775	73.975
57.513	73.954
57.249	73.934
56.985	73.915
56.721	73.898
56.459	73.881
56.198	73.866
55.940	73.851
55.685	73.836
55.435	73.821
55.189	73.805
54.950	73.788
54.717	73.768
54.491	73.746
54.274	73.720
54.066	73.691
53.868	73.657
53.681	73.619
53.506	73.575
53.343	73.525
53.193	73.469
53.057	73.406
52.937	73.335
52.831	73.256
52.738	73.169
52.659	73.073
52.593	72.967
52.538	72.852
52.494	72.726
52.461	72.590
52.437	72.443
52.423	72.285
52.417	72.115
52.418	71.935
52.425	71.747
52.439	71.554
52.456	71.356
52.478	71.157
52.502	70.957
52.528	70.759
52.555	70.565
52.582	70.377
52.607	70.196
52.631	70.024
52.652	69.865
52.669	69.718
52.682	69.586
52.690	69.466
52.695	69.354
52.696	69.247
52.693	69.144
52.689	69.039
52.681	68.931
52.672	68.817
52.661	68.692
52.650	68.558
52.639	68.416
52.632	68.270
52.628	68.120
52.631	67.970
52.641	67.822
52.660	67.678
52.690	67.541
52.733	67.414
52.789	67.297
