X	Y
54.252	72.539
54.323	72.435
54.417	72.335
54.534	72.240
54.671	72.151
54.830	72.066
55.008	71.986
55.205	71.910
55.420	71.840
55.653	71.773
55.902	71.711
56.167	71.654
56.447	71.600
56.741	71.551
57.049	71.506
57.369	71.465
57.701	71.427
58.043	71.393
58.396	71.363
58.758	71.336
59.128	71.313
59.506	71.293
59.891	71.277
60.282	71.264
60.678	71.254
61.078	71.247
61.481	71.244
61.886	71.244
62.293	71.248
62.700	71.255
63.108	71.265
63.514	71.279
63.918	71.296
64.319	71.316
64.716	71.340
65.108	71.367
65.495	71.397
65.876	71.431
66.249	71.467
66.613	71.508
66.969	71.551
67.315	71.598
67.650	71.648
67.973	71.702
68.283	71.758
68.580	71.818
68.863	71.882
69.130	71.948
69.381	72.018
69.615	72.091
69.832	72.168
70.036	72.247
70.226	72.329
70.406	72.415
70.578	72.502
70.742	72.592
70.902	72.685
71.060	72.779
71.216	72.876
71.373	72.974
71.534	73.074
71.699	73.175
71.871	73.278
72.052	73.382
72.244	73.488
72.449	73.594
72.665	73.701
72.893	73.809
73.129	73.919
73.373	74.030
73.624	74.143
73.879	74.257
74.138	74.374
74.398	74.493
74.659	74.615
74.919	74.739
75.177	74.866
75.430	74.996
75.678	75.129
75.920	75.265
76.152	75.405
76.375	75.549
76.587	75.696
76.786	75.847
76.970	76.003
77.139	76.163
77.291	76.328
77.426	76.497
77.545	76.669
77.647	76.845
77.735	77.024
77.808	77.206
77.866	77.389
77.912	77.574
77.944	77.760
77.965	77.947
77.974	78.134
77.971	78.321
77.959	78.507
77.936	78.693
77.904	78.876
77.864	79.058
77.814	79.238
77.756	79.417
77.689	79.594
77.614	79.771
77.529	79.946
77.435	80.121
77.332	80.296
77.220	80.471
77.098	80.646
76.967	80.821
76.827	80.997
76.677	81.174
76.518	81.352
76.349	81.531
76.170	81.712
75.981	81.895
75.783	82.079
75.576	82.265
75.360	82.452
75.136	82.639
74.905	82.826
74.667	83.013
74.423	83.198
74.173	83.382
73.917	83.565
73.657	83.745
73.392	83.922
73.124	84.096
72.853	84.266
72.579	84.432
72.303	84.594
72.026	84.750
71.748	84.901
71.469	85.046
71.190	85.184
70.912	85.316
70.635	85.440
70.360	85.557
70.087	85.665
69.817	85.765
69.550	85.856
69.285	85.939
69.023	86.015
68.763	86.084
68.504	86.146
68.247	86.203
67.991	86.254
67.736	86.300
67.482	86.342
67.228	86.380
66.974	86.416
66.720	86.448
66.466	86.479
66.211	86.507
65.955	86.535
65.697	86.562
65.439	86.590
65.178	86.618
64.916	86.647
64.651	86.677
64.384	86.710
64.114	86.744
63.842	86.780
63.568	86.816
63.293	86.852
63.016	86.888
62.738	86.923
62.459	86.956
62.179	86.986
61.899	87.014
61.619	87.038
61.339	87.059
61.060	87.075
60.781	87.085
60.502	87.090
60.225	87.089
59.950	87.081
59.676	87.065
59.404	87.042
59.134	87.009
58.866	86.968
58.601	86.917
58.339	86.856
58.080	86.785
57.825	86.705
57.574	86.615
57.327	86.516
57.084	86.409
56.846	86.294
56.613	86.171
56.386	86.041
56.165	85.903
55.950	85.758
55.741	85.607
55.539	85.450
55.344	85.287
55.157	85.118
54.978	84.944
54.806	84.765
54.643	84.581
54.489	84.393
54.344	84.202
54.208	84.006
54.081	83.808
53.964	83.605
53.856	83.400
53.757	83.192
53.667	82.980
53.586	82.766
53.514	82.549
53.451	82.330
53.397	82.108
53.352	81.884
53.316	81.657
53.289	81.429
53.271	81.199
53.261	80.967
53.260	80.733
53.267	80.498
53.283	80.262
53.308	80.025
53.339	79.787
53.377	79.549
53.420	79.313
53.467	79.077
53.518	78.844
53.571	78.613
53.625	78.385
53.679	78.161
53.733	77.941
53.785	77.727
53.835	77.518
53.881	77.315
53.922	77.119
53.957	76.930
53.986	76.749
54.007	76.577
54.020	76.414
54.025	76.259
54.025	76.111
54.021	75.970
54.014	75.835
54.007	75.703
54.000	75.575
53.995	75.450
53.994	75.326
53.999	75.202
54.011	75.078
54.030	74.953
54.056	74.826
54.086	74.699
54.118	74.570
54.151	74.441
54.182	74.311
54.209	74.180
54.231	74.048
54.246	73.916
54.252	73.784
54.247	73.652
54.234	73.520
54.216	73.389
54.196	73.259
54.179	73.131
54.168	73.005
54.166	72.883
54.177	72.764
54.204	72.649
54.252	72.539
