X,Y
39.420,16.205
39.440,16.154
39.466,16.103
39.497,16.053
39.533,16.004
39.573,15.955
39.618,15.907
39.667,15.859
39.720,15.811
39.777,15.764
39.837,15.717
39.901,15.670
39.968,15.623
40.038,15.576
40.110,15.529
40.186,15.481
40.263,15.434
40.343,15.386
40.425,15.338
40.509,15.290
40.594,15.241
40.681,15.191
40.769,15.141
40.858,15.090
40.947,15.038
41.037,14.985
41.128,14.932
41.219,14.877
41.309,14.822
41.400,14.765
41.490,14.707
41.580,14.647
41.668,14.587
41.756,14.525
41.843,14.461
41.929,14.397
42.014,14.331
42.098,14.263
42.181,14.195
42.264,14.125
42.346,14.055
42.427,13.983
42.507,13.911
42.587,13.837
42.666,13.763
42.745,13.688
42.823,13.612
42.900,13.535
42.978,13.457
43.054,13.379
43.131,13.301
43.207,13.221
43.282,13.142
43.357,13.062
43.433,12.981
43.507,12.900
43.582,12.819
43.656,12.737
43.731,12.656
43.805,12.574
43.879,12.492
43.953,12.410
44.028,12.328
44.102,12.246
44.176,12.164
44.250,12.082
44.325,12.001
44.400,11.919
44.475,11.838
44.550,11.757
44.625,11.677
44.701,11.597
44.777,11.517
44.854,11.438
44.931,11.360
45.008,11.282
45.086,11.204
45.163,11.127
45.242,11.050
45.320,10.973
45.399,10.896
45.479,10.820
45.558,10.744
45.638,10.668
45.718,10.593
45.798,10.517
45.879,10.442
45.960,10.366
46.041,10.291
46.122,10.215
46.204,10.140
46.286,10.064
46.368,9.989
46.450,9.913
46.532,9.837
46.615,9.760
46.698,9.684
46.780,9.607
46.863,9.530
46.947,9.452
47.030,9.374
47.113,9.296
47.197,9.217
47.280,9.138
47.364,9.058
47.448,8.978
47.532,8.897
47.615,8.815
47.699,8.733
47.783,8.650
47.867,8.567
47.951,8.482
48.035,8.397
48.119,8.311
48.203,8.224
48.287,8.136
48.371,8.048
48.455,7.958
48.539,7.868
48.623,7.778
48.707,7.686
48.791,7.595
48.875,7.502
48.958,7.410
49.042,7.316
49.126,7.223
49.209,7.129
49.293,7.035
49.376,6.941
49.460,6.846
49.543,6.752
49.626,6.657
49.710,6.563
49.793,6.468
49.876,6.374
49.959,6.280
50.042,6.186
50.125,6.092
50.207,5.998
50.290,5.905
50.373,5.813
50.455,5.721
50.538,5.629
50.620,5.538
50.702,5.447
50.784,5.358
50.866,5.269
50.948,5.180
51.029,5.093
51.111,5.006
51.193,4.921
51.274,4.836
51.355,4.752
51.436,4.670
51.517,4.588
51.598,4.508
51.679,4.429
51.759,4.351
51.839,4.275
51.920,4.200
52.000,4.126
52.080,4.054
52.159,3.983
52.239,3.913
52.318,3.844
52.398,3.777
52.477,3.711
52.556,3.646
52.635,3.582
52.714,3.519
52.793,3.457
52.871,3.396
52.950,3.335
53.028,3.276
53.106,3.218
53.185,3.160
53.263,3.103
53.341,3.047
53.419,2.991
53.497,2.937
53.575,2.882
53.652,2.828
53.730,2.775
53.808,2.722
53.885,2.670
53.963,2.618
54.040,2.567
54.118,2.515
54.195,2.464
54.272,2.413
54.350,2.363
54.427,2.312
54.504,2.262
54.581,2.212
54.658,2.162
54.736,2.112
54.813,2.061
54.890,2.011
54.967,1.961
55.045,1.911
55.122,1.862
55.200,1.812
55.277,1.763
55.355,1.714
55.433,1.666
55.511,1.618
55.590,1.571
55.668,1.524
55.747,1.478
55.827,1.432
55.906,1.387
55.986,1.343
56.066,1.300
56.147,1.258
56.228,1.216
56.310,1.175
56.392,1.136
56.474,1.097
56.557,1.060
56.641,1.024
56.725,0.988
56.809,0.955
56.894,0.922
56.980,0.891
57.067,0.861
57.154,0.833
57.242,0.806
57.330,0.780
57.420,0.757
57.510,0.735
57.600,0.714
57.691,0.695
57.783,0.678
57.874,0.663
57.966,0.649
58.057,0.637
58.149,0.627
58.240,0.618
58.330,0.611
58.420,0.606
58.510,0.603
58.598,0.601
58.686,0.601
58.772,0.603
58.857,0.607
58.940,0.613
59.022,0.620
59.103,0.630
59.181,0.641
59.258,0.654
59.332,0.669
59.405,0.686
59.474,0.705
59.542,0.725
59.607,0.748
59.669,0.772
59.728,0.799
59.784,0.827
59.837,0.858
59.887,0.890
59.934,0.924
59.978,0.960
60.019,0.997
60.058,1.036
60.094,1.076
60.128,1.116
60.159,1.158
60.189,1.200
60.217,1.243
60.243,1.287
60.268,1.330
60.292,1.374
60.314,1.418
60.335,1.461
60.355,1.504
60.375,1.547
60.394,1.589
60.412,1.630
60.430,1.670
60.448,1.710
60.465,1.750
60.482,1.789
60.499,1.828
60.516,1.868
60.532,1.907
60.548,1.948
60.563,1.989
60.579,2.030
60.594,2.073
60.609,2.118
60.624,2.163
60.638,2.211
60.653,2.260
60.667,2.311
60.681,2.364
60.695,2.420
60.708,2.478
60.721,2.537
60.734,2.599
60.747,2.663
60.758,2.728
60.769,2.795
60.780,2.864
60.789,2.934
60.798,3.006
60.806,3.079
60.813,3.153
60.819,3.229
60.823,3.306
60.827,3.384
60.829,3.463
60.830,3.544
60.829,3.625
60.827,3.707
60.823,3.789
60.818,3.872
60.811,3.956
60.803,4.041
60.792,4.125
60.780,4.211
60.765,4.296
60.749,4.382
60.730,4.468
60.710,4.554
60.688,4.640
60.664,4.726
60.638,4.813
60.611,4.899
60.583,4.986
60.553,5.073
60.522,5.160
60.489,5.247
60.456,5.334
60.422,5.421
60.387,5.508
60.351,5.595
60.314,5.682
60.277,5.769
60.240,5.856
60.202,5.944
60.164,6.031
