X,Y
10.346,5.000
10.355,4.996
10.365,4.993
10.375,4.991
10.387,4.989
10.399,4.989
10.412,4.989
10.425,4.990
10.440,4.991
10.455,4.993
10.471,4.996
10.487,5.000
10.504,5.004
10.522,5.008
10.540,5.013
10.559,5.019
10.579,5.025
10.599,5.032
10.620,5.039
10.641,5.046
10.663,5.054
10.685,5.062
10.707,5.070
10.730,5.079
10.754,5.088
10.778,5.098
10.802,5.107
10.826,5.117
10.851,5.127
10.876,5.137
10.902,5.147
10.927,5.157
10.953,5.168
10.980,5.178
11.006,5.189
11.032,5.199
11.059,5.210
11.086,5.220
11.113,5.230
11.140,5.241
11.167,5.251
11.194,5.261
11.221,5.271
11.248,5.280
11.275,5.290
11.303,5.299
11.330,5.308
11.357,5.316
11.384,5.325
11.411,5.333
11.438,5.341
11.465,5.349
11.492,5.356
11.519,5.364
11.545,5.371
11.572,5.378
11.599,5.385
11.626,5.392
11.652,5.398
11.679,5.404
11.706,5.411
11.732,5.417
11.759,5.423
11.785,5.428
11.812,5.434
11.838,5.440
11.865,5.445
11.891,5.450
11.918,5.456
11.944,5.461
11.970,5.466
11.996,5.471
12.023,5.475
12.049,5.480
12.075,5.485
12.101,5.489
12.127,5.494
12.153,5.499
12.179,5.503
12.205,5.507
12.230,5.512
12.256,5.516
12.282,5.521
12.308,5.525
12.333,5.529
12.359,5.534
12.384,5.538
12.410,5.542
12.435,5.547
12.461,5.551
12.486,5.555
12.511,5.560
12.537,5.564
12.562,5.569
12.587,5.573
12.612,5.578
12.637,5.582
12.662,5.587
12.687,5.592
12.712,5.597
12.737,5.602
12.761,5.607
12.786,5.612
12.811,5.617
12.835,5.622
12.860,5.627
12.885,5.633
12.909,5.638
12.934,5.643
12.958,5.649
12.983,5.654
13.008,5.660
13.032,5.665
13.057,5.671
13.081,5.677
13.106,5.682
13.130,5.688
13.155,5.694
13.179,5.700
13.204,5.705
13.229,5.711
13.253,5.717
13.278,5.723
13.303,5.729
13.328,5.735
13.352,5.741
13.377,5.746
13.402,5.752
13.427,5.758
13.452,5.764
13.477,5.770
13.502,5.776
13.528,5.782
13.553,5.788
13.578,5.794
13.604,5.800
13.629,5.806
13.655,5.811
13.681,5.817
13.706,5.823
13.732,5.829
13.758,5.835
13.784,5.841
13.811,5.846
13.837,5.852
13.863,5.858
13.890,5.864
13.917,5.869
13.943,5.875
13.970,5.880
13.997,5.886
14.025,5.891
14.052,5.897
14.079,5.902
14.107,5.908
14.134,5.913
14.162,5.919
14.190,5.924
14.218,5.930
14.246,5.935
14.274,5.941
14.302,5.946
14.331,5.952
14.359,5.957
14.387,5.963
14.416,5.968
14.444,5.974
14.473,5.980
14.502,5.986
14.531,5.992
14.560,5.998
14.588,6.004
14.617,6.010
14.646,6.016
14.675,6.022
14.705,6.028
14.734,6.035
14.763,6.041
14.792,6.048
14.821,6.055
14.851,6.062
14.880,6.069
14.909,6.076
14.939,6.083
14.968,6.091
14.997,6.098
15.027,6.106
15.056,6.114
15.085,6.122
15.115,6.130
15.144,6.138
15.173,6.147
15.203,6.156
15.232,6.165
15.261,6.174
15.291,6.183
15.320,6.192
15.349,6.202
15.378,6.212
15.407,6.222
15.437,6.232
15.466,6.243
15.495,6.254
15.524,6.265
15.553,6.276
15.581,6.287
15.610,6.299
15.639,6.311
15.668,6.323
15.696,6.336
15.725,6.348
15.753,6.361
15.782,6.374
15.810,6.388
15.838,6.401
15.866,6.415
15.894,6.429
15.922,6.443
15.950,6.458
15.978,6.472
16.005,6.487
16.033,6.502
16.060,6.517
16.087,6.532
16.114,6.548
16.141,6.563
16.168,6.579
16.195,6.594
16.221,6.610
16.247,6.626
16.273,6.643
16.299,6.659
16.325,6.675
16.351,6.691
16.376,6.708
16.401,6.725
16.426,6.741
16.451,6.758
16.476,6.775
16.500,6.792
16.525,6.809
16.549,6.825
16.573,6.842
16.596,6.859
16.619,6.876
16.643,6.893
16.665,6.911
16.688,6.928
16.711,6.945
16.733,6.962
16.755,6.979
16.776,6.996
16.798,7.013
16.819,7.030
16.840,7.047
16.860,7.063
16.880,7.080
16.900,7.097
16.920,7.114
16.940,7.130
16.959,7.147
16.977,7.163
16.996,7.180
17.014,7.196
17.032,7.212
17.050,7.228
17.067,7.244
17.084,7.260
17.100,7.276
17.116,7.291
17.132,7.307
17.148,7.322
17.163,7.338
17.178,7.353
17.192,7.369
17.206,7.384
17.220,7.399
17.233,7.415
17.246,7.430
17.259,7.445
17.271,7.460
17.283,7.475
17.294,7.491
17.305,7.506
17.316,7.521
17.326,7.537
17.335,7.552
17.345,7.567
17.353,7.583
17.362,7.598
17.370,7.614
17.377,7.629
17.384,7.645
17.391,7.661
17.397,7.677
17.403,7.693
17.408,7.709
17.412,7.725
17.417,7.741
17.420,7.758
17.424,7.774
17.426,7.791
17.429,7.808
17.430,7.825
17.432,7.842
17.432,7.860
17.433,7.877
17.432,7.895
17.432,7.912
17.431,7.930
17.429,7.948
17.427,7.966
17.424,7.984
17.421,8.003
17.418,8.021
17.414,8.039
17.409,8.058
17.405,8.077
17.399,8.095
17.394,8.114
17.388,8.133
17.381,8.152
17.374,8.171
17.367,8.190
17.359,8.209
17.351,8.228
17.342,8.247
17.334,8.267
17.324,8.286
17.314,8.305
17.304,8.325
17.294,8.344
17.283,8.363
17.272,8.383
17.260,8.402
17.248,8.421
17.236,8.441
17.224,8.460
17.211,8.479
17.197,8.499
17.184,8.518
17.170,8.537
17.155,8.557
17.141,8.576
17.126,8.595
17.111,8.614
17.095,8.633
17.079,8.652
17.063,8.671
17.047,8.690
17.030,8.709
17.013,8.728
16.996,8.747
16.979,8.766
16.961,8.784
16.943,8.803
16.925,8.822
16.907,8.840
16.888,8.858
16.869,8.877
16.850,8.895
16.831,8.913
16.812,8.931
16.792,8.949
16.772,8.967
16.752,8.985
16.732,9.003
16.712,9.021
16.692,9.038
16.671,9.056
16.651,9.073
16.630,9.090
16.609,9.107
16.588,9.124
16.567,9.141
16.545,9.158
16.524,9.175
16.503,9.191
16.481,9.208
16.460,9.224
16.438,9.240
16.416,9.256
16.395,9.272
16.373,9.288
16.351,9.303
16.329,9.319
16.307,9.334
16.285,9.349
16.263,9.364
16.241,9.379
16.219,9.394
16.197,9.409
16.175,9.423
16.153,9.437
16.131,9.451
16.110,9.465
16.088,9.479
16.066,9.492
16.044,9.506
16.022,9.519
16.000,9.532
15.978,9.545
15.956,9.558
15.935,9.570
15.913,9.583
15.891,9.595
15.869,9.607
15.847,9.619
15.825,9.631
15.803,9.642
15.781,9.654
15.759,9.665
15.737,9.676
15.714,9.687
15.692,9.698
15.670,9.708
15.648,9.719
15.626,9.729
15.603,9.739
15.581,9.749
15.558,9.759
15.536,9.768
15.513,9.778
15.490,9.787
15.468,9.796
15.445,9.805
15.422,9.814
15.399,9.823
15.376,9.831
15.353,9.839
15.329,9.847
15.306,9.855
15.283,9.863
15.259,9.871
15.236,9.878
15.212,9.885
15.188,9.893
15.164,9.900
15.140,9.906
15.116,9.913
15.092,9.919
15.067,9.926
15.043,9.932
15.018,9.938
14.993,9.944
14.968,9.949
14.943,9.955
14.918,9.960
14.893,9.965
14.868,9.970
14.842,9.975
14.817,9.980
14.791,9.984
14.765,9.988
14.739,9.993
14.713,9.997
14.687,10.000
14.661,10.004
14.634,10.008
14.608,10.011
14.581,10.014
14.554,10.017
14.527,10.020
14.500,10.023
14.473,10.025
14.446,10.028
14.419,10.030
14.391,10.032
14.364,10.034
14.336,10.036
14.309,10.037
14.281,10.039
14.253,10.040
14.225,10.041
14.197,10.042
14.168,10.043
14.140,10.043
14.112,10.044
14.083,10.044
14.054,10.044
14.026,10.044
13.997,10.044
13.968,10.044
13.939,10.044
13.910,10.043
13.880,10.042
13.851,10.041
13.822,10.040
13.792,10.039
13.762,10.038
13.733,10.036
13.703,10.034
13.673,10.032
13.643,10.030
13.613,10.028
13.583,10.026
13.552,10.023
13.522,10.021
13.492,10.018
13.461,10.015
13.431,10.012
13.400,10.009
13.369,10.006
13.339,10.002
13.308,9.998
13.277,9.994
13.246,9.991
13.215,9.986
13.185,9.982
13.154,9.978
13.123,9.973
13.092,9.969
13.061,9.964
13.031,9.959
13.000,9.954
12.969,9.948
12.939,9.943
12.908,9.937
12.878,9.932
12.847,9.926
12.817,9.920
12.787,9.914
12.757,9.908
12.727,9.901
12.697,9.895
12.667,9.888
12.637,9.882
12.608,9.875
12.579,9.868
12.549,9.861
12.520,9.853
12.492,9.846
12.463,9.838
12.434,9.831
12.406,9.823
12.378,9.815
12.350,9.807
12.323,9.799
12.295,9.791
12.268,9.782
12.241,9.774
12.214,9.765
12.188,9.756
12.161,9.747
12.136,9.738
12.110,9.729
12.084,9.720
12.059,9.711
12.035,9.701
12.010,9.692
11.986,9.682
11.962,9.672
11.938,9.662
