X,Y
46.477,14.634
46.473,14.635
46.473,14.633
46.478,14.626
46.487,14.616
46.499,14.603
46.515,14.587
46.535,14.567
46.558,14.544
46.585,14.519
46.615,14.490
46.648,14.459
46.684,14.426
46.723,14.390
46.764,14.352
46.808,14.311
46.855,14.269
46.904,14.225
46.955,14.179
47.009,14.131
47.064,14.082
47.121,14.032
47.180,13.980
47.241,13.927
47.303,13.873
47.366,13.818
47.431,13.762
47.497,13.706
47.563,13.649
47.631,13.592
47.699,13.535
47.768,13.477
47.837,13.420
47.906,13.362
47.976,13.305
48.046,13.248
48.116,13.191
48.185,13.136
48.255,13.081
48.323,13.026
48.392,12.973
48.460,12.921
48.527,12.870
48.593,12.819
48.659,12.770
48.725,12.722
48.790,12.674
48.855,12.627
48.919,12.581
48.982,12.536
49.046,12.492
49.109,12.448
49.171,12.406
49.233,12.363
49.295,12.322
49.356,12.281
49.417,12.240
49.478,12.201
49.538,12.161
49.599,12.123
49.659,12.085
49.718,12.047
49.778,12.009
49.837,11.973
49.896,11.936
49.955,11.900
50.014,11.864
50.073,11.829
50.132,11.793
50.190,11.758
50.249,11.723
50.307,11.689
50.365,11.654
50.424,11.620
50.482,11.586
50.541,11.552
50.599,11.518
50.657,11.484
50.716,11.449
50.775,11.415
50.834,11.381
50.892,11.347
50.951,11.313
51.011,11.278
51.070,11.244
51.130,11.209
51.189,11.174
51.249,11.138
51.310,11.103
51.370,11.067
51.431,11.031
51.491,10.995
51.552,10.959
51.614,10.923
51.675,10.886
51.736,10.849
51.798,10.812
51.860,10.775
51.922,10.738
51.984,10.700
52.046,10.663
52.108,10.625
52.171,10.587
52.233,10.549
52.296,10.511
52.359,10.473
52.421,10.434
52.484,10.396
52.548,10.357
52.611,10.318
52.674,10.279
52.737,10.240
52.801,10.201
52.864,10.162
52.928,10.122
52.991,10.083
53.055,10.043
53.118,10.003
53.182,9.964
53.246,9.924
53.310,9.884
53.373,9.844
53.437,9.804
53.501,9.764
53.565,9.723
53.629,9.683
53.693,9.643
53.756,9.602
53.820,9.562
53.884,9.521
53.948,9.481
54.011,9.440
54.075,9.400
54.139,9.359
54.202,9.319
54.266,9.278
54.329,9.238
54.392,9.197
54.456,9.157
54.519,9.116
54.582,9.076
54.645,9.036
54.707,8.996
54.770,8.956
54.832,8.916
54.894,8.876
54.956,8.837
55.018,8.798
55.080,8.759
55.141,8.720
55.202,8.681
55.263,8.643
55.324,8.605
55.384,8.567
55.444,8.530
55.504,8.493
55.564,8.456
55.623,8.419
55.682,8.383
55.740,8.347
55.799,8.312
55.857,8.277
55.914,8.243
55.971,8.208
56.028,8.175
56.085,8.142
56.141,8.109
56.196,8.077
56.251,8.045
56.306,8.014
56.360,7.983
56.414,7.953
56.468,7.923
56.520,7.894
56.573,7.866
56.625,7.838
56.676,7.811
56.727,7.784
56.778,7.758
56.828,7.733
56.878,7.708
56.927,7.683
56.976,7.659
57.025,7.635
57.074,7.612
57.122,7.590
57.170,7.567
57.218,7.546
57.265,7.524
57.313,7.503
57.360,7.482
57.407,7.461
57.455,7.441
57.502,7.421
57.549,7.401
57.596,7.382
57.643,7.363
57.690,7.344
57.738,7.325
57.785,7.306
57.833,7.287
57.880,7.269
57.928,7.251
57.976,7.232
58.024,7.214
58.073,7.196
58.122,7.178
58.171,7.159
58.220,7.141
58.270,7.123
58.320,7.105
58.370,7.087
58.420,7.070
58.470,7.052
58.521,7.035
58.571,7.019
58.621,7.003
58.671,6.988
58.720,6.973
58.770,6.959
58.819,6.946
58.867,6.934
58.915,6.923
58.963,6.913
59.009,6.904
59.056,6.896
59.101,6.889
59.146,6.884
59.189,6.880
59.232,6.877
59.274,6.876
59.315,6.877
59.355,6.879
59.393,6.884
59.431,6.889
59.467,6.897
59.502,6.907
59.535,6.919
59.567,6.933
59.598,6.949
59.627,6.966
59.655,6.986
59.682,7.007
59.708,7.029
59.732,7.054
59.756,7.079
59.779,7.106
59.801,7.135
59.821,7.165
59.841,7.195
59.861,7.227
59.879,7.260
59.897,7.294
59.914,7.329
59.931,7.365
59.947,7.401
59.962,7.438
59.977,7.475
59.992,7.513
60.006,7.551
60.021,7.590
60.034,7.629
60.048,7.668
60.061,7.708
60.074,7.748
60.087,7.789
60.099,7.830
60.111,7.871
60.123,7.913
60.135,7.955
60.147,7.998
60.158,8.041
60.169,8.084
60.180,8.128
60.191,8.173
60.202,8.218
60.213,8.263
60.223,8.309
60.233,8.356
60.244,8.403
60.254,8.450
60.264,8.498
60.274,8.547
60.284,8.596
60.294,8.645
60.304,8.695
60.313,8.746
60.323,8.797
60.333,8.849
60.343,8.901
60.353,8.954
60.362,9.008
60.372,9.061
60.382,9.116
60.391,9.170
60.400,9.225
60.410,9.280
60.419,9.336
60.428,9.391
60.437,9.447
60.446,9.503
60.454,9.559
60.463,9.616
60.471,9.672
60.479,9.728
60.486,9.784
60.494,9.840
60.501,9.897
60.508,9.952
60.515,10.008
60.521,10.064
60.527,10.119
60.533,10.174
60.538,10.229
60.544,10.283
60.548,10.337
60.553,10.391
60.556,10.444
60.560,10.497
60.563,10.549
60.566,10.600
60.568,10.651
60.570,10.701
60.571,10.751
60.572,10.800
60.573,10.849
60.573,10.897
60.572,10.944
60.571,10.991
60.570,11.038
60.568,11.084
60.566,11.130
60.563,11.176
60.560,11.222
60.556,11.267
60.552,11.312
60.548,11.357
60.543,11.402
60.537,11.447
60.532,11.492
60.526,11.537
60.519,11.582
60.512,11.628
60.504,11.673
60.497,11.719
60.488,11.765
60.480,11.811
60.471,11.857
60.461,11.904
60.451,11.952
60.441,11.999
60.430,12.048
60.419,12.097
60.408,12.146
60.396,12.195
60.383,12.246
60.371,12.296
60.358,12.347
60.344,12.398
60.330,12.450
60.316,12.501
60.302,12.553
60.287,12.605
60.271,12.658
60.256,12.710
60.240,12.762
60.223,12.815
60.207,12.867
60.189,12.920
60.172,12.972
60.154,13.025
60.136,13.077
60.117,13.129
60.099,13.181
60.079,13.232
60.060,13.284
60.040,13.335
60.020,13.386
59.999,13.436
59.978,13.486
59.957,13.536
59.936,13.585
59.914,13.634
59.892,13.682
59.869,13.730
59.847,13.777
59.824,13.823
59.800,13.869
59.777,13.915
59.753,13.960
59.729,14.004
59.705,14.048
59.680,14.092
59.656,14.135
59.631,14.178
59.606,14.220
59.581,14.262
59.557,14.304
59.532,14.346
59.507,14.387
59.482,14.428
59.457,14.469
59.432,14.510
59.407,14.550
59.382,14.591
59.358,14.631
59.333,14.671
59.309,14.711
59.285,14.751
59.261,14.792
59.237,14.832
59.213,14.872
59.190,14.912
59.167,14.953
59.144,14.993
59.122,15.034
59.100,15.075
59.078,15.115
59.056,15.156
59.034,15.197
59.013,15.238
58.991,15.278
58.970,15.319
58.948,15.359
58.926,15.399
58.904,15.439
58.881,15.478
58.859,15.517
58.835,15.555
58.812,15.593
