X,Y
46.897,15.786
46.920,15.772
46.947,15.759
46.977,15.748
47.010,15.737
47.046,15.727
47.086,15.718
47.128,15.710
47.173,15.703
47.221,15.696
47.271,15.691
47.324,15.686
47.379,15.681
47.436,15.678
47.495,15.675
47.556,15.672
47.620,15.670
47.684,15.669
47.751,15.668
47.818,15.667
47.888,15.667
47.958,15.667
48.029,15.668
48.102,15.669
48.175,15.670
48.249,15.671
48.324,15.672
48.400,15.674
48.475,15.675
48.551,15.677
48.627,15.679
48.704,15.680
48.780,15.682
48.857,15.683
48.933,15.685
49.010,15.687
49.086,15.688
49.163,15.690
49.239,15.692
49.316,15.693
49.392,15.695
49.469,15.697
49.545,15.699
49.621,15.700
49.697,15.702
49.773,15.704
49.849,15.706
49.925,15.708
50.000,15.710
50.076,15.712
50.151,15.714
50.225,15.716
50.300,15.718
50.374,15.720
50.448,15.723
50.522,15.725
50.595,15.727
50.668,15.730
50.741,15.732
50.813,15.735
50.885,15.737
50.956,15.740
51.027,15.743
51.097,15.746
51.167,15.749
51.237,15.752
51.306,15.755
51.374,15.758
51.442,15.761
51.510,15.764
51.577,15.768
51.643,15.771
51.709,15.775
51.774,15.779
51.838,15.784
51.902,15.788
51.966,15.793
52.029,15.798
52.091,15.804
52.153,15.809
52.215,15.816
52.276,15.822
52.336,15.829
52.396,15.837
52.455,15.845
52.514,15.854
52.572,15.863
52.630,15.873
52.687,15.883
52.743,15.894
52.799,15.906
52.855,15.918
52.910,15.931
52.965,15.945
53.019,15.960
53.072,15.975
53.125,15.992
53.178,16.009
53.230,16.027
53.281,16.045
53.332,16.065
53.382,16.086
53.432,16.107
53.482,16.129
53.531,16.152
53.580,16.175
53.628,16.199
53.676,16.223
53.723,16.248
53.771,16.273
53.817,16.298
53.864,16.324
53.910,16.350
53.956,16.376
54.001,16.402
54.046,16.428
54.091,16.454
54.136,16.480
54.180,16.506
54.224,16.532
54.268,16.558
54.312,16.583
54.356,16.608
54.399,16.633
54.443,16.657
54.486,16.681
54.529,16.704
54.572,16.726
54.614,16.749
54.657,16.771
54.700,16.792
54.743,16.814
54.785,16.836
54.828,16.857
54.871,16.879
54.914,16.900
54.957,16.922
55.000,16.945
55.043,16.968
55.087,16.991
55.130,17.015
55.174,17.039
55.218,17.064
55.263,17.090
55.307,17.117
55.352,17.144
55.397,17.173
55.443,17.203
55.489,17.234
55.535,17.266
55.582,17.300
55.629,17.335
55.677,17.372
55.725,17.410
55.773,17.449
55.822,17.489
55.871,17.531
55.920,17.574
55.969,17.618
56.018,17.662
56.068,17.708
56.117,17.754
56.166,17.801
56.215,17.849
56.263,17.897
56.311,17.946
56.359,17.995
56.407,18.045
56.454,18.094
56.501,18.144
56.547,18.194
56.592,18.244
56.636,18.294
56.680,18.344
56.723,18.394
56.765,18.443
56.807,18.492
56.847,18.540
56.886,18.588
56.924,18.636
56.961,18.682
56.997,18.728
57.031,18.773
57.064,18.818
57.096,18.861
57.126,18.903
57.155,18.944
57.182,18.985
57.208,19.025
57.233,19.064
57.256,19.103
57.279,19.141
57.299,19.179
57.319,19.218
57.337,19.256
57.354,19.294
57.370,19.333
57.384,19.372
57.398,19.411
57.410,19.451
57.421,19.491
57.431,19.533
57.440,19.575
57.448,19.619
57.455,19.663
57.460,19.709
57.465,19.756
57.469,19.805
57.471,19.855
57.473,19.906
57.474,19.959
57.474,20.013
57.473,20.068
57.471,20.124
57.468,20.180
57.464,20.238
57.460,20.296
57.454,20.355
57.448,20.415
57.441,20.474
57.433,20.534
57.425,20.595
57.416,20.655
57.406,20.716
57.395,20.776
57.383,20.837
57.371,20.897
57.359,20.956
57.345,21.016
57.331,21.074
57.317,21.133
57.302,21.190
57.286,21.247
57.270,21.302
57.253,21.357
57.235,21.411
57.218,21.463
57.199,21.514
57.180,21.564
57.161,21.613
57.141,21.661
57.121,21.708
57.100,21.755
57.078,21.800
57.056,21.845
57.033,21.889
57.010,21.932
56.986,21.975
56.962,22.018
56.936,22.060
56.911,22.102
56.884,22.144
56.857,22.186
56.829,22.228
56.800,22.270
56.771,22.312
56.741,22.354
56.710,22.396
56.679,22.439
56.646,22.482
56.613,22.526
56.579,22.570
56.545,22.615
56.509,22.661
56.473,22.707
56.436,22.754
56.398,22.802
56.360,22.850
56.320,22.898
56.281,22.947
56.240,22.996
56.199,23.045
56.158,23.095
56.116,23.144
56.073,23.194
56.031,23.243
55.987,23.293
55.944,23.342
55.900,23.391
55.855,23.440
55.811,23.489
55.766,23.537
55.721,23.584
55.675,23.632
55.630,23.678
55.584,23.724
55.539,23.769
55.493,23.813
55.447,23.857
55.401,23.900
55.355,23.941
55.310,23.982
55.264,24.022
55.219,24.060
55.173,24.097
55.128,24.133
55.083,24.168
55.038,24.201
54.994,24.233
54.949,24.265
54.905,24.295
54.861,24.325
54.817,24.353
54.773,24.381
54.729,24.409
54.685,24.436
54.641,24.462
54.598,24.488
54.554,24.513
54.511,24.538
54.467,24.563
54.424,24.588
54.380,24.613
54.336,24.637
54.293,24.662
54.249,24.687
54.206,24.712
54.162,24.738
54.118,24.764
54.075,24.790
54.031,24.817
53.987,24.844
53.943,24.872
53.899,24.901
53.854,24.930
53.810,24.959
53.766,24.989
53.721,25.020
53.677,25.051
53.632,25.082
53.587,25.114
53.543,25.145
53.498,25.177
53.453,25.210
53.408,25.242
53.363,25.274
53.318,25.307
53.273,25.339
53.228,25.372
53.183,25.404
53.138,25.437
53.093,25.469
53.048,25.501
53.003,25.532
52.959,25.564
52.914,25.595
52.869,25.626
52.824,25.656
52.779,25.686
52.734,25.715
52.689,25.744
52.644,25.773
52.600,25.801
52.555,25.828
52.511,25.855
52.467,25.881
52.422,25.907
52.378,25.933
52.335,25.957
52.291,25.982
52.247,26.005
52.204,26.029
52.161,26.051
52.119,26.074
52.076,26.095
52.034,26.117
51.992,26.137
51.951,26.157
51.910,26.177
51.869,26.196
51.828,26.215
51.788,26.233
51.749,26.250
51.709,26.267
51.671,26.283
51.632,26.299
51.594,26.314
51.557,26.329
51.519,26.342
51.482,26.354
51.445,26.365
51.409,26.375
51.372,26.383
51.336,26.390
51.299,26.395
51.263,26.398
51.227,26.400
51.190,26.399
51.154,26.396
51.117,26.391
51.080,26.384
51.043,26.374
51.006,26.361
50.968,26.346
50.930,26.328
50.892,26.308
50.854,26.284
50.815,26.259
50.776,26.231
50.737,26.200
50.698,26.168
50.658,26.133
50.618,26.096
50.579,26.057
50.539,26.017
50.499,25.974
50.458,25.930
50.418,25.885
50.378,25.837
50.338,25.789
50.298,25.739
50.258,25.688
50.217,25.635
50.177,25.582
50.137,25.527
50.097,25.472
50.057,25.416
50.018,25.359
49.978,25.301
49.939,25.243
49.900,25.184
49.861,25.125
49.822,25.066
49.783,25.007
49.745,24.947
49.707,24.887
49.670,24.827
49.632,24.767
49.595,24.707
49.558,24.647
49.521,24.586
49.485,24.526
49.448,24.465
49.412,24.405
49.377,24.344
49.341,24.283
49.306,24.223
49.271,24.162
49.236,24.101
49.201,24.040
49.167,23.980
49.132,23.919
49.098,23.858
49.065,23.797
49.031,23.736
48.998,23.676
48.965,23.615
48.932,23.555
48.899,23.494
48.866,23.434
48.834,23.373
48.802,23.313
48.770,23.253
48.738,23.193
48.706,23.133
48.675,23.073
48.644,23.014
48.613,22.954
48.582,22.895
48.551,22.836
48.521,22.777
48.490,22.718
48.460,22.659
48.430,22.601
48.400,22.543
48.371,22.484
48.341,22.426
48.312,22.368
48.283,22.310
48.255,22.252
48.226,22.195
48.198,22.137
48.169,22.079
48.142,22.022
48.114,21.964
48.086,21.906
48.059,21.849
48.032,21.791
48.005,21.734
47.979,21.676
47.953,21.619
47.927,21.561
47.901,21.504
47.875,21.446
47.850,21.389
47.825,21.331
47.800,21.273
47.776,21.215
47.752,21.157
47.728,21.099
47.704,21.041
47.681,20.983
47.657,20.925
47.635,20.866
47.612,20.808
47.589,20.749
47.567,20.691
47.545,20.632
47.523,20.574
47.501,20.515
47.480,20.457
47.458,20.399
47.436,20.341
47.415,20.283
47.393,20.225
47.371,20.168
47.349,20.110
47.328,20.053
47.306,19.997
47.284,19.940
47.261,19.884
47.239,19.828
47.216,19.773
47.194,19.718
47.170,19.664
47.147,19.610
47.123,19.556
47.100,19.503
47.075,19.451
47.051,19.399
47.025,19.347
47.000,19.297
46.974,19.247
46.948,19.197
46.921,19.148
46.894,19.100
46.867,19.053
46.840,19.006
46.812,18.960
46.785,18.914
46.759,18.869
46.732,18.824
46.706,18.780
46.681,18.737
46.656,18.694
46.632,18.651
46.608,18.609
46.586,18.568
46.564,18.527
46.544,18.487
46.525,18.447
46.507,18.407
46.490,18.368
46.475,18.329
46.462,18.291
46.450,18.253
46.440,18.216
46.432,18.179
46.426,18.142
46.422,18.105
46.419,18.069
46.418,18.034
46.418,17.998
46.419,17.963
46.422,17.928
46.425,17.893
46.430,17.859
46.435,17.824
46.442,17.790
46.448,17.756
46.456,17.722
46.463,17.688
46.471,17.654
46.479,17.621
46.488,17.587
46.496,17.553
46.504,17.519
46.511,17.486
46.519,17.452
46.527,17.418
46.534,17.384
46.541,17.351
46.548,17.317
46.555,17.283
46.561,17.249
46.567,17.215
46.573,17.182
46.578,17.148
46.583,17.114
46.588,17.080
46.592,17.046
46.596,17.011
46.599,16.977
46.602,16.943
46.605,16.909
46.607,16.875
46.609,16.840
46.611,16.806
46.613,16.772
46.615,16.738
46.617,16.704
