X,Y
884.000,389.000
884.658,388.290
885.396,387.605
886.210,386.942
887.096,386.299
888.050,385.672
889.067,385.060
890.144,384.458
891.276,383.865
892.459,383.277
893.688,382.692
894.960,382.107
896.270,381.519
897.615,380.926
898.989,380.324
900.388,379.712
901.809,379.085
903.247,378.442
904.702,377.783
906.173,377.109
907.659,376.422
909.161,375.722
910.677,375.011
912.208,374.290
913.753,373.561
915.312,372.824
916.884,372.082
918.470,371.334
920.068,370.582
921.679,369.828
923.302,369.073
924.936,368.318
926.582,367.564
928.239,366.813
929.906,366.065
931.584,365.322
933.272,364.585
934.969,363.856
936.676,363.135
938.391,362.424
940.116,361.724
941.851,361.032
943.596,360.351
945.352,359.679
947.120,359.017
948.900,358.364
950.693,357.721
952.498,357.087
954.318,356.461
956.152,355.845
958.001,355.237
959.866,354.638
961.746,354.048
963.644,353.465
965.558,352.892
967.491,352.326
969.441,351.769
971.411,351.219
973.400,350.677
975.409,350.143
977.439,349.617
979.490,349.097
981.563,348.586
983.658,348.081
985.776,347.584
987.915,347.093
990.075,346.609
992.253,346.132
994.449,345.662
996.660,345.198
998.885,344.740
1001.123,344.288
1003.372,343.842
1005.630,343.402
1007.896,342.967
1010.169,342.538
1012.447,342.115
1014.728,341.696
1017.011,341.283
1019.294,340.875
1021.577,340.471
1023.856,340.072
1026.131,339.677
1028.401,339.287
1030.663,338.901
1032.917,338.519
1035.160,338.141
1037.391,337.767
1039.609,337.396
1041.812,337.029
1043.999,336.665
1046.167,336.305
1048.317,335.947
1050.446,335.593
1052.557,335.241
1054.651,334.891
1056.731,334.545
1058.799,334.200
1060.856,333.858
1062.906,333.518
1064.949,333.180
1066.988,332.844
1069.025,332.509
1071.062,332.176
1073.101,331.845
1075.144,331.514
1077.194,331.185
1079.251,330.857
1081.319,330.530
1083.399,330.204
1085.494,329.878
1087.604,329.553
1089.734,329.228
1091.883,328.904
1094.055,328.579
1096.252,328.255
1098.475,327.930
1100.727,327.606
1103.010,327.280
1105.325,326.954
1107.675,326.628
1110.057,326.301
1112.470,325.972
1114.913,325.643
1117.383,325.313
1119.880,324.981
1122.402,324.648
1124.948,324.313
1127.515,323.976
1130.102,323.638
1132.707,323.298
1135.330,322.956
1137.968,322.611
1140.619,322.265
1143.283,321.916
1145.958,321.564
1148.642,321.210
1151.333,320.852
1154.030,320.492
1156.732,320.129
1159.436,319.763
1162.142,319.393
1164.847,319.020
1167.550,318.644
1170.250,318.264
1172.944,317.880
1175.633,317.492
1178.312,317.100
1180.982,316.704
1183.641,316.303
1186.287,315.898
1188.918,315.489
1191.533,315.075
1194.130,314.656
1196.710,314.233
1199.271,313.805
1201.815,313.374
1204.340,312.939
1206.848,312.502
1209.338,312.062
1211.809,311.619
1214.263,311.175
1216.699,310.729
1219.116,310.282
1221.516,309.834
1223.898,309.386
1226.262,308.938
1228.607,308.490
1230.935,308.043
1233.245,307.597
1235.536,307.152
1237.810,306.710
1240.066,306.269
1242.303,305.831
1244.523,305.397
1246.724,304.965
1248.908,304.537
1251.073,304.114
1253.221,303.695
1255.350,303.280
1257.462,302.871
1259.555,302.468
1261.630,302.071
1263.688,301.679
1265.728,301.294
1267.754,300.915
1269.766,300.541
1271.766,300.173
1273.757,299.809
1275.739,299.449
1277.714,299.094
1279.684,298.742
1281.650,298.394
1283.615,298.049
1285.579,297.706
1287.545,297.366
1289.514,297.028
1291.488,296.691
1293.468,296.356
1295.456,296.022
1297.454,295.689
1299.463,295.355
1301.486,295.022
1303.522,294.688
1305.576,294.354
1307.647,294.019
1309.738,293.682
1311.849,293.343
1313.984,293.002
1316.144,292.660
1318.326,292.315
1320.533,291.970
1322.761,291.626
1325.012,291.282
1327.283,290.942
1329.575,290.604
1331.886,290.271
1334.217,289.943
1336.566,289.622
1338.932,289.307
1341.315,289.001
1343.715,288.704
1346.130,288.417
1348.559,288.141
1351.003,287.877
1353.460,287.626
1355.930,287.388
1358.412,287.166
1360.905,286.960
1363.409,286.770
1365.922,286.599
1368.445,286.446
1370.976,286.313
1373.516,286.200
1376.062,286.109
1378.614,286.041
1381.172,285.997
1383.736,285.976
1386.303,285.982
1388.875,286.014
1391.448,286.072
1394.023,286.155
1396.598,286.261
1399.171,286.388
1401.741,286.533
1404.307,286.697
1406.867,286.875
1409.420,287.067
1411.963,287.271
1414.497,287.485
1417.019,287.707
1419.528,287.935
1422.023,288.167
1424.502,288.402
1426.964,288.638
1429.407,288.872
1431.830,289.104
1434.231,289.330
1436.610,289.550
1438.964,289.761
1441.292,289.962
1443.594,290.151
1445.866,290.326
1448.109,290.484
1450.320,290.625
1452.498,290.747
1454.642,290.847
1456.750,290.923
1458.821,290.975
1460.854,290.999
1462.846,290.996
1464.800,290.972
1466.715,290.933
1468.593,290.888
1470.434,290.844
1472.239,290.810
1474.010,290.793
1475.747,290.801
1477.451,290.842
1479.122,290.923
1480.763,291.053
1482.373,291.238
1483.953,291.487
1485.505,291.808
1487.030,292.208
1488.528,292.695
1489.999,293.277
1491.446,293.961
1492.869,294.756
1494.269,295.669
1495.646,296.709
1497.002,297.881
1498.334,299.184
1499.642,300.612
1500.922,302.160
1502.173,303.821
1503.391,305.588
1504.576,307.457
1505.723,309.421
1506.832,311.473
1507.899,313.608
1508.923,315.820
1509.902,318.103
1510.832,320.450
1511.712,322.856
1512.539,325.315
1513.311,327.819
1514.026,330.364
1514.682,332.944
1515.276,335.552
1515.805,338.182
1516.269,340.828
1516.663,343.484
1516.987,346.144
1517.238,348.802
1517.413,351.452
1517.510,354.088
1517.527,356.704
1517.461,359.293
1517.311,361.850
1517.074,364.369
1516.748,366.843
1516.336,369.273
1515.843,371.661
1515.272,374.007
1514.630,376.315
1513.921,378.585
1513.149,380.820
1512.320,383.021
1511.438,385.191
1510.508,387.331
1509.534,389.444
1508.523,391.530
1507.477,393.592
1506.403,395.632
1505.305,397.652
1504.188,399.652
1503.055,401.637
1501.914,403.606
1500.767,405.562
1499.621,407.508
1498.479,409.444
1497.346,411.372
1496.228,413.295
1495.128,415.214
1494.052,417.132
1493.006,419.050
1491.992,420.969
1491.017,422.892
1490.084,424.821
1489.198,426.757
1488.358,428.700
1487.559,430.649
1486.799,432.604
1486.074,434.565
1485.381,436.529
1484.716,438.497
1484.077,440.468
1483.460,442.442
1482.862,444.417
1482.279,446.393
1481.708,448.369
1481.145,450.345
1480.588,452.320
1480.034,454.293
1479.478,456.264
1478.917,458.232
1478.349,460.196
1477.770,462.156
1477.176,464.110
1476.564,466.059
1475.932,468.002
1475.275,469.937
1474.590,471.865
1473.874,473.784
1473.124,475.694
1472.337,477.594
1471.512,479.485
1470.651,481.366
1469.755,483.238
1468.824,485.101
1467.859,486.956
1466.862,488.802
1465.833,490.640
1464.773,492.470
1463.684,494.293
1462.566,496.108
1461.419,497.917
1460.246,499.718
1459.047,501.513
1457.823,503.302
1456.575,505.085
1455.304,506.862
1454.010,508.634
1452.695,510.400
1451.360,512.162
1450.006,513.919
1448.633,515.671
1447.242,517.419
1445.835,519.164
1444.413,520.905
1442.976,522.642
1441.525,524.377
1440.062,526.108
1438.587,527.835
1437.104,529.556
1435.614,531.266
1434.119,532.965
1432.623,534.650
1431.126,536.317
1429.630,537.964
1428.140,539.590
1426.655,541.191
1425.179,542.765
1423.713,544.308
1422.260,545.820
1420.822,547.297
1419.401,548.736
1418.000,550.136
1416.620,551.493
1415.263,552.805
1413.932,554.069
1412.629,555.284
1411.356,556.446
1410.115,557.552
1408.909,558.601
1407.739,559.590
1406.608,560.516
1405.517,561.377
1404.467,562.175
1403.451,562.919
1402.466,563.618
1401.507,564.279
1400.569,564.912
1399.647,565.526
1398.737,566.128
1397.833,566.728
1396.932,567.334
1396.029,567.955
1395.117,568.599
1394.194,569.276
1393.255,569.993
1392.293,570.759
1391.306,571.583
1390.290,572.462
1389.245,573.392
1388.169,574.366
1387.061,575.377
1385.920,576.419
1384.745,577.486
1383.534,578.573
1382.287,579.672
1381.002,580.778
1379.678,581.883
1378.314,582.983
1376.909,584.071
1375.461,585.141
1373.970,586.185
1372.435,587.199
1370.853,588.176
1369.224,589.110
1367.547,589.994
1365.821,590.823
1364.044,591.590
1362.215,592.289
1360.335,592.917
1358.406,593.477
1356.429,593.971
1354.407,594.400
1352.342,594.768
1350.236,595.077
1348.090,595.328
1345.908,595.523
1343.691,595.666
1341.441,595.759
1339.160,595.803
1336.850,595.800
1334.514,595.754
1332.153,595.666
1329.770,595.539
1327.366,595.374
1324.944,595.174
1322.505,594.942
1320.053,594.679
1317.588,594.387
1315.113,594.070
1312.631,593.728
1310.142,593.365
1307.650,592.982
1305.155,592.582
1302.661,592.168
1300.170,591.740
1297.683,591.302
1295.202,590.856
1292.729,590.402
1290.265,589.943
1287.808,589.479
1285.358,589.010
1282.917,588.536
1280.483,588.059
1278.057,587.579
1275.638,587.096
1273.228,586.611
1270.824,586.125
1268.428,585.639
1266.040,585.152
1263.659,584.666
1261.286,584.181
1258.920,583.698
1256.561,583.217
1254.210,582.738
1251.866,582.263
1249.529,581.793
1247.199,581.327
1244.876,580.865
1242.561,580.410
1240.253,579.962
1237.951,579.520
1235.657,579.086
1233.369,578.659
1231.089,578.242
1228.815,577.834
1226.548,577.436
1224.288,577.049
1222.035,576.672
1219.787,576.306
1217.542,575.950
1215.301,575.603
1213.060,575.264
1210.818,574.932
1208.574,574.607
1206.326,574.289
1204.072,573.975
1201.812,573.666
1199.543,573.361
1197.265,573.058
1194.974,572.758
1192.671,572.459
1190.353,572.161
1188.019,571.863
1185.667,571.563
1183.296,571.263
1180.904,570.959
1178.490,570.653
1176.052,570.343
1173.588,570.028
1171.098,569.708
1168.579,569.382
1166.030,569.048
1163.449,568.707
1160.836,568.358
1158.187,567.999
1155.503,567.631
1152.781,567.251
1150.019,566.860
1147.218,566.458
1144.380,566.043
1141.507,565.618
1138.601,565.181
1135.665,564.732
1132.700,564.273
1129.710,563.804
1126.695,563.323
1123.659,562.833
1120.604,562.333
1117.531,561.822
1114.444,561.302
1111.344,560.773
1108.234,560.234
1105.116,559.687
1101.992,559.131
1098.864,558.566
1095.735,557.992
1092.607,557.411
1089.482,556.821
1086.362,556.224
1083.250,555.619
1080.147,555.007
1077.057,554.388
1073.981,553.762
1070.921,553.129
1067.880,552.489
1064.861,551.843
1061.864,551.191
1058.893,550.533
1055.950,549.870
1053.037,549.201
1050.156,548.526
1047.310,547.847
1044.500,547.163
1041.729,546.474
1039.000,545.780
1036.314,545.083
1033.673,544.381
1031.078,543.676
1028.529,542.968
1026.025,542.259
1023.566,541.548
1021.153,540.837
1018.784,540.127
1016.460,539.418
1014.181,538.711
1011.946,538.007
1009.755,537.306
1007.609,536.610
1005.506,535.918
1003.447,535.233
1001.431,534.554
999.459,533.883
997.529,533.219
995.643,532.565
993.800,531.920
991.999,531.286
990.240,530.663
988.524,530.052
986.850,529.454
985.218,528.869
983.627,528.299
982.078,527.743
980.571,527.204
979.105,526.681
977.679,526.171
976.292,525.669
974.943,525.170
973.632,524.667
972.356,524.156
971.114,523.631
969.907,523.086
968.731,522.515
967.587,521.914
966.472,521.277
965.387,520.598
964.329,519.871
963.298,519.092
962.292,518.254
961.310,517.352
960.351,516.380
959.414,515.335
958.499,514.216
957.606,513.030
956.735,511.785
955.886,510.486
