X,Y
889.000,437.000
890.089,436.391
891.416,435.951
892.961,435.670
894.704,435.537
896.624,435.543
898.702,435.679
900.917,435.932
903.250,436.295
905.681,436.756
908.188,437.306
910.753,437.935
913.354,438.632
915.973,439.387
918.589,440.192
921.181,441.034
923.730,441.905
926.219,442.796
928.646,443.703
931.014,444.626
933.329,445.563
935.592,446.513
937.810,447.476
939.984,448.450
942.120,449.435
944.220,450.429
946.290,451.431
948.332,452.440
950.351,453.456
952.351,454.477
954.334,455.503
956.306,456.531
958.271,457.562
960.231,458.595
962.190,459.627
964.153,460.660
966.119,461.693
968.092,462.728
970.072,463.764
972.063,464.804
974.065,465.846
976.081,466.892
978.112,467.942
980.160,468.997
982.227,470.058
984.315,471.125
986.426,472.198
988.561,473.279
990.723,474.367
992.913,475.464
995.133,476.570
997.384,477.685
999.668,478.810
1001.982,479.945
1004.326,481.091
1006.698,482.247
1009.097,483.413
1011.522,484.590
1013.972,485.778
1016.446,486.976
1018.941,488.186
1021.458,489.407
1023.995,490.639
1026.551,491.883
1029.124,493.139
1031.713,494.406
1034.318,495.685
1036.937,496.977
1039.568,498.280
1042.211,499.596
1044.865,500.925
1047.527,502.266
1050.198,503.620
1052.879,504.987
1055.568,506.367
1058.268,507.760
1060.979,509.165
1063.702,510.583
1066.436,512.014
1069.184,513.458
1071.944,514.914
1074.719,516.384
1077.508,517.866
1080.313,519.361
1083.133,520.868
1085.970,522.389
1088.824,523.922
1091.696,525.468
1094.586,527.026
1097.495,528.598
1100.423,530.182
1103.372,531.779
1106.342,533.388
1109.333,535.010
1112.347,536.646
1115.383,538.293
1118.439,539.953
1121.512,541.622
1124.600,543.301
1127.698,544.989
1130.805,546.682
1133.916,548.382
1137.029,550.085
1140.140,551.792
1143.246,553.500
1146.344,555.208
1149.432,556.916
1152.505,558.622
1155.561,560.325
1158.596,562.023
1161.608,563.715
1164.593,565.401
1167.548,567.078
1170.470,568.745
1173.356,570.402
1176.202,572.046
1179.006,573.678
1181.765,575.295
1184.475,576.896
1187.132,578.480
1189.735,580.046
1192.285,581.594
1194.783,583.127
1197.233,584.646
1199.639,586.153
1202.003,587.651
1204.328,589.140
1206.618,590.623
1208.876,592.101
1211.105,593.577
1213.307,595.052
1215.487,596.529
1217.647,598.008
1219.789,599.492
1221.919,600.983
1224.037,602.483
1226.148,603.993
1228.255,605.516
1230.360,607.053
1232.468,608.605
1234.579,610.176
1236.695,611.764
1238.813,613.368
1240.930,614.987
1243.044,616.619
1245.154,618.264
1247.256,619.920
1249.349,621.585
1251.430,623.259
1253.497,624.940
1255.548,626.626
1257.581,628.318
1259.593,630.012
1261.582,631.708
1263.546,633.405
1265.483,635.101
1267.390,636.795
1269.265,638.485
1271.106,640.171
1272.911,641.852
1274.672,643.525
1276.381,645.193
1278.026,646.854
1279.598,648.508
1281.085,650.156
1282.478,651.798
1283.765,653.433
1284.938,655.063
1285.985,656.686
1286.896,658.302
1287.660,659.913
1288.268,661.518
1288.708,663.116
1288.972,664.709
1289.050,666.295
1288.958,667.873
1288.719,669.439
1288.356,670.992
1287.892,672.527
1287.351,674.042
1286.757,675.534
1286.132,677.000
1285.500,678.437
1284.885,679.843
1284.310,681.214
1283.797,682.547
1283.362,683.846
1283.005,685.123
1282.730,686.390
1282.539,687.658
1282.431,688.940
1282.411,690.248
1282.478,691.594
1282.635,692.989
1282.885,694.446
1283.227,695.976
1283.652,697.575
1284.144,699.231
1284.686,700.930
1285.260,702.659
1285.850,704.404
1286.439,706.153
1287.009,707.891
1287.545,709.605
1288.028,711.283
1288.442,712.910
1288.770,714.474
1288.995,715.960
1289.102,717.359
1289.078,718.667
1288.913,719.885
1288.598,721.013
1288.121,722.051
1287.473,723.000
1286.643,723.859
1285.621,724.629
1284.398,725.310
1282.985,725.914
1281.418,726.462
1279.732,726.975
1277.964,727.477
1276.150,727.989
1274.327,728.533
1272.530,729.132
1270.796,729.807
1269.161,730.581
1267.661,731.476
1266.332,732.515
1265.210,733.718
1264.326,735.104
1263.664,736.659
1263.185,738.349
1262.851,740.145
1262.624,742.015
1262.465,743.928
1262.337,745.852
1262.201,747.757
1262.020,749.612
1261.754,751.384
1261.366,753.044
1260.818,754.559
1260.071,755.900
1259.096,757.039
1257.908,757.983
1256.539,758.748
1255.019,759.347
1253.376,759.796
1251.643,760.110
1249.850,760.304
1248.025,760.393
1246.201,760.393
1244.406,760.318
1242.672,760.183
1241.028,760.004
1239.500,759.798
1238.084,759.598
1236.774,759.440
1235.562,759.360
1234.438,759.392
1233.395,759.573
1232.425,759.938
1231.520,760.524
1230.671,761.364
1229.869,762.459
1229.099,763.763
1228.349,765.225
1227.604,766.797
1226.853,768.429
1226.080,770.072
1225.272,771.676
1224.417,773.192
1223.500,774.570
1222.508,775.761
1221.427,776.715
1220.246,777.387
1218.973,777.782
1217.630,777.942
1216.239,777.909
1214.824,777.725
1213.407,777.434
1212.011,777.077
1210.658,776.697
1209.372,776.336
1208.174,776.038
1207.086,775.842
1206.108,775.784
1205.238,775.895
1204.470,776.206
1203.801,776.749
1203.225,777.555
1202.738,778.652
1202.326,780.026
1201.970,781.625
1201.647,783.395
1201.337,785.281
1201.019,787.231
1200.672,789.190
1200.276,791.104
1199.809,792.922
1199.250,794.587
1198.578,796.047
1197.773,797.248
1196.813,798.136
1195.690,798.690
1194.424,798.962
1193.038,799.017
1191.556,798.917
1190.003,798.726
1188.402,798.509
1186.776,798.327
1185.151,798.246
1183.549,798.328
1181.994,798.638
1180.511,799.237
1179.111,800.151
1177.791,801.342
1176.543,802.769
1175.362,804.391
1174.242,806.166
1173.176,808.052
1172.159,810.008
1171.184,811.992
1170.245,813.963
1169.337,815.879
1168.452,817.699
1167.585,819.381
1166.730,820.884
1165.880,822.166
1165.029,823.200
1164.168,823.998
1163.286,824.578
1162.375,824.957
1161.424,825.153
1160.426,825.184
1159.368,825.068
1158.244,824.824
1157.052,824.474
1155.797,824.045
1154.482,823.565
1153.114,823.059
1151.695,822.555
1150.231,822.080
1148.726,821.660
1147.185,821.322
1145.613,821.093
1144.012,821.000
1142.391,821.063
1140.759,821.273
1139.129,821.618
1137.514,822.082
1135.926,822.650
1134.377,823.308
1132.881,824.042
1131.449,824.837
1130.095,825.679
1128.830,826.552
1127.667,827.443
1126.618,828.337
1125.677,829.219
1124.810,830.076
1123.984,830.895
1123.162,831.662
1122.311,832.362
1121.396,832.984
1120.382,833.512
1119.234,833.933
1117.924,834.237
1116.461,834.429
1114.873,834.521
1113.187,834.527
1111.429,834.461
1109.628,834.335
1107.811,834.162
1106.005,833.956
1104.237,833.729
1102.534,833.495
1100.924,833.268
1099.434,833.059
1098.088,832.881
1096.872,832.735
1095.748,832.613
1094.680,832.507
1093.629,832.412
1092.559,832.319
1091.431,832.222
1090.209,832.114
1088.855,831.986
1087.344,831.834
1085.687,831.656
1083.900,831.453
1082.001,831.224
1080.008,830.968
1077.938,830.686
1075.808,830.378
1073.635,830.042
1071.436,829.678
1069.230,829.288
1067.033,828.869
1064.862,828.422
1062.736,827.947
1060.670,827.444
1058.683,826.911
1056.785,826.351
1054.966,825.763
1053.217,825.150
1051.525,824.513
1049.880,823.855
1048.271,823.178
1046.686,822.482
1045.115,821.771
1043.547,821.045
1041.970,820.306
1040.373,819.557
1038.745,818.799
1037.075,818.034
1035.355,817.263
1033.585,816.482
1031.771,815.688
1029.915,814.875
1028.024,814.039
1026.101,813.176
1024.150,812.281
1022.177,811.350
1020.185,810.378
1018.178,809.361
1016.162,808.295
1014.141,807.174
1012.118,805.995
1010.099,804.753
1008.087,803.444
1006.088,802.063
1004.105,800.607
1002.140,799.083
1000.195,797.500
998.271,795.866
996.371,794.190
994.496,792.481
992.648,790.747
990.828,788.998
989.039,787.242
987.281,785.488
985.556,783.744
983.867,782.020
982.214,780.324
980.600,778.665
979.026,777.051
977.494,775.492
976.006,773.996
974.562,772.572
973.162,771.222
971.794,769.940
970.450,768.717
969.118,767.547
967.789,766.419
966.453,765.328
965.099,764.265
963.717,763.221
962.298,762.189
960.830,761.162
959.304,760.130
957.710,759.087
956.037,758.023
954.279,756.932
952.447,755.811
950.555,754.654
948.617,753.459
946.649,752.223
944.664,750.941
942.678,749.611
940.705,748.230
938.760,746.793
936.857,745.297
935.010,743.739
933.235,742.116
931.546,740.424
929.958,738.659
928.485,736.819
927.142,734.899
925.943,732.897
924.899,730.810
924.001,728.643
923.240,726.400
922.606,724.087
922.086,721.708
921.672,719.269
921.351,716.775
921.114,714.230
920.950,711.640
920.849,709.010
920.799,706.344
920.790,703.649
920.812,700.928
920.854,698.187
920.906,695.431
920.956,692.666
920.994,689.895
921.010,687.124
920.993,684.359
920.935,681.602
920.838,678.855
920.702,676.120
920.529,673.395
920.318,670.684
920.073,667.985
919.792,665.301
919.479,662.632
919.132,659.979
918.755,657.342
918.347,654.723
917.911,652.122
917.446,649.540
916.954,646.978
916.436,644.437
915.893,641.917
915.327,639.420
914.738,636.946
914.127,634.496
913.496,632.071
912.845,629.670
912.178,627.295
911.497,624.945
910.802,622.619
910.097,620.318
909.383,618.042
908.663,615.790
907.938,613.562
907.210,611.359
906.481,609.180
905.754,607.026
905.030,604.895
904.311,602.789
903.600,600.707
902.898,598.648
902.207,596.613
901.530,594.602
900.867,592.614
900.220,590.645
899.589,588.695
898.975,586.761
898.380,584.840
897.803,582.932
897.246,581.034
896.709,579.144
896.194,577.259
895.701,575.379
895.232,573.500
894.786,571.620
894.365,569.739
893.970,567.852
893.601,565.960
893.255,564.062
892.931,562.160
892.625,560.254
892.335,558.344
892.059,556.432
891.793,554.518
891.536,552.604
891.284,550.689
891.036,548.775
890.787,546.862
890.537,544.952
890.282,543.045
890.020,541.141
889.748,539.242
889.465,537.350
889.169,535.468
888.859,533.599
888.535,531.744
888.194,529.908
887.836,528.092
887.459,526.300
887.062,524.533
886.643,522.795
886.203,521.089
885.738,519.417
885.248,517.782
884.732,516.186
884.195,514.629
883.646,513.107
883.097,511.618
882.558,510.156
882.038,508.720
881.550,507.305
881.103,505.908
880.708,504.525
880.374,503.152
880.113,501.787
879.935,500.425
879.842,499.065
879.822,497.709
879.868,496.359
879.967,495.015
880.111,493.680
880.288,492.355
880.490,491.042
880.705,489.742
880.923,488.457
881.135,487.188
881.333,485.935
881.515,484.696
881.675,483.469
881.810,482.251
881.915,481.040
881.987,479.835
882.021,478.634
882.014,477.434
881.961,476.234
881.874,475.031
881.771,473.825
881.671,472.614
881.595,471.396
881.560,470.172
881.587,468.938
881.694,467.693
881.901,466.438
882.226,465.169
882.659,463.891
883.176,462.611
883.750,461.334
884.356,460.068
884.969,458.819
885.561,457.593
886.109,456.398
886.585,455.239
886.964,454.123
887.226,453.054
887.378,452.023
887.438,451.012
887.423,450.008
887.352,448.993
887.240,447.954
887.107,446.874
886.970,445.739
886.849,444.545
886.776,443.321
886.778,442.095
886.888,440.898
887.135,439.760
887.549,438.711
888.161,437.781
889.000,437.000
