X	Y
46.516	18.943
46.607	18.859
46.713	18.791
46.832	18.737
46.966	18.697
47.113	18.669
47.274	18.653
47.449	18.646
47.637	18.649
47.838	18.660
48.051	18.678
48.278	18.702
48.516	18.730
48.767	18.762
49.031	18.796
49.306	18.831
49.592	18.867
49.890	18.903
50.197	18.939
50.514	18.975
50.838	19.012
51.170	19.049
51.507	19.087
51.850	19.126
52.196	19.165
52.546	19.205
52.898	19.246
53.252	19.288
53.605	19.331
53.958	19.376
54.309	19.422
54.658	19.469
55.003	19.518
55.343	19.569
55.678	19.622
56.007	19.676
56.328	19.732
56.640	19.790
56.943	19.851
57.236	19.914
57.518	19.979
57.787	20.047
58.043	20.117
58.286	20.190
58.515	20.265
58.733	20.344
58.940	20.426
59.138	20.511
59.326	20.599
59.507	20.691
59.681	20.787
59.849	20.887
60.012	20.990
60.172	21.098
60.329	21.210
60.483	21.327
60.637	21.448
60.792	21.574
60.947	21.705
61.104	21.841
61.264	21.982
61.425	22.128
61.586	22.279
61.747	22.434
61.906	22.594
62.063	22.758
62.216	22.926
62.365	23.098
62.509	23.274
62.645	23.453
62.775	23.636
62.896	23.822
63.008	24.011
63.109	24.203
63.200	24.397
63.278	24.594
63.342	24.794
63.393	24.996
63.430	25.199
63.453	25.405
63.464	25.612
63.463	25.819
63.450	26.028
63.427	26.237
63.393	26.446
63.350	26.655
63.298	26.863
63.238	27.071
63.170	27.278
63.095	27.483
63.013	27.686
62.926	27.888
62.833	28.087
62.736	28.284
62.635	28.478
62.530	28.669
62.421	28.856
62.309	29.041
62.194	29.221
62.075	29.399
61.953	29.572
61.829	29.741
61.701	29.906
61.571	30.067
61.439	30.224
61.304	30.376
61.167	30.524
61.027	30.666
60.886	30.804
60.743	30.936
60.598	31.063
60.451	31.185
60.303	31.301
60.152	31.412
60.000	31.517
59.844	31.617
59.686	31.711
59.524	31.800
59.359	31.883
59.191	31.961
59.019	32.033
58.842	32.100
58.662	32.160
58.476	32.216
58.286	32.265
58.091	32.309
57.890	32.347
57.685	32.380
57.476	32.409
57.264	32.433
57.049	32.454
56.833	32.472
56.615	32.487
56.396	32.500
56.178	32.512
55.961	32.524
55.746	32.534
55.532	32.546
55.322	32.557
55.116	32.571
54.913	32.585
54.716	32.603
54.525	32.623
54.340	32.646
54.161	32.672
53.988	32.696
53.819	32.719
53.655	32.739
53.495	32.752
53.337	32.758
53.183	32.755
53.030	32.740
52.879	32.712
52.729	32.669
52.579	32.609
52.429	32.531
52.278	32.432
52.127	32.314
51.975	32.177
51.822	32.022
51.669	31.851
51.515	31.665
51.360	31.466
51.205	31.253
51.050	31.029
50.894	30.794
50.737	30.549
50.580	30.297
50.423	30.038
50.266	29.773
50.109	29.503
49.951	29.230
49.793	28.954
49.635	28.677
49.477	28.400
49.319	28.124
49.161	27.851
49.004	27.581
48.846	27.316
48.689	27.055
48.532	26.801
48.377	26.551
48.223	26.307
48.072	26.069
47.923	25.836
47.778	25.610
47.635	25.389
47.497	25.175
47.363	24.966
47.234	24.764
47.110	24.569
46.991	24.380
46.879	24.198
46.773	24.022
46.674	23.854
46.583	23.692
46.499	23.538
46.424	23.391
46.358	23.251
46.300	23.118
46.250	22.990
46.208	22.866
46.173	22.746
46.145	22.628
46.123	22.511
46.108	22.395
46.099	22.277
46.095	22.157
46.096	22.034
46.102	21.909
46.111	21.781
46.122	21.654
46.136	21.527
46.150	21.403
46.164	21.283
46.178	21.168
46.190	21.060
46.199	20.959
46.205	20.868
46.208	20.783
46.208	20.701
46.207	20.620
46.205	20.536
46.203	20.446
46.201	20.347
46.200	20.235
46.201	20.111
46.206	19.979
46.215	19.841
46.231	19.699
46.253	19.557
46.284	19.418
46.325	19.284
46.376	19.158
46.439	19.044
46.516	18.943
