X	Y
23.986	19.336
24.004	19.295
24.027	19.253
24.056	19.211
24.089	19.167
24.127	19.123
24.170	19.078
24.217	19.032
24.269	18.986
24.324	18.939
24.384	18.891
24.448	18.843
24.515	18.794
24.585	18.744
24.659	18.695
24.736	18.644
24.817	18.593
24.899	18.542
24.985	18.491
25.073	18.439
25.163	18.387
25.256	18.335
25.350	18.282
25.447	18.230
25.545	18.177
25.644	18.124
25.745	18.071
25.847	18.018
25.950	17.965
26.054	17.912
26.159	17.859
26.264	17.806
26.369	17.754
26.475	17.701
26.580	17.649
26.686	17.597
26.791	17.546
26.896	17.495
27.000	17.444
27.104	17.393
27.208	17.343
27.311	17.293
27.414	17.243
27.516	17.193
27.618	17.144
27.720	17.095
27.822	17.046
27.923	16.998
28.024	16.950
28.125	16.902
28.225	16.854
28.325	16.807
28.426	16.759
28.526	16.712
28.625	16.665
28.725	16.619
28.825	16.572
28.924	16.526
29.023	16.480
29.123	16.434
29.222	16.388
29.321	16.342
29.420	16.297
29.519	16.251
29.619	16.206
29.718	16.161
29.817	16.116
29.917	16.071
30.016	16.026
30.115	15.981
30.215	15.936
30.315	15.892
30.415	15.847
30.515	15.803
30.615	15.758
30.716	15.714
30.817	15.669
30.917	15.625
31.019	15.581
31.120	15.536
31.222	15.492
31.324	15.448
31.426	15.404
31.529	15.360
31.632	15.315
31.735	15.271
31.838	15.228
31.942	15.184
32.046	15.140
32.150	15.097
32.254	15.053
32.359	15.010
32.464	14.967
32.569	14.925
32.674	14.882
32.779	14.840
32.885	14.798
32.990	14.757
33.096	14.715
33.203	14.674
33.309	14.634
33.415	14.593
33.522	14.553
33.629	14.514
33.736	14.475
33.843	14.436
33.950	14.398
34.057	14.360
34.165	14.322
34.272	14.285
34.380	14.249
34.488	14.213
34.595	14.178
34.703	14.143
34.811	14.108
34.919	14.075
35.028	14.042
35.136	14.009
35.244	13.977
35.353	13.946
35.461	13.916
35.570	13.886
35.678	13.856
35.787	13.828
35.895	13.800
36.004	13.773
36.112	13.747
36.221	13.721
36.329	13.697
36.437	13.673
36.545	13.650
36.653	13.627
36.760	13.606
36.867	13.585
36.974	13.565
37.081	13.546
37.187	13.528
37.292	13.511
37.397	13.495
37.502	13.480
37.606	13.465
37.710	13.452
37.812	13.439
37.915	13.428
38.016	13.417
38.117	13.407
38.217	13.399
38.317	13.391
38.415	13.385
38.513	13.379
38.609	13.375
38.705	13.371
38.800	13.369
38.894	13.368
38.987	13.368
39.078	13.369
39.169	13.371
39.258	13.374
39.347	13.379
39.434	13.384
39.519	13.391
39.604	13.399
39.687	13.408
39.769	13.419
39.850	13.430
39.929	13.443
40.007	13.456
40.083	13.471
40.158	13.486
40.232	13.503
40.304	13.520
40.374	13.537
40.444	13.556
40.512	13.574
40.578	13.594
40.643	13.613
40.707	13.633
40.769	13.654
40.830	13.674
40.889	13.695
40.946	13.715
41.003	13.736
41.057	13.757
41.111	13.777
41.162	13.798
41.212	13.818
41.261	13.837
41.308	13.857
41.354	13.876
41.398	13.894
41.440	13.912
41.481	13.930
41.520	13.949
41.557	13.968
41.593	13.987
41.628	14.008
41.660	14.030
41.691	14.053
41.720	14.079
41.747	14.106
41.773	14.135
41.797	14.167
41.819	14.201
41.839	14.239
41.858	14.279
41.874	14.323
41.889	14.370
41.902	14.419
41.913	14.471
41.923	14.525
41.930	14.580
41.936	14.637
41.940	14.695
41.943	14.755
41.944	14.814
41.943	14.874
41.940	14.935
41.936	14.995
41.930	15.054
41.923	15.113
41.914	15.171
41.903	15.227
41.891	15.282
41.877	15.334
41.862	15.385
41.845	15.433
41.827	15.478
41.807	15.522
41.786	15.563
41.764	15.602
41.742	15.640
41.718	15.677
41.693	15.713
41.668	15.748
41.643	15.784
41.617	15.819
41.591	15.854
41.565	15.891
41.538	15.928
41.513	15.967
41.487	16.007
41.462	16.049
41.437	16.093
41.413	16.139
41.390	16.188
41.367	16.240
41.346	16.294
41.325	16.349
41.305	16.407
41.285	16.467
41.267	16.528
41.249	16.591
41.232	16.655
41.216	16.720
41.201	16.786
41.186	16.853
41.173	16.920
41.160	16.988
41.148	17.057
41.136	17.126
