X	Y
24.877	21.390
24.917	21.362
24.963	21.340
25.015	21.324
25.073	21.313
25.136	21.308
25.205	21.307
25.279	21.310
25.357	21.318
25.441	21.331
25.528	21.347
25.621	21.367
25.717	21.390
25.817	21.417
25.921	21.447
26.028	21.479
26.139	21.515
26.253	21.552
26.370	21.592
26.489	21.633
26.612	21.676
26.736	21.721
26.863	21.767
26.991	21.813
27.121	21.861
27.253	21.909
27.386	21.957
27.521	22.006
27.656	22.054
27.792	22.102
27.929	22.149
28.066	22.196
28.203	22.242
28.341	22.287
28.479	22.332
28.617	22.376
28.755	22.420
28.893	22.463
29.031	22.506
29.169	22.548
29.307	22.590
29.444	22.632
29.581	22.673
29.718	22.715
29.854	22.756
29.989	22.797
30.124	22.838
30.258	22.879
30.391	22.920
30.524	22.961
30.655	23.002
30.785	23.043
30.914	23.085
31.042	23.127
31.169	23.168
31.295	23.211
31.419	23.253
31.541	23.296
31.662	23.339
31.781	23.383
31.899	23.428
32.015	23.473
32.129	23.518
32.241	23.564
32.351	23.611
32.460	23.659
32.566	23.707
32.669	23.756
32.771	23.806
32.870	23.857
32.967	23.908
33.062	23.961
33.154	24.014
33.245	24.069
33.333	24.124
33.420	24.179
33.504	24.236
33.587	24.293
33.668	24.351
33.747	24.410
33.824	24.470
33.900	24.530
33.974	24.591
34.047	24.653
34.118	24.715
34.188	24.778
34.256	24.842
34.324	24.906
34.390	24.971
34.454	25.036
34.518	25.102
34.580	25.169
34.642	25.236
34.703	25.304
34.762	25.372
34.821	25.441
34.879	25.510
34.936	25.580
34.993	25.651
35.048	25.721
35.103	25.793
35.157	25.864
35.209	25.936
35.261	26.008
35.311	26.081
35.360	26.154
35.408	26.227
35.455	26.301
35.501	26.375
35.545	26.449
35.588	26.523
35.629	26.598
35.669	26.673
35.708	26.747
35.745	26.822
35.780	26.897
35.814	26.973
35.846	27.048
35.877	27.123
35.905	27.199
35.932	27.274
35.957	27.350
35.981	27.425
36.002	27.500
36.021	27.575
36.039	27.649
36.055	27.724
36.069	27.798
36.081	27.871
36.091	27.944
36.099	28.016
36.105	28.087
36.110	28.158
36.112	28.228
36.112	28.297
36.111	28.365
36.107	28.432
36.101	28.498
36.094	28.563
36.084	28.627
36.073	28.689
36.059	28.750
36.043	28.810
36.026	28.869
36.006	28.927
35.985	28.984
35.962	29.041
35.937	29.097
35.911	29.153
35.883	29.209
35.853	29.265
35.822	29.320
35.790	29.377
35.756	29.433
35.721	29.490
35.684	29.548
35.647	29.607
35.608	29.666
35.568	29.727
35.527	29.789
35.485	29.852
35.442	29.916
35.399	29.981
35.356	30.047
35.313	30.115
35.270	30.183
35.228	30.251
35.186	30.321
35.145	30.391
35.105	30.462
35.066	30.534
35.029	30.606
34.994	30.678
34.960	30.751
34.929	30.824
34.900	30.898
34.873	30.971
34.850	31.045
34.829	31.119
34.812	31.193
34.797	31.267
34.787	31.341
34.780	31.414
34.775	31.487
34.773	31.559
34.773	31.631
34.775	31.701
34.779	31.771
34.783	31.839
34.788	31.905
34.793	31.969
34.798	32.032
34.802	32.092
34.806	32.150
34.808	32.206
34.809	32.259
34.807	32.309
34.803	32.355
34.796	32.399
34.786	32.439
34.772	32.476
34.756	32.510
34.735	32.541
34.712	32.570
34.684	32.596
34.653	32.621
34.618	32.644
34.579	32.665
34.536	32.685
34.488	32.704
34.437	32.722
34.382	32.739
34.323	32.756
34.261	32.772
34.197	32.787
34.130	32.803
34.061	32.818
33.991	32.832
33.919	32.847
33.847	32.862
33.775	32.876
33.702	32.891
33.630	32.907
33.559	32.922
33.489	32.938
33.420	32.954
33.354	32.972
33.289	32.989
33.228	33.008
33.170	33.027
33.115	33.048
33.063	33.069
33.014	33.091
32.968	33.114
32.924	33.139
32.883	33.164
32.845	33.190
32.809	33.217
32.776	33.245
32.744	33.274
32.715	33.304
32.687	33.336
32.662	33.368
32.638	33.401
32.615	33.435
32.593	33.468
32.572	33.500
32.551	33.531
32.529	33.559
32.507	33.584
32.483	33.606
32.458	33.623
32.431	33.635
32.401	33.642
32.369	33.644
32.335	33.642
32.298	33.636
32.259	33.627
32.218	33.615
32.174	33.602
32.127	33.587
32.078	33.571
32.027	33.555
31.973	33.539
31.917	33.524
31.858	33.511
31.796	33.500
31.733	33.490
31.667	33.482
31.601	33.476
31.533	33.472
31.465	33.470
31.396	33.470
31.327	33.472
31.259	33.476
31.191	33.482
31.124	33.490
31.058	33.500
30.994	33.512
30.932	33.526
30.872	33.543
30.814	33.561
30.760	33.582
30.709	33.605
30.661	33.630
30.615	33.656
30.573	33.684
30.532	33.713
30.493	33.742
30.456	33.771
30.419	33.800
30.382	33.828
30.346	33.855
30.309	33.880
30.271	33.903
30.232	33.924
