X,Y
46.544,12.691
46.555,12.666
46.569,12.639
46.583,12.611
46.600,12.582
46.618,12.551
46.637,12.519
46.657,12.487
46.679,12.453
46.703,12.418
46.727,12.382
46.753,12.346
46.780,12.309
46.808,12.271
46.837,12.233
46.867,12.195
46.898,12.156
46.930,12.116
46.963,12.077
46.997,12.037
47.031,11.998
47.066,11.958
47.102,11.919
47.139,11.879
47.176,11.840
47.214,11.802
47.252,11.764
47.291,11.726
47.330,11.689
47.370,11.652
47.410,11.616
47.450,11.581
47.491,11.545
47.533,11.511
47.575,11.476
47.617,11.443
47.660,11.409
47.704,11.376
47.748,11.343
47.792,11.311
47.837,11.278
47.883,11.246
47.929,11.214
47.976,11.183
48.023,11.151
48.071,11.120
48.119,11.089
48.168,11.058
48.217,11.027
48.267,10.995
48.318,10.964
48.369,10.933
48.421,10.902
48.474,10.871
48.527,10.840
48.581,10.809
48.635,10.777
48.690,10.746
48.746,10.714
48.802,10.682
48.859,10.649
48.917,10.617
48.975,10.584
49.034,10.551
49.094,10.518
49.154,10.484
49.215,10.450
49.277,10.416
49.339,10.382
49.401,10.347
49.464,10.313
49.528,10.278
49.591,10.243
49.656,10.207
49.720,10.172
49.785,10.136
49.851,10.101
49.917,10.065
49.983,10.029
50.049,9.993
50.115,9.957
50.182,9.921
50.249,9.884
50.316,9.848
50.383,9.812
50.451,9.775
50.518,9.739
50.586,9.703
50.653,9.666
50.721,9.630
50.789,9.594
50.856,9.557
50.924,9.521
50.991,9.485
51.059,9.449
51.126,9.413
51.193,9.377
51.260,9.341
51.327,9.305
51.393,9.270
51.459,9.234
51.525,9.199
51.591,9.164
51.656,9.129
51.721,9.094
51.786,9.059
51.850,9.025
51.914,8.991
51.977,8.957
52.041,8.923
52.103,8.890
52.166,8.856
52.228,8.823
52.290,8.790
52.351,8.757
52.412,8.724
52.473,8.692
52.534,8.660
52.594,8.627
52.654,8.595
52.714,8.563
52.774,8.532
52.833,8.500
52.893,8.469
52.952,8.437
53.010,8.406
53.069,8.375
53.128,8.344
53.186,8.313
53.244,8.282
53.302,8.251
53.361,8.221
53.418,8.190
53.476,8.160
53.534,8.130
53.592,8.099
53.649,8.069
53.707,8.039
53.765,8.009
53.822,7.979
53.880,7.949
53.937,7.919
53.995,7.889
54.052,7.860
54.110,7.830
54.168,7.800
54.225,7.770
54.283,7.741
54.341,7.711
54.399,7.681
54.457,7.652
54.515,7.622
54.573,7.593
54.631,7.563
54.689,7.534
54.747,7.504
54.805,7.475
54.863,7.445
54.921,7.416
54.980,7.386
55.038,7.356
55.096,7.327
55.154,7.297
55.212,7.268
55.271,7.238
55.329,7.209
55.387,7.179
55.445,7.150
55.503,7.120
55.561,7.090
55.620,7.061
55.678,7.031
55.736,7.001
55.794,6.971
55.852,6.942
55.910,6.912
55.968,6.882
56.026,6.852
56.083,6.822
56.141,6.792
56.199,6.762
56.257,6.732
56.314,6.702
56.372,6.672
56.429,6.641
56.487,6.611
56.544,6.581
56.601,6.550
56.658,6.520
56.715,6.490
56.772,6.459
56.829,6.429
56.886,6.399
56.942,6.369
56.998,6.339
57.055,6.309
57.111,6.279
57.166,6.249
57.222,6.219
57.278,6.190
57.333,6.161
57.388,6.132
57.443,6.103
57.497,6.074
57.552,6.046
57.606,6.018
57.660,5.990
57.713,5.963
57.767,5.935
57.820,5.909
57.873,5.882
