X,Y
47.022,13.347
47.042,13.333
47.063,13.319
47.085,13.304
47.109,13.290
47.134,13.276
47.161,13.262
47.189,13.247
47.217,13.233
47.247,13.219
47.279,13.205
47.311,13.191
47.344,13.177
47.378,13.163
47.414,13.149
47.450,13.135
47.487,13.122
47.525,13.108
47.563,13.095
47.603,13.081
47.643,13.068
47.684,13.055
47.725,13.042
47.767,13.029
47.810,13.016
47.853,13.004
47.897,12.991
47.941,12.979
47.986,12.967
48.031,12.955
48.076,12.943
48.122,12.932
48.168,12.921
48.214,12.910
48.260,12.899
48.307,12.888
48.353,12.878
48.400,12.867
48.447,12.858
48.493,12.848
48.540,12.839
48.587,12.829
48.633,12.821
48.679,12.812
48.726,12.804
48.771,12.796
48.817,12.788
48.862,12.781
48.907,12.774
48.952,12.767
48.997,12.761
49.041,12.755
49.085,12.749
49.128,12.744
49.172,12.738
49.215,12.734
49.258,12.729
49.301,12.725
49.344,12.721
49.386,12.717
49.429,12.714
49.471,12.711
49.513,12.708
49.555,12.706
49.597,12.704
49.639,12.702
49.681,12.700
49.723,12.699
49.764,12.698
49.806,12.697
49.848,12.697
49.890,12.697
49.931,12.697
49.973,12.697
50.015,12.698
50.057,12.699
50.099,12.700
50.141,12.702
50.183,12.704
50.225,12.706
50.267,12.708
50.310,12.711
50.352,12.713
50.395,12.717
50.438,12.720
50.481,12.724
50.525,12.728
50.568,12.732
50.612,12.736
50.656,12.741
50.700,12.746
50.745,12.751
50.790,12.757
50.835,12.763
50.880,12.768
50.926,12.775
50.972,12.781
51.019,12.788
51.065,12.795
51.112,12.802
51.160,12.810
51.207,12.817
51.255,12.825
51.303,12.834
51.352,12.842
51.400,12.851
51.449,12.860
51.498,12.869
51.547,12.878
51.596,12.888
51.646,12.898
51.696,12.908
51.745,12.919
51.795,12.930
51.845,12.941
51.896,12.952
51.946,12.963
51.996,12.975
52.047,12.987
52.097,12.999
52.148,13.012
52.198,13.025
52.249,13.038
52.299,13.051
52.350,13.064
52.401,13.078
52.451,13.092
52.502,13.106
52.552,13.121
52.603,13.136
52.653,13.151
52.704,13.166
52.754,13.182
52.804,13.198
52.854,13.214
52.904,13.230
52.953,13.247
53.003,13.264
53.052,13.281
53.102,13.298
53.151,13.316
53.200,13.334
53.248,13.352
53.297,13.370
53.345,13.389
53.393,13.408
53.441,13.427
53.488,13.447
53.535,13.466
53.582,13.486
53.629,13.507
53.675,13.527
53.721,13.548
53.767,13.569
53.812,13.590
53.857,13.612
53.901,13.634
53.946,13.656
53.990,13.678
54.033,13.701
54.076,13.723
54.119,13.746
54.162,13.769
54.204,13.793
54.246,13.816
54.288,13.840
54.329,13.864
54.370,13.888
54.411,13.912
54.451,13.936
54.491,13.961
54.531,13.985
54.571,14.010
54.610,14.035
54.649,14.060
54.687,14.085
54.726,14.110
54.764,14.136
54.801,14.161
54.839,14.187
54.876,14.212
54.912,14.238
54.949,14.263
54.985,14.289
55.021,14.315
55.057,14.341
55.092,14.367
55.127,14.393
55.162,14.419
55.196,14.444
55.231,14.470
55.265,14.496
55.298,14.522
55.332,14.548
55.365,14.574
55.398,14.600
55.430,14.626
55.463,14.652
55.495,14.677
55.526,14.703
55.558,14.729
55.589,14.754
55.620,14.780
55.651,14.805
55.682,14.830
55.712,14.855
55.742,14.880
55.772,14.906
55.801,14.931
55.830,14.955
55.859,14.980
55.888,15.005
55.917,15.030
55.945,15.055
55.973,15.080
56.000,15.104
56.028,15.129
56.055,15.154
56.082,15.179
56.108,15.203
56.135,15.228
56.161,15.253
56.187,15.278
56.212,15.303
56.238,15.328
56.263,15.353
56.287,15.378
56.312,15.404
56.336,15.429
56.360,15.455
56.384,15.480
56.407,15.506
56.430,15.532
56.453,15.558
56.475,15.584
56.498,15.610
56.520,15.636
56.541,15.663
56.563,15.690
56.584,15.717
56.605,15.744
56.625,15.771
56.646,15.799
56.666,15.826
56.685,15.854
56.705,15.882
56.724,15.911
56.743,15.939
56.761,15.968
56.780,15.997
56.798,16.026
56.815,16.056
56.833,16.085
56.850,16.115
56.867,16.145
56.883,16.175
56.899,16.205
56.915,16.235
56.931,16.266
56.946,16.296
56.961,16.327
56.975,16.357
56.989,16.388
57.003,16.419
57.017,16.450
57.030,16.481
57.043,16.512
57.056,16.543
57.068,16.575
57.080,16.606
57.092,16.637
57.103,16.668
57.114,16.700
57.124,16.731
57.134,16.762
57.144,16.793
57.154,16.825
57.163,16.856
57.172,16.887
57.180,16.918
57.188,16.949
57.196,16.980
57.203,17.011
57.210,17.042
57.217,17.073
57.223,17.104
57.229,17.135
57.235,17.166
57.240,17.197
57.244,17.227
57.248,17.258
57.252,17.289
57.256,17.320
57.259,17.351
57.261,17.382
57.263,17.413
57.265,17.444
57.266,17.476
57.267,17.507
57.267,17.539
57.267,17.571
57.266,17.602
57.265,17.635
57.263,17.667
57.261,17.699
57.258,17.732
57.255,17.765
57.251,17.798
57.247,17.831
57.242,17.865
57.236,17.898
57.230,17.932
57.224,17.967
57.217,18.001
57.209,18.036
57.201,18.072
57.192,18.107
57.183,18.143
57.173,18.180
57.163,18.216
57.151,18.253
57.140,18.291
57.127,18.328
57.115,18.366
57.101,18.405
57.087,18.443
57.073,18.482
57.058,18.521
57.042,18.560
57.026,18.600
57.010,18.639
56.993,18.679
56.975,18.719
56.957,18.759
56.939,18.800
56.920,18.840
56.901,18.880
56.881,18.921
56.861,18.961
56.840,19.002
56.819,19.042
56.798,19.083
56.776,19.123
56.754,19.164
56.731,19.204
56.708,19.244
56.685,19.284
56.662,19.325
56.638,19.365
56.613,19.404
56.589,19.444
56.564,19.484
56.539,19.523
56.514,19.562
56.488,19.601
56.462,19.639
56.436,19.678
56.409,19.716
56.383,19.754
56.356,19.791
56.329,19.828
56.301,19.865
56.274,19.901
56.246,19.937
56.218,19.973
56.190,20.008
56.162,20.043
56.134,20.077
56.105,20.111
56.077,20.144
56.048,20.177
56.019,20.209
55.990,20.241
55.961,20.273
55.932,20.304
55.902,20.335
55.873,20.365
55.843,20.395
55.814,20.424
55.784,20.453
55.754,20.482
55.725,20.510
55.695,20.539
55.665,20.566
55.635,20.594
55.605,20.621
55.575,20.648
55.545,20.674
55.515,20.701
55.484,20.727
55.454,20.753
55.424,20.778
55.394,20.804
55.364,20.829
55.334,20.854
55.303,20.879
55.273,20.904
55.243,20.928
55.213,20.953
55.183,20.977
55.153,21.001
55.123,21.025
55.093,21.049
55.063,21.073
55.033,21.097
55.004,21.121
54.974,21.145
54.944,21.168
54.915,21.192
54.885,21.216
54.856,21.239
54.827,21.263
54.798,21.287
54.769,21.311
54.740,21.335
54.711,21.358
54.682,21.382
54.654,21.406
54.625,21.430
54.597,21.455
54.568,21.479
54.540,21.503
54.512,21.528
54.484,21.552
54.456,21.576
54.428,21.601
54.400,21.626
54.372,21.651
54.344,21.675
54.317,21.700
54.289,21.725
54.261,21.751
54.233,21.776
54.206,21.801
54.178,21.827
54.151,21.852
54.123,21.878
54.095,21.904
54.068,21.930
54.040,21.956
54.012,21.982
53.985,22.008
53.957,22.034
53.929,22.061
53.902,22.087
53.874,22.114
53.846,22.141
53.818,22.168
53.791,22.195
53.763,22.223
53.735,22.250
53.707,22.278
53.678,22.306
53.650,22.334
53.622,22.362
53.594,22.390
53.565,22.418
53.537,22.447
53.508,22.476
53.479,22.504
53.451,22.533
53.422,22.562
53.393,22.591
53.364,22.621
53.335,22.650
53.306,22.679
53.276,22.708
53.247,22.737
53.218,22.766
53.188,22.795
53.159,22.823
53.130,22.852
53.100,22.880
53.070,22.908
53.041,22.936
53.011,22.964
52.982,22.992
52.952,23.019
52.922,23.046
52.893,23.072
52.863,23.098
52.833,23.124
52.803,23.150
52.774,23.175
52.744,23.199
52.714,23.224
52.684,23.247
52.655,23.270
52.625,23.293
52.595,23.315
52.566,23.337
52.536,23.358
52.506,23.378
52.477,23.398
52.447,23.417
52.418,23.435
52.388,23.453
52.359,23.470
52.329,23.486
52.300,23.502
52.270,23.516
52.241,23.530
52.212,23.543
52.183,23.556
52.154,23.567
52.125,23.578
52.096,23.588
52.067,23.598
52.038,23.606
52.009,23.614
51.980,23.622
51.951,23.628
51.923,23.635
51.894,23.640
51.865,23.645
51.837,23.649
51.808,23.653
51.780,23.656
51.751,23.659
51.723,23.661
51.695,23.663
51.666,23.664
51.638,23.664
51.610,23.665
51.582,23.664
51.554,23.664
51.526,23.663
51.497,23.661
51.469,23.659
51.441,23.657
51.414,23.654
51.386,23.651
51.358,23.648
51.330,23.645
51.302,23.641
51.274,23.636
51.247,23.632
51.219,23.627
51.191,23.622
51.164,23.616
51.136,23.610
51.109,23.603
51.081,23.596
51.054,23.589
51.026,23.581
50.999,23.573
50.971,23.564
50.944,23.555
50.917,23.545
50.890,23.535
50.862,23.524
50.835,23.512
50.808,23.500
50.781,23.488
50.754,23.475
50.727,23.461
50.700,23.446
50.673,23.431
50.647,23.416
50.620,23.399
50.593,23.382
50.566,23.364
50.540,23.346
50.513,23.327
50.487,23.307
50.460,23.286
50.434,23.265
50.407,23.243
50.381,23.220
50.355,23.196
50.329,23.172
50.302,23.147
50.276,23.121
50.250,23.094
50.224,23.067
50.198,23.040
50.172,23.011
50.146,22.982
50.120,22.953
50.095,22.923
50.069,22.892
50.043,22.861
50.017,22.829
49.992,22.797
49.966,22.764
49.940,22.731
49.915,22.697
49.889,22.663
49.864,22.628
49.838,22.593
49.813,22.557
49.787,22.521
49.762,22.485
49.736,22.448
49.711,22.411
49.686,22.374
49.660,22.336
49.635,22.298
49.610,22.260
49.585,22.221
49.559,22.182
49.534,22.143
49.509,22.103
49.484,22.064
49.459,22.024
49.433,21.984
49.408,21.944
49.383,21.903
49.358,21.863
49.333,21.822
49.308,21.781
49.283,21.740
49.258,21.699
49.233,21.658
49.208,21.617
49.183,21.576
49.158,21.535
49.133,21.494
49.108,21.452
49.083,21.411
49.058,21.370
49.033,21.329
49.009,21.287
48.984,21.246
48.959,21.205
48.935,21.164
48.910,21.123
48.886,21.082
48.861,21.041
48.837,21.000
48.813,20.959
48.789,20.919
48.765,20.878
48.741,20.838
48.718,20.798
48.694,20.758
48.671,20.718
48.647,20.678
48.624,20.639
48.601,20.600
48.578,20.561
48.556,20.522
48.533,20.483
48.511,20.445
48.489,20.406
48.467,20.369
48.445,20.331
48.423,20.294
48.402,20.257
48.381,20.220
48.360,20.183
48.339,20.147
48.319,20.111
48.298,20.076
48.278,20.041
48.259,20.006
48.239,19.972
48.220,19.938
48.201,19.904
48.182,19.871
48.163,19.838
48.145,19.806
48.127,19.774
48.110,19.742
48.092,19.711
48.075,19.681
48.059,19.650
