X	Y
29.510	22.680
29.542	22.597
29.581	22.509
29.626	22.415
29.678	22.315
29.735	22.211
29.797	22.102
29.865	21.989
29.938	21.872
30.015	21.751
30.096	21.626
30.181	21.498
30.270	21.367
30.362	21.233
30.457	21.097
30.555	20.958
30.655	20.818
30.757	20.675
30.860	20.532
30.965	20.387
31.071	20.241
31.178	20.095
31.286	19.948
31.393	19.802
31.501	19.655
31.607	19.509
31.714	19.364
31.819	19.219
31.924	19.075
32.028	18.932
32.133	18.790
32.237	18.649
32.340	18.508
32.444	18.368
32.548	18.229
32.652	18.091
32.756	17.954
32.861	17.818
32.966	17.682
33.072	17.548
33.179	17.414
33.286	17.282
33.394	17.151
33.504	17.020
33.614	16.891
33.726	16.763
33.839	16.635
33.954	16.509
34.070	16.384
34.188	16.260
34.308	16.138
34.429	16.016
34.553	15.896
34.679	15.776
34.806	15.658
34.936	15.542
35.069	15.426
35.203	15.312
35.339	15.199
35.476	15.087
35.616	14.977
35.757	14.867
35.900	14.759
36.044	14.653
36.189	14.547
36.336	14.443
36.484	14.340
36.633	14.238
36.783	14.138
36.934	14.039
37.085	13.941
37.237	13.845
37.390	13.750
37.544	13.656
37.698	13.564
37.852	13.473
38.007	13.383
38.161	13.294
38.316	13.207
38.471	13.122
38.625	13.037
38.780	12.954
38.934	12.873
39.088	12.793
39.241	12.714
39.394	12.637
39.546	12.562
39.697	12.489
39.847	12.418
39.997	12.350
40.145	12.284
40.293	12.222
40.439	12.162
40.584	12.106
40.727	12.054
40.869	12.005
41.009	11.960
41.148	11.919
41.285	11.882
41.420	11.850
41.553	11.823
41.684	11.800
41.812	11.783
41.939	11.771
42.063	11.765
42.185	11.764
42.304	11.769
42.421	11.781
42.534	11.798
42.645	11.821
42.753	11.851
42.857	11.885
42.958	11.926
43.055	11.971
43.148	12.022
43.237	12.078
43.321	12.138
43.402	12.203
43.477	12.273
43.547	12.347
43.613	12.425
43.673	12.506
43.727	12.592
43.776	12.682
43.819	12.775
43.856	12.871
43.888	12.970
43.915	13.073
43.937	13.178
43.954	13.286
43.967	13.397
43.976	13.510
43.981	13.625
43.983	13.743
43.981	13.862
43.977	13.984
43.969	14.107
43.960	14.232
43.948	14.358
43.934	14.485
43.918	14.614
43.901	14.743
43.884	14.874
43.865	15.005
43.845	15.136
43.825	15.268
43.805	15.401
43.784	15.534
43.762	15.666
43.741	15.799
43.719	15.932
43.698	16.065
43.677	16.198
43.655	16.330
43.635	16.462
43.614	16.593
43.595	16.723
43.576	16.853
43.558	16.982
43.540	17.110
43.524	17.237
43.509	17.363
43.494	17.487
43.482	17.610
43.470	17.732
43.461	17.852
43.452	17.971
43.444	18.088
43.437	18.205
43.431	18.321
43.424	18.437
43.418	18.552
43.412	18.667
43.405	18.782
43.398	18.897
43.390	19.013
43.381	19.129
43.371	19.246
43.360	19.364
43.346	19.482
43.331	19.603
43.314	19.724
43.294	19.848
43.272	19.973
43.247	20.100
43.219	20.229
43.189	20.359
43.156	20.490
43.121	20.622
43.084	20.755
43.044	20.887
43.002	21.019
42.957	21.151
42.911	21.282
42.863	21.412
42.813	21.540
42.761	21.666
42.708	21.790
42.652	21.912
42.596	22.030
42.537	22.146
42.478	22.258
42.417	22.366
42.355	22.470
42.292	22.569
42.227	22.664
42.162	22.754
42.095	22.839
42.027	22.919
41.956	22.995
41.883	23.066
41.808	23.134
41.729	23.197
41.648	23.257
41.563	23.313
41.474	23.365
41.381	23.415
41.284	23.461
41.182	23.504
41.075	23.544
40.962	23.581
40.844	23.616
40.721	23.649
40.591	23.679
40.455	23.708
40.313	23.734
40.166	23.759
40.014	23.781
39.857	23.802
39.695	23.821
39.529	23.839
39.358	23.855
39.183	23.870
39.005	23.883
38.823	23.895
38.638	23.906
38.450	23.916
38.259	23.925
38.066	23.933
37.870	23.941
37.672	23.947
37.473	23.953
37.272	23.959
37.069	23.964
36.866	23.969
36.662	23.973
36.457	23.978
36.252	23.982
36.047	23.986
35.842	23.991
35.637	23.995
35.433	24.000
35.230	24.005
35.028	24.011
34.828	24.017
34.629	24.023
34.431	24.030
34.235	24.037
34.042	24.044
33.850	24.051
33.660	24.059
33.473	24.067
33.289	24.075
33.107	24.084
32.928	24.092
32.751	24.100
32.579	24.109
32.409	24.117
32.243	24.126
32.080	24.134
31.921	24.142
31.767	24.150
31.616	24.158
31.469	24.166
31.327	24.173
31.190	24.181
31.057	24.188
30.929	24.194
30.806	24.201
30.688	24.206
30.575	24.212
30.468	24.216
30.367	24.220
30.272	24.221
30.184	24.219
30.103	24.215
30.029	24.206
29.962	24.192
29.903	24.173
29.853	24.149
29.811	24.117
29.778	24.079
29.754	24.033
29.739	23.979
29.730	23.919
29.727	23.856
29.727	23.789
29.729	23.722
29.731	23.655
29.732	23.590
29.729	23.528
29.721	23.472
29.706	23.423
29.684	23.381
29.658	23.344
29.627	23.311
29.596	23.280
29.564	23.250
29.533	23.219
29.506	23.185
29.484	23.147
29.467	23.106
29.455	23.060
29.449	23.010
29.448	22.954
29.454	22.894
29.466	22.828
29.484	22.757
29.510	22.680
