X	Y
29.612	23.700
29.689	23.643
29.799	23.592
29.939	23.546
30.108	23.504
30.303	23.468
30.521	23.437
30.761	23.411
31.021	23.390
31.297	23.375
31.588	23.365
31.891	23.360
32.205	23.361
32.527	23.368
32.855	23.380
33.186	23.398
33.519	23.422
33.851	23.451
34.179	23.487
34.502	23.529
34.818	23.576
35.124	23.630
35.417	23.690
35.699	23.756
35.968	23.828
36.226	23.904
36.474	23.984
36.711	24.069
36.939	24.157
37.157	24.248
37.368	24.341
37.570	24.437
37.765	24.533
37.953	24.631
38.135	24.729
38.311	24.827
38.482	24.925
38.649	25.021
38.811	25.116
38.970	25.209
39.127	25.300
39.281	25.388
39.432	25.473
39.581	25.558
39.728	25.641
39.873	25.725
40.015	25.809
40.154	25.895
40.292	25.982
40.427	26.072
40.560	26.166
40.690	26.263
40.818	26.365
40.944	26.473
41.067	26.586
41.188	26.705
41.305	26.829
41.418	26.957
41.526	27.088
41.629	27.222
41.726	27.357
41.816	27.494
41.899	27.630
41.974	27.767
42.040	27.901
42.096	28.034
42.143	28.164
42.179	28.291
42.205	28.413
42.221	28.532
42.229	28.648
42.228	28.761
42.220	28.870
42.205	28.976
42.183	29.079
42.157	29.179
42.126	29.277
42.092	29.372
42.059	29.466
42.028	29.558
42.005	29.649
41.989	29.740
41.986	29.831
41.998	29.923
42.025	30.016
42.063	30.109
42.106	30.201
42.148	30.292
42.183	30.381
42.204	30.466
42.207	30.546
42.184	30.622
42.137	30.693
42.070	30.762
41.989	30.830
41.898	30.900
41.804	30.972
41.710	31.050
41.623	31.134
41.548	31.228
41.489	31.332
41.446	31.445
41.418	31.567
41.404	31.695
41.401	31.828
41.410	31.963
41.427	32.100
41.452	32.237
41.483	32.372
41.518	32.503
41.557	32.628
41.596	32.746
41.632	32.855
41.660	32.953
41.677	33.037
41.679	33.106
41.661	33.158
41.621	33.190
41.556	33.203
41.472	33.203
41.373	33.193
41.262	33.180
41.145	33.168
41.025	33.162
40.907	33.166
40.795	33.187
40.692	33.225
40.598	33.281
40.514	33.351
40.438	33.433
40.372	33.525
40.315	33.626
40.267	33.732
40.228	33.842
40.198	33.953
40.176	34.065
40.162	34.178
40.153	34.290
40.150	34.403
40.150	34.515
40.152	34.627
40.156	34.739
40.160	34.851
40.163	34.962
40.163	35.070
40.157	35.173
40.144	35.267
40.121	35.348
40.085	35.414
40.035	35.460
39.967	35.484
39.884	35.486
39.787	35.471
39.680	35.441
39.567	35.402
39.450	35.356
39.333	35.309
39.220	35.264
39.112	35.225
39.013	35.195
38.923	35.176
38.839	35.166
38.760	35.166
38.682	35.176
38.605	35.194
38.526	35.220
38.444	35.254
38.359	35.296
38.273	35.346
38.188	35.403
38.104	35.469
38.024	35.542
37.949	35.623
37.879	35.712
37.817	35.808
37.762	35.910
37.710	36.014
37.659	36.119
37.609	36.220
37.555	36.316
37.497	36.404
37.433	36.481
37.359	36.543
37.274	36.589
37.182	36.619
37.085	36.632
36.988	36.628
36.892	36.607
36.802	36.569
36.721	36.515
36.652	36.443
36.594	36.358
36.544	36.262
36.498	36.161
36.454	36.058
36.408	35.958
36.357	35.866
36.297	35.784
36.225	35.718
36.139	35.670
36.040	35.639
35.931	35.621
35.814	35.615
35.690	35.618
35.561	35.627
35.429	35.641
35.296	35.656
35.165	35.672
35.036	35.684
34.911	35.692
34.790	35.694
34.670	35.690
34.554	35.678
34.439	35.658
34.326	35.628
34.215	35.588
34.104	35.536
33.993	35.472
33.883	35.394
33.773	35.305
33.664	35.204
33.555	35.094
33.447	34.976
33.339	34.851
33.233	34.720
33.127	34.585
33.023	34.447
32.920	34.308
32.819	34.169
32.719	34.031
32.620	33.895
32.524	33.763
32.429	33.634
32.336	33.508
32.244	33.383
32.153	33.258
32.063	33.134
31.973	33.009
31.884	32.882
31.795	32.753
31.706	32.621
31.617	32.485
31.528	32.344
31.438	32.197
31.348	32.045
31.257	31.888
31.165	31.726
31.074	31.562
30.984	31.396
30.894	31.230
30.806	31.063
30.719	30.899
30.634	30.737
30.550	30.579
30.469	30.426
30.391	30.278
30.316	30.138
30.244	30.006
30.176	29.883
30.111	29.768
30.051	29.659
29.995	29.555
29.943	29.452
29.897	29.349
29.855	29.245
29.819	29.137
29.789	29.022
29.765	28.900
29.746	28.768
29.734	28.626
29.726	28.477
29.722	28.322
29.721	28.160
29.724	27.994
29.729	27.824
29.735	27.651
29.742	27.477
29.749	27.303
29.755	27.129
29.761	26.957
29.764	26.788
29.765	26.623
29.764	26.462
29.761	26.307
29.756	26.158
29.750	26.015
29.744	25.879
29.737	25.750
29.730	25.630
29.723	25.519
29.718	25.417
29.713	25.325
29.711	25.244
29.709	25.170
29.709	25.101
29.710	25.035
29.712	24.969
29.714	24.901
29.717	24.829
29.720	24.754
29.721	24.677
29.721	24.600
29.718	24.523
29.712	24.448
29.702	24.376
29.688	24.305
29.671	24.236
29.651	24.168
29.628	24.099
29.602	24.030
29.576	23.961
29.557	23.892
29.552	23.825
29.568	23.760
29.612	23.700
