X	Y
70.318	33.919
70.352	33.799
70.396	33.676
70.448	33.551
70.509	33.422
70.578	33.291
70.655	33.156
70.740	33.019
70.832	32.878
70.931	32.735
71.037	32.589
71.149	32.439
71.268	32.287
71.392	32.132
71.523	31.974
71.659	31.813
71.800	31.650
71.946	31.483
72.096	31.313
72.251	31.141
72.411	30.965
72.573	30.787
72.740	30.605
72.909	30.421
73.082	30.234
73.257	30.044
73.435	29.851
73.615	29.655
73.797	29.456
73.981	29.254
74.165	29.049
74.351	28.841
74.538	28.631
74.725	28.418
74.914	28.202
75.103	27.983
75.293	27.762
75.484	27.538
75.676	27.312
75.869	27.084
76.063	26.853
76.257	26.621
76.453	26.386
76.649	26.150
76.846	25.912
77.044	25.672
77.244	25.430
77.444	25.187
77.644	24.942
77.846	24.697
78.049	24.449
78.253	24.201
78.458	23.952
78.663	23.701
78.870	23.450
79.077	23.198
79.286	22.945
79.496	22.692
79.706	22.438
79.918	22.183
80.130	21.929
80.344	21.674
80.558	21.419
80.774	21.163
80.990	20.908
81.208	20.653
81.426	20.398
81.646	20.143
81.867	19.889
82.088	19.635
82.311	19.382
82.535	19.129
82.760	18.877
82.986	18.626
83.213	18.376
83.441	18.127
83.670	17.879
83.900	17.632
84.131	17.387
84.364	17.143
84.597	16.900
84.832	16.659
85.067	16.419
85.303	16.180
85.540	15.943
85.778	15.707
86.016	15.473
86.255	15.240
86.494	15.009
86.734	14.779
86.975	14.550
87.215	14.323
87.456	14.098
87.697	13.874
87.938	13.651
88.180	13.430
88.421	13.211
88.662	12.993
88.903	12.776
89.144	12.561
89.385	12.348
89.625	12.136
89.865	11.925
90.105	11.716
90.344	11.509
90.582	11.303
90.820	11.099
91.057	10.896
91.293	10.695
91.529	10.496
91.763	10.298
91.997	10.101
92.230	9.907
92.461	9.714
92.691	9.522
92.921	9.332
93.148	9.144
93.375	8.957
93.600	8.772
93.823	8.589
94.045	8.407
94.266	8.227
94.485	8.049
94.701	7.872
94.917	7.698
95.130	7.524
95.341	7.353
95.551	7.183
95.759	7.015
95.966	6.849
96.171	6.685
96.375	6.523
96.579	6.363
96.781	6.205
96.982	6.050
97.183	5.897
97.383	5.746
97.582	5.597
97.782	5.451
97.981	5.308
98.180	5.167
98.379	5.029
98.579	4.894
98.778	4.761
98.979	4.632
99.180	4.505
99.381	4.381
99.584	4.260
99.787	4.143
99.992	4.028
100.198	3.917
100.405	3.809
100.614	3.705
100.824	3.604
101.036	3.507
101.250	3.413
101.466	3.322
101.685	3.236
101.905	3.153
102.128	3.074
102.354	2.999
102.582	2.928
102.813	2.861
103.046	2.797
103.282	2.738
103.519	2.682
103.759	2.630
104.000	2.582
104.242	2.537
104.486	2.496
104.731	2.458
104.977	2.424
105.224	2.393
105.471	2.365
105.718	2.341
105.965	2.320
106.213	2.301
106.459	2.286
106.706	2.274
106.952	2.265
107.196	2.259
107.440	2.255
107.682	2.254
107.923	2.256
108.163	2.261
108.400	2.268
108.635	2.278
108.868	2.290
109.098	2.304
109.326	2.321
109.551	2.340
109.773	2.361
109.991	2.384
110.206	2.409
110.418	2.437
110.625	2.466
110.828	2.497
111.027	2.531
111.222	2.566
111.413	2.603
111.599	2.643
111.781	2.686
111.958	2.731
112.130	2.778
112.298	2.829
112.461	2.883
112.620	2.940
112.773	3.001
112.921	3.065
113.065	3.132
113.203	3.204
113.336	3.279
113.464	3.358
113.587	3.442
113.704	3.530
113.816	3.623
113.922	3.720
114.023	3.822
114.118	3.929
114.207	4.041
114.291	4.158
114.369	4.280
114.441	4.408
114.508	4.540
114.570	4.677
114.627	4.818
114.679	4.963
114.726	5.113
114.768	5.267
114.806	5.424
114.840	5.585
114.870	5.749
114.896	5.916
114.918	6.087
114.936	6.260
114.951	6.436
114.962	6.615
114.971	6.796
114.976	6.979
114.979	7.164
114.979	7.350
114.976	7.539
114.971	7.729
114.964	7.920
114.955	8.112
114.944	8.305
114.931	8.499
114.916	8.694
114.899	8.889
114.880	9.085
114.859	9.281
114.837	9.477
114.813	9.673
114.787	9.870
114.759	10.066
114.729	10.262
114.697	10.458
114.663	10.653
114.628	10.847
114.591	11.041
114.552	11.234
114.511	11.427
114.468	11.618
114.424	11.808
114.377	11.996
114.329	12.184
114.279	12.369
114.228	12.554
114.174	12.736
114.119	12.917
114.062	13.095
114.003	13.272
113.943	13.446
113.880	13.618
113.817	13.787
113.751	13.955
113.684	14.121
113.615	14.285
113.546	14.447
113.475	14.608
113.403	14.767
113.330	14.925
113.256	15.083
113.181	15.239
113.105	15.395
113.029	15.551
112.953	15.706
112.876	15.861
112.798	16.017
112.721	16.172
112.643	16.328
112.565	16.484
112.488	16.641
112.410	16.799
112.333	16.958
112.256	17.118
112.180	17.280
112.104	17.443
112.029	17.607
111.954	17.774
111.881	17.942
111.808	18.113
111.737	18.285
111.666	18.459
111.597	18.634
111.529	18.812
111.462	18.991
111.396	19.171
111.332	19.353
111.269	19.536
111.208	19.721
111.149	19.907
111.091	20.094
111.035	20.282
110.981	20.472
110.929	20.662
110.878	20.854
110.830	21.047
110.784	21.240
110.741	21.435
110.699	21.630
110.660	21.827
110.623	22.023
110.589	22.221
110.558	22.419
110.529	22.618
110.502	22.817
110.479	23.017
110.458	23.217
110.440	23.417
110.425	23.618
110.412	23.818
110.400	24.019
110.391	24.219
110.383	24.419
110.376	24.619
110.370	24.818
110.366	25.017
110.361	25.215
110.358	25.412
110.354	25.608
