X	Y
69.518	38.319
69.577	38.236
69.658	38.156
69.760	38.079
69.883	38.004
70.024	37.932
70.185	37.863
70.364	37.797
70.561	37.733
70.774	37.672
71.004	37.613
71.250	37.557
71.510	37.504
71.785	37.453
72.074	37.404
72.376	37.357
72.690	37.314
73.016	37.272
73.353	37.233
73.700	37.195
74.057	37.161
74.423	37.128
74.798	37.098
75.181	37.069
75.571	37.043
75.967	37.019
76.369	36.997
76.777	36.977
77.189	36.958
77.605	36.942
78.024	36.928
78.446	36.915
78.869	36.905
79.294	36.896
79.720	36.889
80.146	36.884
80.571	36.880
80.994	36.878
81.416	36.878
81.836	36.880
82.255	36.883
82.671	36.887
83.085	36.893
83.497	36.901
83.906	36.910
84.313	36.921
84.718	36.933
85.121	36.946
85.521	36.961
85.918	36.977
86.312	36.995
86.704	37.014
87.093	37.034
87.479	37.055
87.862	37.078
88.242	37.102
88.619	37.127
88.992	37.153
89.363	37.181
89.730	37.209
90.093	37.239
90.453	37.270
90.810	37.301
91.162	37.334
91.511	37.368
91.857	37.402
92.198	37.438
92.535	37.474
92.869	37.512
93.198	37.550
93.523	37.589
93.844	37.629
94.160	37.670
94.472	37.711
94.780	37.753
95.083	37.796
95.381	37.840
95.675	37.884
95.964	37.929
96.248	37.974
96.527	38.020
96.801	38.067
97.070	38.114
97.335	38.162
97.595	38.211
97.851	38.261
98.103	38.311
98.350	38.362
98.593	38.415
98.833	38.468
99.068	38.522
99.300	38.578
99.529	38.635
99.754	38.693
99.975	38.752
100.194	38.813
100.409	38.875
100.622	38.939
100.832	39.004
101.039	39.071
101.243	39.139
101.445	39.209
101.645	39.281
101.843	39.355
102.038	39.430
102.232	39.508
102.424	39.587
102.614	39.669
102.803	39.752
102.989	39.838
103.174	39.927
103.357	40.018
103.538	40.111
103.717	40.208
103.893	40.308
104.066	40.412
104.237	40.519
104.404	40.630
104.569	40.745
104.730	40.864
104.888	40.988
105.042	41.116
105.192	41.249
105.338	41.387
105.481	41.530
105.619	41.679
105.752	41.833
105.881	41.993
106.006	42.159
106.125	42.331
106.239	42.509
106.348	42.694
106.452	42.885
106.551	43.083
106.644	43.286
106.732	43.494
106.815	43.707
106.893	43.924
106.967	44.144
107.035	44.368
107.099	44.595
107.158	44.823
107.212	45.054
107.262	45.285
107.307	45.518
107.348	45.751
107.384	45.983
107.416	46.215
107.444	46.446
107.468	46.675
107.488	46.902
107.503	47.127
107.515	47.348
107.523	47.566
107.527	47.780
107.527	47.990
107.524	48.194
107.517	48.393
107.506	48.586
107.492	48.774
107.475	48.956
107.454	49.134
107.431	49.306
107.404	49.475
107.374	49.640
107.341	49.802
107.306	49.960
107.268	50.116
107.228	50.269
107.185	50.420
107.139	50.570
107.092	50.718
107.042	50.865
106.990	51.012
106.936	51.159
106.880	51.305
106.823	51.452
106.764	51.600
106.703	51.749
106.641	51.899
106.578	52.050
106.514	52.202
