X	Y
27.084	20.231
27.100	20.181
27.125	20.129
27.160	20.074
27.203	20.017
27.254	19.957
27.312	19.897
27.376	19.835
27.446	19.771
27.521	19.707
27.599	19.642
27.681	19.576
27.765	19.511
27.852	19.445
27.939	19.379
28.026	19.314
28.114	19.249
28.204	19.185
28.294	19.121
28.386	19.057
28.480	18.994
28.577	18.930
28.676	18.867
28.778	18.804
28.883	18.741
28.992	18.677
29.104	18.614
29.221	18.551
29.342	18.487
29.469	18.423
29.600	18.359
29.737	18.295
29.880	18.231
30.029	18.166
30.184	18.100
30.347	18.034
30.516	17.968
30.692	17.901
30.875	17.834
31.063	17.766
31.258	17.698
31.457	17.629
31.662	17.560
31.871	17.491
32.084	17.422
32.300	17.352
32.520	17.282
32.743	17.212
32.969	17.142
33.196	17.072
33.425	17.002
33.656	16.932
33.887	16.862
34.119	16.792
34.351	16.722
34.583	16.652
34.814	16.582
35.044	16.513
35.273	16.443
35.500	16.375
35.724	16.306
35.946	16.238
36.165	16.170
36.381	16.102
36.592	16.035
36.800	15.969
37.003	15.903
37.201	15.837
37.393	15.772
37.580	15.708
37.761	15.644
37.934	15.582
38.102	15.519
38.262	15.458
38.417	15.398
38.565	15.339
38.708	15.281
38.846	15.224
38.980	15.169
39.109	15.115
39.233	15.063
39.355	15.012
39.473	14.964
39.588	14.917
39.701	14.873
39.812	14.831
39.921	14.791
40.028	14.754
40.135	14.719
40.241	14.687
40.346	14.657
40.452	14.631
40.558	14.607
40.665	14.587
40.773	14.570
40.881	14.557
40.988	14.548
41.094	14.543
41.199	14.542
41.301	14.547
41.401	14.556
41.498	14.572
41.590	14.593
41.678	14.620
41.762	14.653
41.839	14.694
41.911	14.741
41.976	14.796
42.033	14.858
42.083	14.929
42.126	15.006
42.163	15.090
42.193	15.180
42.218	15.276
42.238	15.377
42.253	15.484
42.264	15.594
42.271	15.708
42.275	15.825
42.276	15.946
42.274	16.068
42.271	16.193
42.266	16.318
42.260	16.445
42.253	16.572
42.247	16.699
42.240	16.826
42.234	16.951
42.228	17.077
42.221	17.202
42.214	17.326
42.206	17.450
42.197	17.573
42.186	17.696
42.174	17.818
42.161	17.940
42.145	18.062
42.127	18.183
42.107	18.304
42.083	18.425
42.057	18.545
42.028	18.665
41.995	18.785
41.959	18.905
41.918	19.024
41.874	19.144
41.825	19.263
41.771	19.382
41.714	19.500
41.654	19.619
41.590	19.736
41.523	19.853
41.453	19.969
41.380	20.083
41.306	20.197
41.229	20.310
41.151	20.421
41.072	20.530
40.991	20.639
40.910	20.745
40.828	20.849
40.745	20.952
40.663	21.052
40.581	21.151
40.500	21.247
40.419	21.340
40.340	21.431
40.262	21.519
40.185	21.605
40.108	21.688
40.032	21.768
39.956	21.846
39.880	21.921
39.802	21.994
39.723	22.065
39.642	22.134
39.558	22.200
39.472	22.264
39.383	22.327
39.290	22.387
39.193	22.445
39.091	22.501
38.985	22.556
38.873	22.609
38.755	22.660
38.632	22.709
38.502	22.757
38.366	22.804
38.226	22.848
38.080	22.892
37.931	22.934
37.777	22.974
37.619	23.013
37.459	23.051
37.296	23.087
37.130	23.122
36.963	23.156
36.794	23.188
36.623	23.220
36.453	23.250
36.282	23.279
36.111	23.306
35.940	23.333
35.771	23.359
35.603	23.383
35.436	23.407
35.272	23.429
35.111	23.451
34.952	23.472
34.797	23.492
34.646	23.511
34.499	23.529
34.356	23.546
34.217	23.562
34.082	23.577
33.951	23.590
33.822	23.602
33.697	23.612
33.575	23.620
33.456	23.626
33.339	23.630
33.224	23.632
33.111	23.630
33.000	23.626
32.891	23.619
32.783	23.609
32.676	23.596
32.570	23.579
32.465	23.558
32.360	23.534
32.255	23.506
32.150	23.474
32.046	23.438
31.942	23.398
31.838	23.356
31.734	23.311
31.630	23.263
31.527	23.212
31.424	23.160
31.321	23.106
31.219	23.050
31.118	22.993
31.016	22.935
30.916	22.876
30.815	22.817
30.716	22.757
30.617	22.698
30.518	22.639
30.421	22.580
30.324	22.522
30.227	22.465
30.132	22.409
30.037	22.353
29.943	22.298
29.850	22.244
29.757	22.189
29.665	22.135
29.575	22.081
29.485	22.027
29.395	21.974
29.307	21.920
29.220	21.866
29.133	21.812
29.048	21.757
28.963	21.702
28.880	21.647
28.797	21.591
28.715	21.536
28.635	21.480
28.555	21.426
28.476	21.374
28.398	21.323
28.320	21.276
28.244	21.232
28.168	21.193
28.093	21.158
28.019	21.128
27.945	21.105
27.873	21.087
27.800	21.077
27.729	21.074
27.659	21.077
27.591	21.084
27.526	21.093
27.466	21.101
27.410	21.106
27.360	21.106
27.317	21.099
27.281	21.083
27.254	21.056
27.234	21.017
27.221	20.971
27.212	20.917
27.206	20.858
27.201	20.796
27.196	20.733
27.190	20.671
27.179	20.612
27.165	20.557
27.147	20.506
27.128	20.459
27.110	20.413
27.094	20.368
27.083	20.324
27.080	20.278
27.084	20.231
