X	Y
27.366	21.452
27.430	21.434
27.506	21.429
27.592	21.436
27.686	21.453
27.786	21.479
27.890	21.514
27.996	21.555
28.102	21.602
28.206	21.653
28.305	21.707
28.398	21.763
28.483	21.820
28.557	21.876
28.623	21.932
28.683	21.988
28.739	22.044
28.793	22.101
28.849	22.158
28.907	22.216
28.971	22.276
29.042	22.338
29.124	22.402
29.218	22.468
29.327	22.536
29.451	22.608
29.588	22.681
29.738	22.756
29.900	22.833
30.073	22.911
30.255	22.990
30.446	23.070
30.645	23.150
30.851	23.229
31.062	23.309
31.278	23.387
31.498	23.465
31.721	23.541
31.946	23.615
32.171	23.688
32.397	23.758
32.621	23.825
32.843	23.889
33.062	23.950
33.277	24.008
33.487	24.061
33.691	24.110
33.887	24.154
34.076	24.194
34.255	24.228
34.425	24.256
34.587	24.280
34.740	24.300
34.885	24.315
35.024	24.328
35.158	24.338
35.287	24.345
35.411	24.351
35.533	24.356
35.651	24.360
35.768	24.365
35.885	24.370
36.001	24.376
36.118	24.384
36.236	24.393
36.357	24.406
36.480	24.422
36.607	24.442
36.736	24.464
36.867	24.489
36.999	24.518
37.132	24.549
37.266	24.583
37.400	24.619
37.533	24.658
37.665	24.699
37.796	24.742
37.925	24.786
38.052	24.833
38.176	24.882
38.297	24.932
38.414	24.983
38.526	25.036
38.634	25.090
38.738	25.145
38.837	25.201
38.933	25.257
39.024	25.313
39.110	25.370
39.193	25.427
39.272	25.484
39.347	25.541
39.419	25.597
39.487	25.652
39.551	25.706
39.612	25.760
39.669	25.812
39.722	25.866
39.771	25.921
39.815	25.978
39.854	26.038
39.888	26.103
39.916	26.172
39.938	26.248
39.953	26.331
39.962	26.421
39.966	26.516
39.963	26.616
39.956	26.720
39.944	26.826
39.927	26.934
39.907	27.042
39.883	27.149
39.856	27.254
39.826	27.356
39.794	27.455
39.761	27.548
39.725	27.634
39.688	27.716
39.649	27.792
39.607	27.864
39.561	27.933
39.511	27.999
39.457	28.063
39.397	28.126
39.332	28.188
39.261	28.251
39.183	28.314
39.098	28.380
39.007	28.446
38.910	28.514
38.808	28.583
38.701	28.653
38.590	28.724
38.475	28.795
38.358	28.866
38.238	28.937
38.116	29.008
37.994	29.079
37.871	29.149
37.747	29.219
37.625	29.287
37.504	29.354
37.384	29.420
37.267	29.485
37.152	29.548
37.039	29.609
36.927	29.668
36.815	29.725
36.703	29.781
36.591	29.835
36.478	29.887
36.363	29.936
36.246	29.984
36.127	30.029
36.004	30.072
35.878	30.113
35.748	30.152
35.613	30.188
35.473	30.222
35.328	30.253
35.177	30.282
35.021	30.307
34.861	30.330
34.697	30.349
34.529	30.365
34.359	30.377
34.186	30.386
34.011	30.390
33.835	30.390
33.658	30.385
33.480	30.376
33.302	30.362
33.125	30.343
32.949	30.318
32.774	30.289
32.601	30.253
32.431	30.212
32.264	30.164
32.100	30.110
31.940	30.050
31.784	29.983
31.633	29.910
31.486	29.831
31.344	29.746
31.205	29.656
31.070	29.562
30.939	29.463
30.811	29.360
30.687	29.254
30.567	29.144
30.449	29.032
30.335	28.918
30.224	28.801
30.116	28.683
30.010	28.564
29.907	28.445
29.806	28.325
29.708	28.205
29.612	28.085
29.518	27.967
29.426	27.850
29.336	27.733
29.247	27.619
29.161	27.505
29.076	27.392
28.992	27.280
28.910	27.168
28.830	27.058
28.751	26.948
28.673	26.839
28.596	26.730
28.520	26.622
28.445	26.514
28.372	26.406
28.299	26.299
28.226	26.192
28.155	26.085
28.084	25.977
28.014	25.870
27.946	25.763
27.879	25.656
27.816	25.549
27.754	25.442
27.697	25.336
27.643	25.230
27.593	25.124
27.548	25.018
27.507	24.912
27.473	24.807
27.444	24.703
27.421	24.599
27.406	24.495
27.396	24.392
27.392	24.290
27.391	24.189
27.393	24.090
27.396	23.993
27.399	23.898
27.400	23.806
27.399	23.717
27.394	23.632
27.384	23.550
27.367	23.473
27.343	23.400
27.313	23.330
27.278	23.263
27.242	23.199
27.204	23.135
27.168	23.071
27.136	23.006
27.108	22.940
27.087	22.871
27.075	22.799
27.070	22.724
27.072	22.646
27.080	22.565
27.092	22.483
27.107	22.398
27.124	22.313
27.141	22.226
27.158	22.139
27.173	22.052
27.185	21.965
27.194	21.879
27.203	21.797
27.214	21.718
27.229	21.646
27.249	21.582
27.277	21.527
27.316	21.483
27.366	21.452
