X	Y
30.812	20.913
30.822	20.850
30.838	20.786
30.862	20.721
30.892	20.655
30.928	20.588
30.971	20.519
31.020	20.449
31.075	20.377
31.136	20.302
31.204	20.226
31.277	20.146
31.356	20.064
31.441	19.979
31.531	19.891
31.627	19.800
31.728	19.705
31.834	19.608
31.944	19.508
32.059	19.405
32.177	19.301
32.300	19.194
32.426	19.085
32.555	18.974
32.687	18.862
32.822	18.749
32.959	18.634
33.099	18.519
33.240	18.402
33.383	18.285
33.528	18.167
33.673	18.049
33.819	17.931
33.966	17.814
34.113	17.696
34.261	17.579
34.408	17.462
34.554	17.346
34.700	17.231
34.844	17.118
34.987	17.006
35.129	16.895
35.269	16.785
35.409	16.677
35.547	16.570
35.683	16.464
35.819	16.359
35.954	16.256
36.088	16.153
36.221	16.051
36.354	15.949
36.486	15.849
36.617	15.749
36.748	15.649
36.879	15.551
37.009	15.452
37.139	15.354
37.269	15.256
37.399	15.159
37.529	15.061
37.659	14.964
37.789	14.866
37.920	14.769
38.050	14.671
38.182	14.573
38.314	14.475
38.446	14.376
38.579	14.277
38.713	14.178
38.848	14.079
38.982	13.979
39.118	13.880
39.254	13.781
39.390	13.682
39.527	13.583
39.665	13.484
39.803	13.386
39.941	13.288
40.080	13.190
40.219	13.094
40.359	12.998
40.499	12.902
40.640	12.808
40.781	12.714
40.922	12.621
41.063	12.530
41.205	12.439
41.348	12.350
41.490	12.262
41.633	12.175
41.776	12.090
41.919	12.006
42.063	11.924
42.206	11.844
42.350	11.765
42.493	11.689
42.636	11.615
42.778	11.544
42.920	11.476
43.061	11.410
43.200	11.348
43.339	11.289
43.477	11.233
43.613	11.182
43.747	11.134
43.880	11.090
44.011	11.051
44.140	11.016
44.267	10.986
44.392	10.961
44.514	10.941
44.634	10.926
44.751	10.916
44.865	10.913
44.976	10.915
45.084	10.923
45.190	10.937
45.293	10.956
45.393	10.981
45.491	11.012
45.586	11.049
45.679	11.092
45.770	11.140
45.859	11.193
45.945	11.253
46.029	11.318
46.111	11.389
46.192	11.465
46.270	11.547
46.347	11.635
46.422	11.728
46.495	11.826
46.566	11.929
46.635	12.037
46.701	12.148
46.765	12.263
46.826	12.382
46.884	12.504
46.940	12.629
46.992	12.756
47.041	12.885
47.087	13.016
47.130	13.149
47.168	13.283
47.203	13.418
47.235	13.554
47.262	13.690
47.285	13.825
47.303	13.961
47.318	14.096
47.327	14.230
47.333	14.363
47.335	14.496
47.332	14.628
47.326	14.760
47.316	14.892
47.302	15.024
47.285	15.156
47.264	15.288
47.241	15.421
47.214	15.553
47.184	15.687
47.152	15.820
47.117	15.955
47.079	16.090
47.039	16.227
46.997	16.364
46.953	16.502
46.907	16.642
46.859	16.783
46.809	16.926
46.758	17.070
46.705	17.215
46.651	17.361
46.596	17.508
46.540	17.656
46.483	17.805
46.425	17.954
46.367	18.104
46.309	18.254
46.250	18.404
46.191	18.554
46.132	18.704
46.074	18.853
46.016	19.002
45.958	19.151
45.901	19.299
45.845	19.446
45.790	19.591
45.736	19.736
45.683	19.880
45.631	20.022
45.582	20.163
45.533	20.302
45.487	20.439
45.442	20.574
45.398	20.706
45.356	20.837
45.313	20.964
45.272	21.089
45.230	21.210
45.188	21.328
45.145	21.442
45.101	21.553
45.056	21.659
45.009	21.762
44.961	21.859
44.910	21.952
44.857	22.040
44.801	22.123
44.743	22.201
44.680	22.273
44.614	22.339
44.544	22.399
44.470	22.454
44.392	22.504
44.310	22.549
44.224	22.589
44.133	22.625
44.038	22.657
43.938	22.684
43.833	22.709
43.724	22.729
43.610	22.747
43.490	22.762
43.366	22.774
43.237	22.784
43.102	22.791
42.962	22.797
42.816	22.801
42.666	22.803
42.512	22.804
42.353	22.804
42.190	22.802
42.024	22.799
41.855	22.795
41.683	22.791
41.508	22.785
41.331	22.779
41.153	22.772
40.972	22.765
40.791	22.758
40.608	22.750
40.425	22.742
40.241	22.735
40.058	22.727
39.874	22.720
39.692	22.714
39.510	22.708
39.330	22.702
39.151	22.698
38.974	22.694
38.800	22.692
38.628	22.690
38.458	22.690
38.292	22.691
38.128	22.694
37.967	22.697
37.808	22.702
37.651	22.707
37.495	22.714
37.341	22.721
37.189	22.729
37.037	22.738
36.887	22.747
36.737	22.757
36.587	22.768
36.438	22.778
36.288	22.790
36.139	22.801
35.989	22.813
35.838	22.825
35.687	22.836
35.535	22.848
35.381	22.860
35.226	22.872
35.069	22.883
34.910	22.894
34.749	22.905
34.586	22.915
34.422	22.925
34.258	22.935
34.093	22.945
33.928	22.955
33.764	22.964
33.601	22.974
33.439	22.984
33.279	22.994
33.121	23.004
32.966	23.014
32.814	23.024
32.666	23.035
32.521	23.047
32.382	23.058
32.247	23.070
32.117	23.083
31.993	23.097
31.876	23.111
31.765	23.125
31.661	23.141
31.565	23.157
31.476	23.173
31.395	23.188
31.320	23.201
31.253	23.209
31.193	23.213
31.139	23.209
31.092	23.198
31.050	23.178
31.015	23.147
30.986	23.105
30.962	23.053
30.943	22.991
30.928	22.922
30.918	22.846
30.910	22.764
30.906	22.680
30.905	22.592
30.905	22.504
30.908	22.415
30.911	22.328
30.915	22.244
30.920	22.164
30.924	22.086
30.928	22.011
30.932	21.939
30.934	21.869
30.935	21.801
30.934	21.734
30.930	21.669
30.925	21.605
30.916	21.541
30.905	21.478
30.891	21.415
30.875	21.353
30.859	21.290
30.844	21.227
30.830	21.165
30.819	21.102
30.811	21.040
30.809	20.977
30.812	20.913
