X	Y
30.710	23.299
30.768	23.219
30.838	23.141
30.921	23.066
31.016	22.994
31.121	22.925
31.237	22.858
31.362	22.794
31.496	22.733
31.638	22.675
31.787	22.619
31.943	22.565
32.105	22.515
32.273	22.466
32.445	22.421
32.621	22.377
32.800	22.336
32.982	22.298
33.166	22.262
33.351	22.228
33.536	22.196
33.721	22.166
33.906	22.139
34.088	22.114
34.269	22.091
34.449	22.070
34.626	22.052
34.803	22.035
34.978	22.021
35.153	22.009
35.326	21.999
35.499	21.992
35.670	21.986
35.842	21.983
36.013	21.982
36.184	21.983
36.354	21.986
36.525	21.992
36.695	22.000
36.866	22.010
37.038	22.022
37.210	22.037
37.382	22.054
37.556	22.073
37.730	22.094
37.906	22.118
38.082	22.144
38.260	22.172
38.440	22.202
38.620	22.235
38.802	22.270
38.985	22.307
39.168	22.345
39.351	22.386
39.534	22.428
39.717	22.472
39.900	22.518
40.081	22.565
40.261	22.613
40.440	22.662
40.617	22.713
40.793	22.764
40.965	22.816
41.136	22.869
41.303	22.923
41.467	22.978
41.628	23.033
41.786	23.088
41.939	23.143
42.088	23.199
42.233	23.255
42.372	23.311
42.507	23.366
42.636	23.422
42.760	23.477
42.879	23.532
42.993	23.589
43.101	23.646
43.205	23.705
43.305	23.766
43.400	23.829
43.491	23.896
43.577	23.965
43.660	24.038
43.740	24.115
43.816	24.197
43.888	24.284
43.958	24.376
44.024	24.474
44.088	24.578
44.149	24.689
44.207	24.806
44.263	24.929
44.316	25.057
44.366	25.191
44.412	25.328
44.455	25.469
44.495	25.613
44.531	25.759
44.563	25.907
44.590	26.056
44.614	26.206
44.634	26.356
44.648	26.506
44.659	26.655
44.664	26.802
44.664	26.946
44.660	27.088
44.650	27.227
44.634	27.362
44.613	27.492
44.587	27.617
44.555	27.738
44.518	27.855
44.478	27.968
44.433	28.078
44.386	28.185
44.335	28.290
44.283	28.392
44.228	28.493
44.172	28.592
44.115	28.691
44.058	28.789
44.001	28.887
43.944	28.985
43.889	29.084
43.835	29.184
43.782	29.286
43.732	29.389
43.684	29.494
43.636	29.600
43.590	29.707
43.544	29.815
43.498	29.924
43.451	30.033
43.404	30.143
43.356	30.253
43.306	30.364
43.255	30.475
43.201	30.585
43.144	30.695
43.085	30.805
43.022	30.914
42.955	31.023
42.883	31.130
42.808	31.237
42.728	31.342
42.644	31.446
42.556	31.550
42.464	31.653
42.369	31.754
42.271	31.855
42.170	31.955
42.066	32.054
41.960	32.153
41.852	32.251
41.741	32.348
41.629	32.444
41.515	32.540
41.401	32.635
41.285	32.730
41.168	32.824
41.050	32.918
40.933	33.012
40.815	33.104
40.697	33.197
40.579	33.289
40.462	33.381
40.345	33.472
40.228	33.563
40.112	33.654
39.995	33.743
39.879	33.832
39.763	33.921
39.647	34.008
39.532	34.095
39.417	34.181
39.302	34.267
39.187	34.351
39.073	34.434
38.959	34.517
38.845	34.598
38.731	34.678
38.618	34.757
38.505	34.835
38.392	34.912
38.279	34.988
38.167	35.061
38.055	35.132
37.945	35.200
37.834	35.265
37.725	35.325
37.617	35.379
37.510	35.428
37.404	35.471
37.300	35.507
37.198	35.535
37.097	35.555
36.998	35.565
36.902	35.566
36.807	35.557
36.715	35.537
36.625	35.505
36.538	35.463
36.452	35.410
36.369	35.349
36.287	35.279
36.206	35.201
36.126	35.117
36.047	35.028
35.969	34.933
35.891	34.835
35.813	34.734
35.734	34.630
35.656	34.526
35.576	34.421
35.496	34.317
35.414	34.214
35.331	34.114
35.247	34.016
35.161	33.922
35.073	33.830
34.984	33.740
34.893	33.652
34.800	33.566
34.707	33.481
34.612	33.396
34.516	33.312
34.418	33.229
34.319	33.145
34.219	33.061
34.118	32.976
34.017	32.889
33.914	32.801
33.810	32.712
33.705	32.620
33.599	32.525
33.493	32.428
33.386	32.327
33.278	32.223
33.170	32.117
33.062	32.007
32.954	31.895
32.847	31.780
32.740	31.663
32.634	31.544
32.529	31.423
32.425	31.299
32.323	31.174
32.222	31.047
32.123	30.918
32.026	30.788
31.932	30.657
31.840	30.525
31.751	30.391
31.665	30.257
31.582	30.121
31.502	29.986
31.426	29.849
31.354	29.713
31.286	29.576
31.222	29.438
31.162	29.301
31.105	29.164
31.053	29.027
31.004	28.889
30.958	28.752
30.916	28.614
30.877	28.476
30.841	28.339
30.808	28.201
30.777	28.064
30.750	27.927
30.724	27.789
30.702	27.652
30.681	27.515
30.663	27.379
30.646	27.242
30.631	27.106
30.619	26.970
30.607	26.834
30.597	26.698
30.589	26.563
30.582	26.430
30.577	26.297
30.572	26.167
30.569	26.039
30.568	25.913
30.567	25.791
30.568	25.672
30.570	25.557
30.573	25.445
30.577	25.339
30.582	25.237
30.589	25.141
30.596	25.050
30.604	24.965
30.613	24.887
30.623	24.815
30.633	24.748
30.642	24.684
30.651	24.622
30.658	24.562
30.662	24.502
30.665	24.440
30.664	24.376
30.659	24.308
30.650	24.235
30.639	24.158
30.627	24.077
30.615	23.994
30.605	23.908
30.598	23.821
30.596	23.733
30.601	23.644
30.613	23.556
30.634	23.468
30.666	23.383
30.710	23.299
