X	Y
53.601	18.836
53.641	18.730
53.700	18.622
53.776	18.511
53.869	18.397
53.978	18.281
54.103	18.161
54.242	18.038
54.395	17.912
54.562	17.782
54.741	17.649
54.932	17.512
55.135	17.371
55.348	17.226
55.571	17.077
55.803	16.925
56.044	16.767
56.292	16.606
56.548	16.440
56.810	16.269
57.077	16.093
57.350	15.913
57.627	15.728
57.910	15.539
58.196	15.346
58.486	15.149
58.780	14.949
59.077	14.745
59.377	14.539
59.680	14.329
59.985	14.118
60.292	13.904
60.601	13.688
60.911	13.470
61.223	13.251
61.535	13.031
61.848	12.810
62.161	12.589
62.473	12.366
62.786	12.144
63.097	11.922
63.408	11.700
63.717	11.479
64.024	11.258
64.330	11.039
64.633	10.821
64.933	10.605
65.231	10.391
65.525	10.179
65.816	9.969
66.103	9.762
66.386	9.557
66.664	9.356
66.938	9.159
67.206	8.964
67.471	8.774
67.731	8.586
67.987	8.402
68.240	8.221
68.489	8.044
68.735	7.869
68.978	7.698
69.219	7.530
69.457	7.365
69.692	7.203
69.926	7.044
70.159	6.888
70.389	6.735
70.619	6.585
70.848	6.437
71.076	6.292
71.304	6.150
71.532	6.011
71.760	5.874
71.988	5.740
72.217	5.608
72.447	5.479
72.678	5.352
72.910	5.228
73.144	5.106
73.380	4.987
73.617	4.870
73.856	4.755
74.097	4.644
74.340	4.535
74.585	4.429
74.832	4.326
75.081	4.226
75.332	4.130
75.585	4.036
75.841	3.946
76.098	3.859
76.359	3.775
76.621	3.696
76.886	3.619
77.153	3.547
77.423	3.478
77.695	3.414
77.970	3.353
78.248	3.296
78.529	3.244
78.812	3.195
79.098	3.151
79.387	3.112
79.678	3.077
79.969	3.047
80.261	3.023
80.550	3.004
80.837	2.992
81.119	2.987
81.396	2.988
81.667	2.997
81.929	3.014
82.183	3.040
82.426	3.073
82.657	3.116
82.876	3.169
83.081	3.231
83.270	3.303
83.443	3.386
83.598	3.480
83.734	3.585
83.850	3.702
83.945	3.832
84.017	3.973
84.068	4.127
84.099	4.291
84.112	4.465
84.108	4.647
84.090	4.838
84.058	5.036
84.014	5.240
83.960	5.449
83.897	5.662
83.826	5.879
83.750	6.098
83.670	6.318
83.587	6.539
83.504	6.759
83.420	6.979
83.339	7.195
83.262	7.409
83.189	7.618
83.121	7.824
83.057	8.027
82.997	8.227
82.938	8.426
82.881	8.623
82.825	8.821
82.769	9.018
82.711	9.216
82.652	9.417
82.590	9.619
82.525	9.824
82.456	10.033
82.381	10.247
82.301	10.465
82.214	10.689
82.119	10.919
82.016	11.156
81.905	11.401
81.783	11.655
81.650	11.917
81.507	12.188
81.354	12.467
81.192	12.753
81.022	13.045
80.844	13.343
80.658	13.645
80.467	13.952
80.270	14.261
80.068	14.573
79.862	14.886
79.652	15.200
79.440	15.514
79.226	15.826
79.010	16.137
78.794	16.446
78.578	16.750
78.363	17.051
78.149	17.347
77.937	17.637
77.729	17.920
77.524	18.196
77.323	18.464
77.128	18.722
76.938	18.971
76.755	19.209
76.579	19.436
76.412	19.650
76.252	19.852
76.102	20.039
75.962	20.212
75.832	20.370
75.710	20.514
75.594	20.644
75.483	20.761
75.375	20.864
75.270	20.956
75.165	21.035
75.059	21.103
74.950	21.159
74.837	21.206
74.719	21.242
74.593	21.268
74.459	21.285
74.317	21.294
74.166	21.295
74.008	21.289
73.843	21.277
73.673	21.258
73.499	21.235
73.320	21.208
73.139	21.178
72.955	21.144
72.771	21.109
72.585	21.073
72.401	21.036
72.217	20.999
72.036	20.963
71.857	20.929
71.682	20.897
71.511	20.869
71.342	20.843
71.176	20.821
71.011	20.804
70.848	20.790
70.687	20.782
70.526	20.779
70.365	20.781
70.203	20.790
70.041	20.805
69.878	20.827
69.713	20.857
69.546	20.894
69.377	20.939
69.204	20.993
69.029	21.054
68.850	21.121
68.669	21.194
68.485	21.272
68.298	21.353
68.108	21.437
67.915	21.523
67.719	21.610
67.521	21.697
67.320	21.784
67.116	21.869
66.909	21.951
66.699	22.030
66.487	22.105
66.271	22.174
66.054	22.237
65.833	22.293
65.610	22.341
65.384	22.381
65.155	22.413
64.925	22.438
64.693	22.456
64.459	22.469
64.224	22.476
63.987	22.478
63.750	22.475
63.512	22.470
63.274	22.461
63.036	22.449
62.798	22.436
62.560	22.421
62.323	22.405
62.086	22.389
61.851	22.374
61.618	22.359
61.386	22.346
61.155	22.335
60.927	22.327
60.702	22.322
60.479	22.320
60.258	22.321
60.040	22.324
59.825	22.328
59.612	22.333
59.403	22.338
59.196	22.343
58.992	22.347
58.790	22.348
58.592	22.348
58.396	22.344
58.204	22.337
58.015	22.326
57.828	22.310
57.645	22.289
57.465	22.261
57.288	22.227
57.114	22.185
56.944	22.136
56.776	22.082
56.611	22.023
56.449	21.960
56.289	21.896
56.132	21.830
55.976	21.764
55.822	21.699
55.670	21.637
55.519	21.578
55.369	21.524
55.221	21.476
55.073	21.435
54.926	21.402
54.779	21.379
54.634	21.363
54.493	21.353
54.357	21.345
54.227	21.337
54.107	21.326
53.997	21.309
53.900	21.285
53.817	21.249
53.749	21.199
53.700	21.133
53.668	21.050
53.652	20.953
53.647	20.843
53.652	20.722
53.663	20.594
53.678	20.461
53.694	20.325
53.708	20.188
53.717	20.052
53.719	19.921
53.710	19.795
53.693	19.676
53.670	19.563
53.643	19.453
53.618	19.348
53.595	19.244
53.579	19.143
53.573	19.041
53.579	18.939
53.601	18.836
