X	Y
53.834	20.813
53.939	20.721
54.071	20.637
54.230	20.561
54.412	20.491
54.616	20.427
54.841	20.370
55.085	20.318
55.346	20.271
55.622	20.229
55.913	20.191
56.215	20.157
56.527	20.126
56.848	20.098
57.176	20.073
57.508	20.050
57.845	20.029
58.183	20.009
58.521	19.990
58.858	19.972
59.194	19.955
59.530	19.938
59.865	19.924
60.199	19.910
60.533	19.899
60.866	19.889
61.199	19.882
61.532	19.877
61.864	19.875
62.196	19.875
62.528	19.879
62.860	19.885
63.192	19.895
63.525	19.909
63.857	19.926
64.190	19.948
64.523	19.973
64.856	20.003
65.190	20.038
65.524	20.077
65.859	20.122
66.195	20.171
66.531	20.226
66.866	20.285
67.200	20.350
67.533	20.418
67.863	20.491
68.191	20.568
68.516	20.649
68.838	20.733
69.155	20.822
69.467	20.914
69.774	21.008
70.076	21.107
70.371	21.208
70.659	21.311
70.940	21.417
71.213	21.526
71.478	21.637
71.734	21.750
71.980	21.865
72.216	21.981
72.442	22.099
72.656	22.219
72.858	22.342
73.048	22.467
73.224	22.596
73.385	22.728
73.532	22.865
73.663	23.006
73.778	23.153
73.876	23.305
73.956	23.463
74.017	23.627
74.058	23.799
74.080	23.977
74.083	24.162
74.066	24.354
74.032	24.551
73.981	24.753
73.914	24.960
73.832	25.170
73.736	25.382
73.626	25.597
73.503	25.814
73.369	26.032
73.224	26.249
73.070	26.467
72.906	26.683
72.734	26.897
72.555	27.109
72.369	27.319
72.176	27.525
71.978	27.727
71.774	27.926
71.564	28.120
71.350	28.310
71.130	28.494
70.906	28.674
70.679	28.848
70.447	29.016
70.212	29.178
69.974	29.333
69.733	29.482
69.490	29.623
69.245	29.756
68.998	29.882
68.749	29.999
68.500	30.107
68.250	30.207
67.999	30.299
67.749	30.384
67.498	30.463
67.248	30.536
66.999	30.606
66.751	30.673
66.505	30.738
66.260	30.802
66.018	30.865
65.777	30.930
65.540	30.997
65.305	31.067
65.074	31.141
64.847	31.220
64.623	31.306
64.404	31.398
64.189	31.498
63.978	31.604
63.771	31.715
63.569	31.829
63.369	31.944
63.173	32.059
62.980	32.172
62.790	32.282
62.602	32.386
62.417	32.484
62.234	32.573
62.052	32.651
61.872	32.718
61.693	32.772
61.516	32.810
61.339	32.834
61.162	32.844
60.985	32.842
60.808	32.830
60.630	32.809
60.451	32.781
60.271	32.747
60.088	32.708
59.904	32.666
59.716	32.623
59.526	32.580
59.332	32.539
59.135	32.499
58.935	32.461
58.733	32.423
58.529	32.384
58.324	32.345
58.119	32.304
57.913	32.260
57.708	32.212
57.504	32.161
57.301	32.104
57.101	32.041
56.903	31.972
56.709	31.895
56.518	31.810
56.332	31.716
56.151	31.614
55.975	31.504
55.805	31.386
55.641	31.260
55.485	31.126
55.337	30.984
55.197	30.835
55.066	30.679
54.944	30.515
54.832	30.344
54.730	30.166
54.640	29.981
54.561	29.790
54.493	29.593
54.434	29.392
54.384	29.187
54.342	28.979
54.308	28.769
54.279	28.559
54.256	28.348
54.237	28.139
54.222	27.932
54.210	27.728
54.199	27.528
54.189	27.333
54.179	27.144
54.169	26.962
54.158	26.784
54.147	26.610
54.136	26.438
54.125	26.268
54.114	26.099
54.104	25.928
54.094	25.755
54.085	25.578
54.077	25.397
54.069	25.210
54.063	25.017
54.058	24.816
54.054	24.610
54.050	24.401
54.045	24.190
54.041	23.980
54.035	23.771
54.028	23.565
54.020	23.364
54.010	23.170
53.997	22.985
53.981	22.809
53.962	22.646
53.940	22.496
53.914	22.359
53.886	22.233
53.856	22.116
53.825	22.006
53.794	21.900
53.763	21.795
53.734	21.690
53.706	21.581
53.684	21.469
53.669	21.355
53.665	21.241
53.676	21.127
53.705	21.017
53.757	20.912
53.834	20.813
