X	Y
38.990	18.083
38.998	18.046
39.013	18.001
39.035	17.951
39.063	17.895
39.097	17.834
39.137	17.769
39.181	17.699
39.231	17.625
39.284	17.548
39.342	17.469
39.404	17.387
39.468	17.303
39.536	17.219
39.606	17.133
39.679	17.048
39.753	16.962
39.828	16.878
39.905	16.794
39.983	16.711
40.062	16.629
40.143	16.548
40.224	16.468
40.307	16.388
40.391	16.309
40.477	16.231
40.563	16.153
40.651	16.076
40.740	15.999
40.830	15.922
40.921	15.846
41.013	15.770
41.107	15.694
41.202	15.618
41.298	15.542
41.395	15.467
41.493	15.391
41.592	15.315
41.693	15.239
41.795	15.163
41.897	15.086
42.001	15.010
42.106	14.933
42.212	14.856
42.320	14.778
42.428	14.701
42.537	14.623
42.647	14.545
42.758	14.468
42.869	14.390
42.982	14.312
43.096	14.235
43.210	14.157
43.325	14.080
43.441	14.003
43.557	13.926
43.674	13.850
43.792	13.773
43.910	13.697
44.029	13.622
44.149	13.547
44.269	13.472
44.389	13.397
44.510	13.324
44.632	13.250
44.753	13.178
44.876	13.106
44.998	13.034
45.121	12.964
45.244	12.893
45.367	12.824
45.491	12.754
45.615	12.685
45.738	12.617
45.862	12.549
45.987	12.481
46.111	12.413
46.235	12.345
46.359	12.277
46.484	12.210
46.608	12.142
46.732	12.074
46.856	12.007
46.980	11.938
47.104	11.870
47.227	11.802
47.351	11.733
47.474	11.664
47.597	11.594
47.719	11.524
47.842	11.453
47.964	11.382
48.085	11.310
48.206	11.237
48.327	11.164
48.447	11.090
48.567	11.015
48.686	10.940
48.805	10.865
48.924	10.789
49.042	10.713
49.160	10.638
49.278	10.562
49.395	10.487
49.512	10.413
49.629	10.339
49.745	10.265
49.861	10.193
49.977	10.121
50.093	10.050
50.209	9.981
50.324	9.913
50.439	9.846
50.554	9.781
50.669	9.717
50.784	9.655
50.899	9.595
51.013	9.537
51.128	9.482
51.242	9.428
51.357	9.377
51.471	9.328
51.585	9.282
51.699	9.238
51.813	9.196
51.926	9.157
52.038	9.119
52.150	9.084
52.261	9.051
52.371	9.019
52.481	8.990
52.589	8.962
52.696	8.937
52.802	8.913
52.906	8.891
53.009	8.871
53.110	8.852
53.210	8.835
53.308	8.819
53.405	8.805
53.499	8.792
53.591	8.780
53.682	8.770
53.770	8.762
53.856	8.754
53.941	8.748
54.024	8.743
54.105	8.739
54.185	8.736
54.264	8.735
54.341	8.734
54.417	8.735
54.492	8.737
54.565	8.740
54.638	8.744
54.710	8.749
54.782	8.755
54.852	8.763
54.922	8.771
54.991	8.780
55.060	8.790
55.127	8.802
55.193	8.815
55.257	8.829
55.320	8.845
55.381	8.861
55.441	8.880
55.499	8.899
55.555	8.921
55.608	8.943
55.660	8.968
55.709	8.994
55.756	9.023
55.801	9.055
55.843	9.089
55.883	9.127
55.921	9.169
55.956	9.214
55.989	9.264
56.020	9.319
56.048	9.379
56.074	9.443
56.097	9.513
56.118	9.586
56.137	9.664
56.153	9.745
56.167	9.830
56.179	9.917
56.189	10.008
56.197	10.100
56.203	10.194
56.206	10.290
56.208	10.387
56.207	10.485
56.205	10.583
56.201	10.682
56.195	10.780
56.188	10.878
56.178	10.975
56.167	11.071
56.154	11.167
56.140	11.262
56.124	11.358
56.106	11.452
56.087	11.547
56.067	11.641
56.045	11.736
56.022	11.830
55.997	11.925
55.972	12.020
55.945	12.115
55.916	12.210
55.887	12.306
55.856	12.403
55.825	12.500
55.792	12.598
55.759	12.697
55.724	12.796
55.689	12.896
55.652	12.997
55.615	13.099
55.576	13.201
55.537	13.303
55.497	13.407
55.455	13.510
55.413	13.614
55.370	13.719
55.325	13.823
55.280	13.928
55.234	14.033
55.187	14.139
55.139	14.244
55.090	14.349
55.040	14.455
54.989	14.560
54.936	14.666
54.883	14.771
54.829	14.876
54.775	14.980
54.719	15.084
54.662	15.188
54.604	15.290
54.545	15.392
54.486	15.491
54.426	15.589
54.365	15.685
54.303	15.779
54.240	15.870
54.177	15.958
54.113	16.044
54.049	16.126
53.984	16.204
53.918	16.278
53.852	16.349
53.785	16.415
53.718	16.476
53.650	16.532
53.582	16.584
53.513	16.630
53.444	16.670
53.375	16.707
53.306	16.740
53.237	16.769
53.167	16.797
53.098	16.823
53.029	16.849
52.961	16.875
52.893	16.901
52.826	16.930
52.759	16.960
52.693	16.994
52.628	17.031
52.563	17.074
52.500	17.121
52.438	17.173
52.377	17.229
52.318	17.290
52.260	17.354
52.203	17.420
52.149	17.490
52.095	17.561
52.044	17.633
51.995	17.707
51.947	17.781
51.902	17.856
51.859	17.930
51.818	18.003
51.780	18.075
51.744	18.145
51.710	18.213
51.679	18.278
51.648	18.341
51.618	18.402
51.588	18.460
51.556	18.517
51.523	18.571
51.486	18.623
51.446	18.673
51.401	18.721
51.350	18.766
51.294	18.810
51.231	18.852
51.160	18.892
51.081	18.930
50.996	18.967
50.904	19.002
50.806	19.035
50.703	19.066
50.595	19.096
50.482	19.125
50.366	19.152
50.247	19.179
50.124	19.204
50.000	19.227
49.874	19.250
49.746	19.272
49.618	19.293
49.490	19.313
49.363	19.332
49.236	19.351
49.110	19.369
48.987	19.386
48.866	19.403
48.748	19.420
48.634	19.436
48.524	19.452
48.416	19.468
48.312	19.483
48.210	19.498
48.109	19.513
48.011	19.527
47.913	19.540
47.816	19.552
47.719	19.564
47.622	19.576
47.523	19.586
47.424	19.596
47.323	19.604
47.220	19.612
47.114	19.619
47.006	19.625
46.894	19.630
46.778	19.633
46.657	19.636
46.532	19.637
46.402	19.637
46.267	19.636
46.127	19.634
45.982	19.631
45.834	19.627
45.681	19.622
45.525	19.617
45.366	19.610
45.204	19.604
45.039	19.597
44.871	19.589
44.702	19.581
44.530	19.573
44.357	19.565
44.182	19.557
44.007	19.549
43.830	19.542
43.653	19.534
43.476	19.527
43.299	19.521
43.123	19.514
42.946	19.509
42.771	19.504
42.597	19.500
42.425	19.497
42.254	19.495
42.085	19.494
41.919	19.495
41.755	19.496
41.594	19.499
41.436	19.504
41.282	19.509
41.131	19.517
40.984	19.525
40.841	19.535
40.702	19.545
40.568	19.555
40.438	19.565
40.313	19.575
40.193	19.583
40.078	19.591
39.968	19.597
39.864	19.602
39.765	19.604
39.672	19.604
39.585	19.601
39.504	19.595
39.429	19.586
39.361	19.573
39.299	19.556
39.244	19.534
39.197	19.508
39.156	19.476
39.122	19.441
39.093	19.401
39.071	19.359
39.053	19.314
39.039	19.267
39.028	19.219
39.021	19.171
39.016	19.124
39.013	19.077
39.011	19.031
39.010	18.986
39.011	18.942
39.012	18.898
39.013	18.856
39.014	18.815
39.015	18.775
39.016	18.735
39.016	18.697
39.015	18.658
39.015	18.621
39.014	18.583
39.014	18.545
39.015	18.506
39.016	18.467
39.018	18.427
39.020	18.386
39.022	18.347
39.023	18.309
39.022	18.273
39.020	18.240
39.015	18.211
39.008	18.186
38.999	18.163
38.992	18.139
38.988	18.114
38.990	18.083
