X	Y
38.938	19.041
38.990	18.998
39.057	18.957
39.139	18.917
39.235	18.880
39.344	18.844
39.464	18.809
39.595	18.776
39.734	18.745
39.882	18.714
40.038	18.685
40.199	18.656
40.365	18.629
40.536	18.602
40.709	18.576
40.884	18.550
41.059	18.525
41.234	18.499
41.408	18.474
41.579	18.449
41.747	18.424
41.910	18.399
42.067	18.374
42.218	18.348
42.364	18.322
42.505	18.297
42.642	18.272
42.775	18.247
42.904	18.224
43.030	18.201
43.154	18.180
43.275	18.160
43.394	18.142
43.512	18.126
43.628	18.112
43.745	18.100
43.860	18.091
43.977	18.084
44.093	18.081
44.211	18.080
44.331	18.083
44.452	18.089
44.575	18.099
44.700	18.112
44.826	18.128
44.953	18.147
45.082	18.169
45.211	18.194
45.341	18.222
45.472	18.252
45.604	18.284
45.736	18.318
45.868	18.355
46.001	18.394
46.133	18.434
46.265	18.476
46.396	18.520
46.527	18.565
46.658	18.611
46.787	18.659
46.916	18.708
47.043	18.758
47.169	18.808
47.294	18.860
47.417	18.912
47.539	18.965
47.659	19.018
47.777	19.072
47.893	19.127
48.007	19.182
48.119	19.237
48.228	19.293
48.335	19.348
48.439	19.404
48.541	19.460
48.640	19.516
48.736	19.572
48.829	19.628
48.918	19.683
49.005	19.739
49.087	19.794
49.167	19.850
49.242	19.906
49.313	19.963
49.379	20.020
49.442	20.079
49.499	20.138
49.552	20.199
49.599	20.262
49.642	20.326
49.678	20.393
49.710	20.461
49.735	20.532
49.755	20.604
49.769	20.678
49.778	20.753
49.781	20.828
49.780	20.904
49.772	20.980
49.760	21.056
49.742	21.131
49.719	21.205
49.691	21.279
49.659	21.351
49.622	21.422
49.580	21.492
49.535	21.562
49.486	21.630
49.434	21.698
49.379	21.766
49.321	21.833
49.260	21.900
49.198	21.966
49.133	22.033
49.067	22.099
48.999	22.165
48.929	22.231
48.858	22.296
48.785	22.360
48.709	22.422
48.631	22.482
48.551	22.540
48.468	22.595
48.382	22.647
48.293	22.696
48.201	22.741
48.106	22.781
48.007	22.818
47.905	22.849
47.799	22.875
47.690	22.897
47.579	22.915
47.468	22.930
47.357	22.942
47.247	22.954
47.140	22.965
47.036	22.977
46.937	22.989
46.843	23.004
46.757	23.021
46.677	23.042
46.607	23.067
46.546	23.097
46.496	23.134
46.456	23.176
46.423	23.222
46.396	23.273
46.373	23.326
46.350	23.381
46.327	23.438
46.300	23.494
46.269	23.550
46.230	23.605
46.185	23.658
46.133	23.710
46.076	23.759
46.014	23.808
45.946	23.855
45.875	23.900
45.800	23.943
45.721	23.985
45.640	24.026
45.557	24.065
45.472	24.102
45.385	24.138
45.297	24.172
45.208	24.204
45.117	24.234
45.024	24.262
44.928	24.288
44.831	24.312
44.731	24.333
44.629	24.352
44.525	24.368
44.418	24.381
44.307	24.391
44.194	24.399
44.078	24.403
43.959	24.404
43.836	24.402
43.711	24.396
43.583	24.387
43.453	24.375
43.321	24.359
43.187	24.341
43.053	24.318
42.918	24.293
42.782	24.264
42.646	24.233
42.511	24.198
42.377	24.159
42.243	24.118
42.111	24.073
41.981	24.025
41.853	23.974
41.728	23.920
41.605	23.862
41.486	23.801
41.370	23.738
41.258	23.671
41.150	23.601
41.046	23.528
40.944	23.452
40.847	23.374
40.753	23.293
40.663	23.210
40.576	23.124
40.493	23.035
40.413	22.945
40.336	22.852
40.264	22.757
40.194	22.661
40.128	22.562
40.065	22.461
40.005	22.359
39.949	22.255
39.896	22.150
39.846	22.043
39.798	21.936
39.752	21.829
39.709	21.722
39.666	21.616
39.625	21.510
39.584	21.407
39.544	21.305
39.504	21.205
39.463	21.109
39.421	21.016
39.378	20.926
39.334	20.841
39.288	20.761
39.239	20.685
39.188	20.615
39.136	20.550
39.084	20.488
39.033	20.431
38.984	20.377
38.938	20.325
38.896	20.275
38.861	20.227
38.831	20.180
38.810	20.133
38.796	20.086
38.791	20.039
38.792	19.992
38.798	19.944
38.808	19.896
38.820	19.847
38.833	19.798
38.846	19.748
38.858	19.698
38.868	19.647
38.877	19.595
38.883	19.543
38.887	19.492
38.888	19.439
38.885	19.387
38.879	19.335
38.872	19.284
38.869	19.233
38.871	19.183
38.881	19.134
38.902	19.087
38.938	19.041
