X	Y
23.404	21.489
23.446	21.437
23.494	21.385
23.550	21.335
23.612	21.285
23.680	21.236
23.755	21.188
23.835	21.141
23.921	21.093
24.012	21.047
24.107	21.000
24.208	20.954
24.312	20.907
24.421	20.860
24.533	20.813
24.649	20.766
24.767	20.718
24.889	20.669
25.013	20.619
25.139	20.569
25.267	20.517
25.397	20.465
25.528	20.411
25.660	20.355
25.792	20.299
25.926	20.240
26.059	20.180
26.194	20.119
26.328	20.056
26.463	19.992
26.598	19.927
26.734	19.861
26.870	19.793
27.006	19.725
27.142	19.656
27.278	19.586
27.414	19.515
27.550	19.444
27.686	19.372
27.822	19.300
27.958	19.227
28.093	19.154
28.229	19.081
28.364	19.007
28.499	18.934
28.633	18.860
28.767	18.787
28.900	18.714
29.033	18.641
29.166	18.568
29.298	18.495
29.429	18.424
29.559	18.352
29.689	18.282
29.818	18.212
29.946	18.142
30.074	18.074
30.200	18.007
30.326	17.940
30.450	17.875
30.574	17.810
30.697	17.747
30.820	17.684
30.941	17.623
31.062	17.562
31.183	17.503
31.302	17.444
31.422	17.387
31.540	17.331
31.658	17.276
31.776	17.221
31.893	17.168
32.010	17.116
32.127	17.065
32.243	17.016
32.358	16.967
32.474	16.920
32.589	16.873
32.704	16.828
32.819	16.784
32.934	16.741
33.049	16.700
33.163	16.659
33.278	16.620
33.392	16.582
33.507	16.546
33.621	16.510
33.735	16.477
33.849	16.444
33.962	16.414
34.074	16.385
34.186	16.357
34.296	16.332
34.406	16.309
34.515	16.287
34.622	16.268
34.728	16.251
34.832	16.236
34.934	16.224
35.035	16.214
35.134	16.207
35.231	16.202
35.325	16.200
35.418	16.201
35.508	16.205
35.595	16.212
35.680	16.222
35.762	16.235
35.841	16.251
35.917	16.270
35.991	16.293
36.063	16.319
36.132	16.348
36.198	16.380
36.263	16.415
36.325	16.453
36.385	16.495
36.443	16.540
36.499	16.588
36.553	16.639
36.606	16.694
36.656	16.752
36.705	16.813
36.753	16.877
36.799	16.944
36.843	17.014
36.886	17.087
36.927	17.162
36.967	17.240
37.005	17.320
37.041	17.402
37.076	17.486
37.109	17.571
37.141	17.659
37.171	17.748
37.200	17.838
37.227	17.929
37.253	18.021
37.276	18.114
37.299	18.207
37.320	18.301
37.339	18.395
37.356	18.490
37.372	18.584
37.387	18.679
37.399	18.775
37.411	18.871
37.420	18.967
37.428	19.064
37.434	19.162
37.439	19.261
37.442	19.361
37.443	19.462
37.443	19.564
37.441	19.667
37.437	19.772
37.431	19.878
37.424	19.985
37.415	20.094
37.404	20.205
37.392	20.318
37.378	20.432
37.362	20.549
37.344	20.668
37.325	20.789
37.303	20.911
37.280	21.036
37.255	21.162
37.229	21.290
37.201	21.418
37.171	21.547
37.139	21.677
37.106	21.807
37.071	21.937
37.034	22.067
36.996	22.196
36.956	22.325
36.915	22.452
36.872	22.579
36.828	22.704
36.782	22.827
36.734	22.948
36.685	23.067
36.634	23.184
36.582	23.298
36.529	23.409
36.474	23.517
36.418	23.622
36.360	23.722
36.301	23.819
36.240	23.912
36.178	24.000
36.115	24.084
36.050	24.164
35.985	24.240
35.918	24.313
35.851	24.382
35.782	24.448
35.713	24.512
35.643	24.573
35.572	24.632
35.501	24.688
35.429	24.743
35.357	24.797
35.285	24.849
35.213	24.901
35.140	24.952
35.067	25.002
34.995	25.052
34.922	25.102
34.850	25.153
34.778	25.204
34.706	25.256
34.634	25.308
34.563	25.360
34.491	25.412
34.419	25.465
34.346	25.517
34.273	25.569
34.199	25.621
34.125	25.672
34.050	25.723
33.973	25.773
33.896	25.823
33.817	25.871
33.737	25.918
33.656	25.964
33.573	26.009
33.488	26.052
33.402	26.094
33.314	26.134
33.223	26.172
33.131	26.208
33.037	26.243
32.942	26.276
32.845	26.307
32.746	26.336
32.647	26.363
32.546	26.389
32.444	26.413
32.341	26.434
32.238	26.454
32.133	26.472
32.028	26.488
31.923	26.502
31.817	26.514
31.711	26.524
31.605	26.532
31.499	26.538
31.393	26.542
31.288	26.544
31.182	26.544
31.077	26.541
30.973	26.537
30.868	26.531
30.765	26.523
30.661	26.513
30.557	26.501
30.454	26.487
30.350	26.471
30.246	26.454
30.141	26.435
30.037	26.414
29.931	26.392
29.825	26.368
29.719	26.343
29.611	26.316
29.503	26.288
29.394	26.259
29.283	26.228
29.171	26.196
29.058	26.163
28.944	26.129
28.828	26.093
28.710	26.057
28.591	26.019
28.469	25.981
28.346	25.941
28.222	25.901
28.096	25.860
27.968	25.818
27.840	25.776
27.710	25.733
27.579	25.690
27.447	25.646
27.315	25.602
27.182	25.558
27.048	25.514
26.915	25.469
26.781	25.425
26.646	25.380
26.512	25.336
26.378	25.291
26.245	25.247
26.111	25.204
25.979	25.160
25.846	25.117
25.715	25.075
25.585	25.033
25.455	24.992
25.327	24.952
25.200	24.912
25.075	24.874
24.951	24.836
24.829	24.799
24.708	24.764
24.590	24.729
24.474	24.696
24.360	24.662
24.250	24.629
24.142	24.596
24.039	24.563
23.939	24.529
23.843	24.494
23.751	24.459
23.664	24.422
23.582	24.384
23.506	24.344
23.435	24.302
23.370	24.258
23.310	24.212
23.258	24.162
23.212	24.110
23.173	24.055
23.142	23.997
23.118	23.935
23.101	23.869
23.090	23.801
