X	Y
6.820	4.518
6.832	4.503
6.846	4.489
6.862	4.475
6.882	4.462
6.903	4.449
6.927	4.437
6.953	4.426
6.981	4.415
7.011	4.404
7.043	4.394
7.076	4.384
7.111	4.374
7.148	4.366
7.186	4.357
7.225	4.349
7.265	4.341
7.306	4.333
7.348	4.326
7.390	4.319
7.434	4.313
7.477	4.306
7.522	4.300
7.566	4.295
7.611	4.289
7.656	4.284
7.702	4.279
7.747	4.275
7.793	4.271
7.839	4.267
7.886	4.264
7.932	4.261
7.979	4.258
8.026	4.256
8.073	4.254
8.120	4.253
8.167	4.252
8.214	4.251
8.261	4.251
8.308	4.252
8.356	4.252
8.403	4.254
8.450	4.256
8.497	4.258
8.544	4.261
8.590	4.265
8.637	4.269
8.683	4.274
8.730	4.279
8.776	4.285
8.821	4.291
8.867	4.298
8.912	4.306
8.957	4.314
9.002	4.323
9.046	4.333
9.089	4.343
9.133	4.354
9.175	4.365
9.218	4.377
9.259	4.389
9.300	4.402
9.340	4.415
9.380	4.429
9.418	4.443
9.456	4.458
9.493	4.473
9.529	4.489
9.565	4.505
9.599	4.522
9.632	4.539
9.664	4.556
9.695	4.574
9.725	4.592
9.754	4.611
9.782	4.630
9.808	4.649
9.833	4.669
9.857	4.689
9.879	4.709
9.901	4.729
9.922	4.750
9.941	4.771
9.961	4.792
9.979	4.813
9.997	4.834
10.015	4.855
10.033	4.877
10.050	4.898
10.068	4.919
10.085	4.940
10.103	4.961
10.121	4.982
10.140	5.003
10.159	5.024
10.179	5.044
10.200	5.064
10.221	5.084
10.242	5.103
10.263	5.122
10.284	5.141
10.305	5.160
10.325	5.179
10.344	5.197
10.362	5.215
10.379	5.233
10.394	5.251
10.408	5.268
10.419	5.285
10.429	5.302
10.435	5.319
10.439	5.336
10.441	5.352
10.440	5.369
10.437	5.385
10.432	5.401
10.425	5.417
10.418	5.433
10.409	5.449
10.400	5.465
10.391	5.481
10.381	5.497
10.372	5.513
10.364	5.529
10.356	5.545
10.349	5.562
10.343	5.578
10.339	5.594
10.336	5.611
10.334	5.628
10.334	5.644
10.336	5.661
10.339	5.677
10.345	5.694
10.353	5.711
10.363	5.727
10.374	5.744
10.386	5.761
10.398	5.777
10.411	5.794
10.424	5.811
10.436	5.827
10.447	5.844
10.458	5.861
10.467	5.878
10.474	5.895
10.479	5.912
10.482	5.928
10.483	5.945
10.482	5.961
10.479	5.976
10.475	5.991
10.469	6.005
10.461	6.018
10.452	6.029
10.442	6.040
10.430	6.049
10.418	6.057
10.405	6.064
10.392	6.072
10.378	6.079
10.365	6.086
10.353	6.095
10.342	6.104
10.332	6.114
10.324	6.127
10.317	6.140
10.312	6.155
10.308	6.171
10.305	6.188
10.303	6.205
10.302	6.223
10.302	6.241
10.303	6.260
10.304	6.278
10.306	6.296
10.309	6.314
10.311	6.331
10.314	6.348
10.317	6.365
10.320	6.382
10.322	6.398
10.325	6.414
10.328	6.430
10.330	6.446
10.332	6.461
10.333	6.477
10.334	6.492
10.334	6.508
10.334	6.523
10.334	6.539
10.334	6.554
10.333	6.570
10.333	6.586
10.332	6.602
10.332	6.618
10.332	6.635
10.332	6.651
10.332	6.667
10.331	6.683
10.330	6.698
10.327	6.711
10.323	6.723
10.316	6.732
10.308	6.740
10.296	6.745
10.283	6.747
10.268	6.748
10.251	6.748
10.233	6.747
10.214	6.745
10.195	6.743
10.176	6.743
10.157	6.743
10.139	6.745
10.122	6.749
10.107	6.756
10.093	6.765
10.080	6.777
10.069	6.790
10.060	6.804
10.051	6.820
10.044	6.837
10.037	6.855
10.032	6.873
10.027	6.891
10.023	6.908
10.020	6.926
10.018	6.942
10.016	6.959
