X	Y
27.268	13.744
27.282	13.684
27.305	13.625
27.335	13.569
27.373	13.514
27.419	13.460
27.470	13.407
27.528	13.353
27.592	13.298
27.660	13.243
27.733	13.185
27.810	13.125
27.890	13.062
27.973	12.996
28.058	12.926
28.146	12.852
28.236	12.774
28.328	12.693
28.423	12.609
28.520	12.521
28.620	12.431
28.722	12.338
28.827	12.243
28.934	12.146
29.044	12.047
29.156	11.945
29.271	11.843
29.389	11.738
29.509	11.633
29.631	11.527
29.757	11.419
29.885	11.311
30.016	11.203
30.149	11.095
30.286	10.986
30.425	10.878
30.567	10.770
30.712	10.663
30.859	10.556
31.010	10.451
31.163	10.346
31.319	10.243
31.476	10.140
31.636	10.038
31.798	9.938
31.962	9.838
32.126	9.739
32.292	9.642
32.460	9.545
32.628	9.449
32.796	9.355
32.965	9.261
33.135	9.168
33.304	9.077
33.474	8.986
33.643	8.896
33.811	8.808
33.979	8.720
34.146	8.634
34.311	8.548
34.475	8.463
34.638	8.380
34.799	8.298
34.958	8.216
35.115	8.136
35.270	8.056
35.422	7.978
35.572	7.901
35.718	7.825
35.861	7.750
36.002	7.676
36.139	7.603
36.274	7.531
36.406	7.461
36.537	7.392
36.665	7.324
36.791	7.258
36.916	7.193
37.040	7.130
37.162	7.069
37.283	7.009
37.404	6.951
37.524	6.895
37.644	6.840
37.763	6.788
37.883	6.738
38.003	6.689
38.124	6.643
38.245	6.599
38.368	6.557
38.491	6.518
38.616	6.481
38.743	6.446
38.871	6.414
38.999	6.384
39.129	6.356
39.259	6.330
39.389	6.307
39.519	6.285
39.648	6.266
39.776	6.248
39.904	6.233
40.029	6.219
40.153	6.207
40.275	6.197
40.394	6.188
40.510	6.181
40.624	6.175
40.733	6.171
40.840	6.169
40.942	6.167
41.039	6.167
41.132	6.168
41.221	6.171
41.305	6.177
41.386	6.186
41.462	6.198
41.536	6.215
41.607	6.238
41.674	6.266
41.740	6.301
41.804	6.344
41.865	6.395
41.926	6.454
41.985	6.524
42.043	6.603
42.101	6.692
42.157	6.789
42.212	6.895
42.266	7.009
42.318	7.130
42.368	7.258
42.417	7.391
42.463	7.530
42.507	7.673
42.549	7.821
42.589	7.972
42.626	8.126
42.660	8.282
42.691	8.439
42.719	8.598
42.744	8.757
42.766	8.917
42.784	9.075
42.799	9.232
42.809	9.386
42.816	9.539
42.819	9.688
42.818	9.833
42.812	9.974
42.802	10.112
42.789	10.246
42.772	10.377
42.752	10.506
42.728	10.632
42.702	10.755
42.672	10.877
42.640	10.997
42.606	11.115
42.569	11.232
42.530	11.348
42.489	11.463
42.447	11.578
42.403	11.692
42.357	11.807
42.311	11.922
42.263	12.038
42.215	12.154
42.166	12.271
42.117	12.390
42.067	12.510
42.017	12.631
41.966	12.752
41.913	12.873
41.860	12.994
41.806	13.115
41.750	13.235
41.693	13.354
41.634	13.471
41.574	13.587
41.511	13.701
41.446	13.812
41.380	13.921
41.311	14.026
41.239	14.129
41.165	14.227
41.088	14.322
41.008	14.413
40.925	14.499
40.839	14.580
40.749	14.656
40.656	14.726
40.561	14.793
40.463	14.854
40.363	14.911
40.261	14.964
40.157	15.014
40.052	15.059
39.946	15.102
39.839	15.141
39.731	15.177
39.623	15.210
39.515	15.241
39.407	15.270
39.300	15.296
39.193	15.321
39.088	15.344
38.984	15.366
38.881	15.387
38.781	15.406
38.682	15.424
38.586	15.441
38.492	15.455
38.400	15.468
38.312	15.478
38.226	15.486
38.143	15.491
38.063	15.493
37.986	15.492
37.913	15.488
37.844	15.480
37.779	15.468
37.717	15.453
37.659	15.434
37.604	15.412
37.550	15.389
37.498	15.366
37.446	15.344
37.393	15.324
37.339	15.307
37.283	15.294
37.223	15.286
37.160	15.284
37.093	15.288
37.022	15.298
36.947	15.312
36.869	15.330
36.787	15.352
36.702	15.378
36.613	15.406
36.521	15.437
36.425	15.469
36.327	15.502
36.225	15.537
36.120	15.571
36.012	15.606
35.901	15.639
35.787	15.672
35.670	15.703
35.551	15.733
35.429	15.761
35.305	15.789
35.179	15.815
35.051	15.839
34.920	15.863
34.788	15.884
34.655	15.905
34.519	15.924
34.383	15.942
34.245	15.958
34.105	15.973
33.965	15.986
33.824	15.998
33.683	16.008
33.540	16.016
33.398	16.023
33.255	16.029
33.111	16.033
32.968	16.035
32.825	16.036
32.682	16.035
32.539	16.032
32.396	16.028
32.254	16.023
32.113	16.017
31.972	16.009
31.831	16.001
31.691	15.991
31.552	15.981
31.414	15.970
31.277	15.958
31.141	15.946
31.006	15.933
30.872	15.919
30.739	15.906
30.608	15.892
30.478	15.878
30.350	15.864
30.223	15.849
30.097	15.835
29.974	15.822
29.852	15.808
29.732	15.795
29.614	15.782
29.498	15.770
29.384	15.758
29.272	15.746
29.162	15.735
29.054	15.724
28.949	15.713
28.846	15.703
28.745	15.693
28.647	15.683
28.552	15.674
28.459	15.666
28.369	15.658
28.282	15.650
28.197	15.643
28.115	15.636
28.037	15.629
27.961	15.622
27.890	15.613
27.823	15.602
27.760	15.589
27.702	15.572
27.650	15.551
27.603	15.525
27.562	15.494
27.528	15.456
27.500	15.412
27.478	15.362
27.462	15.307
27.450	15.249
27.443	15.189
27.439	15.128
27.439	15.066
27.440	15.006
27.444	14.947
27.448	14.892
27.453	14.839
27.458	14.789
27.462	14.739
27.464	14.690
27.464	14.641
27.461	14.589
27.453	14.536
27.441	14.479
27.424	14.418
27.404	14.355
27.381	14.288
27.357	14.220
27.333	14.151
27.311	14.081
27.292	14.012
27.277	13.942
27.267	13.874
27.264	13.808
27.268	13.744
