X	Y
61.070	37.985
61.178	37.913
61.362	37.848
61.609	37.788
61.907	37.728
62.245	37.666
62.610	37.598
62.990	37.522
63.373	37.433
63.748	37.330
64.113	37.212
64.470	37.081
64.819	36.939
65.164	36.789
65.506	36.630
65.847	36.466
66.188	36.298
66.531	36.128
66.878	35.957
67.231	35.788
67.591	35.621
67.956	35.456
68.327	35.294
68.703	35.134
69.083	34.976
69.467	34.821
69.853	34.668
70.242	34.517
70.632	34.368
71.024	34.221
71.415	34.075
71.807	33.933
72.196	33.793
72.583	33.658
72.967	33.530
73.346	33.408
73.718	33.296
74.084	33.195
74.441	33.105
74.789	33.028
75.127	32.966
75.453	32.919
75.766	32.891
76.065	32.882
76.347	32.894
76.610	32.929
76.854	32.989
77.077	33.076
77.276	33.192
77.450	33.337
77.600	33.511
77.724	33.711
77.825	33.937
77.900	34.186
77.951	34.458
77.978	34.750
77.981	35.059
77.962	35.383
77.921	35.716
77.861	36.055
77.782	36.396
77.685	36.734
77.572	37.067
77.445	37.390
77.304	37.699
77.150	37.991
76.983	38.265
76.803	38.522
76.609	38.759
76.401	38.977
76.179	39.174
75.942	39.350
75.690	39.504
75.424	39.636
75.144	39.748
74.853	39.844
74.553	39.927
74.246	39.999
73.933	40.064
73.617	40.125
73.300	40.185
72.984	40.248
72.671	40.313
72.362	40.379
72.060	40.443
71.765	40.503
71.480	40.557
71.206	40.601
70.946	40.635
70.700	40.655
70.469	40.663
70.247	40.665
70.030	40.668
69.813	40.680
69.592	40.706
69.361	40.755
69.118	40.830
68.866	40.924
68.607	41.030
68.346	41.142
68.084	41.252
67.825	41.353
67.573	41.437
67.330	41.499
67.095	41.537
66.864	41.556
66.632	41.558
66.397	41.548
66.152	41.528
65.895	41.504
65.623	41.477
65.340	41.448
65.051	41.418
64.758	41.386
64.468	41.355
64.184	41.322
63.910	41.290
63.652	41.258
63.409	41.228
63.178	41.199
62.954	41.174
62.732	41.152
62.506	41.136
62.273	41.126
62.029	41.122
61.784	41.116
61.551	41.097
61.344	41.056
61.173	40.982
61.054	40.864
60.991	40.700
60.972	40.499
60.986	40.274
61.017	40.037
61.052	39.800
61.077	39.577
61.087	39.373
61.085	39.185
61.078	39.011
61.072	38.848
61.071	38.692
61.077	38.542
61.082	38.401
61.077	38.274
61.057	38.162
61.041	38.067
61.070	37.985
