X	Y
39.056	14.507
39.078	14.455
39.103	14.404
39.130	14.354
39.160	14.305
39.193	14.255
39.229	14.207
39.268	14.158
39.309	14.110
39.352	14.062
39.399	14.014
39.447	13.967
39.499	13.919
39.553	13.872
39.609	13.824
39.667	13.777
39.729	13.729
39.792	13.681
39.858	13.633
39.926	13.584
39.996	13.535
40.068	13.486
40.143	13.436
40.219	13.386
40.298	13.335
40.379	13.283
40.462	13.231
40.547	13.178
40.633	13.124
40.722	13.069
40.813	13.014
40.905	12.957
40.999	12.900
41.095	12.842
41.193	12.783
41.292	12.723
41.393	12.663
41.496	12.601
41.600	12.539
41.706	12.477
41.813	12.413
41.921	12.349
42.031	12.285
42.142	12.220
42.255	12.154
42.369	12.087
42.483	12.020
42.599	11.953
42.717	11.885
42.835	11.817
42.954	11.748
43.074	11.679
43.196	11.609
43.318	11.539
43.441	11.469
43.565	11.398
43.689	11.327
43.814	11.256
43.940	11.184
44.067	11.113
44.194	11.041
44.322	10.968
44.451	10.896
44.579	10.824
44.709	10.751
44.838	10.678
44.968	10.606
45.099	10.533
45.229	10.460
45.360	10.387
45.491	10.314
45.622	10.242
45.753	10.169
45.884	10.096
46.016	10.024
46.147	9.951
46.278	9.879
46.409	9.807
46.540	9.735
46.671	9.664
46.801	9.593
46.931	9.521
47.061	9.451
47.190	9.380
47.319	9.310
47.448	9.240
47.576	9.171
47.704	9.102
47.831	9.034
47.958	8.966
48.084	8.898
48.210	8.831
48.335	8.764
48.460	8.698
48.584	8.633
48.707	8.568
48.830	8.504
48.952	8.440
49.073	8.377
49.194	8.315
49.313	8.254
49.432	8.193
49.551	8.133
49.668	8.073
49.785	8.015
49.900	7.957
50.015	7.900
50.129	7.844
50.242	7.789
50.354	7.735
50.465	7.682
50.575	7.629
50.684	7.578
50.791	7.527
50.898	7.478
51.004	7.430
51.108	7.382
51.212	7.336
51.314	7.291
51.415	7.247
51.515	7.205
51.613	7.163
51.711	7.123
51.807	7.083
51.901	7.045
51.995	7.009
52.087	6.973
52.177	6.939
52.267	6.906
52.354	6.875
52.441	6.845
52.526	6.816
52.609	6.789
52.691	6.764
52.772	6.740
52.852	6.717
52.931	6.696
53.008	6.677
53.084	6.659
53.159	6.643
53.234	6.629
53.307	6.617
53.379	6.607
53.450	6.598
53.521	6.592
53.591	6.587
53.660	6.585
53.728	6.584
53.796	6.586
53.863	6.590
53.929	6.595
53.995	6.604
54.061	6.614
54.126	6.627
54.190	6.642
54.254	6.659
54.318	6.679
54.382	6.701
54.445	6.726
54.509	6.753
54.571	6.783
54.634	6.815
54.695	6.849
54.757	6.885
54.817	6.924
54.877	6.965
54.936	7.009
54.995	7.054
55.052	7.102
55.109	7.151
55.164	7.203
55.219	7.257
55.272	7.313
55.324	7.370
55.375	7.430
55.425	7.491
55.473	7.555
55.520	7.620
55.565	7.687
55.609	7.755
55.651	7.826
55.691	7.898
55.730	7.972
