X	Y
39.458	16.247
39.495	16.214
39.538	16.184
39.588	16.156
39.645	16.131
39.708	16.108
39.776	16.088
39.851	16.070
39.931	16.054
40.017	16.041
40.108	16.030
40.204	16.021
40.305	16.014
40.410	16.009
40.520	16.005
40.635	16.004
40.753	16.004
40.876	16.007
41.002	16.010
41.132	16.016
41.265	16.022
41.402	16.031
41.541	16.040
41.683	16.051
41.828	16.063
41.976	16.076
42.125	16.091
42.277	16.106
42.430	16.122
42.586	16.139
42.743	16.157
42.901	16.176
43.060	16.196
43.220	16.216
43.381	16.236
43.543	16.257
43.705	16.279
43.867	16.301
44.029	16.323
44.191	16.345
44.352	16.368
44.513	16.390
44.674	16.413
44.833	16.435
44.991	16.458
45.148	16.480
45.304	16.502
45.458	16.524
45.611	16.545
45.762	16.567
45.912	16.588
46.061	16.609
46.208	16.630
46.353	16.651
46.498	16.673
46.640	16.694
46.782	16.715
46.922	16.736
47.060	16.757
47.198	16.778
47.333	16.799
47.468	16.821
47.601	16.842
47.732	16.864
47.862	16.886
47.991	16.908
48.118	16.931
48.244	16.953
48.369	16.976
48.492	17.000
48.613	17.023
48.733	17.047
48.852	17.071
48.969	17.096
49.085	17.121
49.200	17.147
49.313	17.173
49.425	17.200
49.535	17.227
49.644	17.255
49.751	17.283
49.857	17.312
49.961	17.341
50.064	17.371
50.166	17.402
50.266	17.433
50.365	17.466
50.463	17.499
50.559	17.532
50.653	17.567
50.746	17.602
50.838	17.638
50.928	17.675
51.017	17.712
51.104	17.751
51.190	17.790
51.274	17.830
51.357	17.871
51.438	17.913
51.517	17.956
51.595	18.000
51.672	18.044
51.746	18.089
51.819	18.136
51.891	18.183
51.960	18.231
52.028	18.279
52.094	18.329
52.159	18.380
52.221	18.431
52.282	18.484
52.341	18.537
52.399	18.591
52.454	18.647
52.508	18.703
52.560	18.760
52.609	18.818
52.657	18.877
52.703	18.937
52.747	18.997
52.789	19.059
52.829	19.122
52.867	19.185
52.903	19.250
52.937	19.315
52.969	19.382
52.999	19.449
53.026	19.517
53.052	19.585
53.075	19.655
