X	Y
23.098	8.797
23.121	8.769
23.149	8.741
23.183	8.711
23.222	8.682
23.266	8.652
23.315	8.622
23.368	8.592
23.425	8.561
23.486	8.531
23.550	8.500
23.617	8.469
23.687	8.438
23.760	8.408
23.835	8.377
23.912	8.346
23.991	8.316
24.071	8.286
24.152	8.255
24.234	8.226
24.316	8.196
24.399	8.167
24.483	8.138
24.567	8.110
24.651	8.082
24.737	8.054
24.823	8.026
24.910	7.999
24.998	7.972
25.087	7.945
25.176	7.919
25.267	7.893
25.359	7.867
25.452	7.841
25.547	7.816
25.643	7.791
25.740	7.766
25.839	7.741
25.939	7.716
26.040	7.692
26.144	7.668
26.249	7.644
26.356	7.621
26.464	7.597
26.575	7.574
26.687	7.551
26.802	7.528
26.918	7.505
27.037	7.482
27.157	7.460
27.280	7.438
27.405	7.415
27.532	7.394
27.660	7.372
27.789	7.350
27.920	7.329
28.052	7.308
28.185	7.287
28.319	7.266
28.453	7.246
28.588	7.226
28.723	7.206
28.859	7.187
28.994	7.168
29.129	7.149
29.265	7.131
29.399	7.113
29.533	7.095
29.667	7.078
29.799	7.061
29.930	7.044
30.061	7.028
30.189	7.013
30.317	6.998
30.442	6.983
30.566	6.969
30.688	6.955
30.808	6.942
30.925	6.929
31.040	6.917
31.152	6.905
31.262	6.894
31.368	6.884
31.472	6.874
31.572	6.864
31.669	6.856
31.763	6.847
31.853	6.840
31.941	6.833
32.025	6.827
32.108	6.821
32.188	6.816
32.266	6.812
32.343	6.808
32.417	6.805
32.491	6.802
32.564	6.800
32.635	6.799
32.706	6.798
32.777	6.798
32.847	6.799
32.918	6.801
32.988	6.803
33.060	6.805
33.132	6.809
33.205	6.813
33.279	6.817
33.355	6.823
33.432	6.829
33.510	6.836
33.589	6.843
33.669	6.852
33.749	6.862
33.830	6.873
33.910	6.885
33.990	6.899
34.069	6.914
34.148	6.931
34.225	6.949
34.301	6.969
34.375	6.990
34.447	7.014
34.516	7.040
34.584	7.067
34.648	7.097
34.709	7.130
34.767	7.164
34.821	7.201
34.872	7.241
34.918	7.283
34.960	7.327
34.999	7.375
35.033	7.424
35.064	7.476
35.091	7.530
35.115	7.586
35.135	7.644
35.153	7.703
35.167	7.764
35.179	7.827
35.187	7.892
35.193	7.957
35.197	8.025
35.198	8.093
35.197	8.162
35.194	8.232
35.189	8.303
35.182	8.375
35.173	8.447
35.162	8.520
35.150	8.592
35.135	8.666
35.119	8.739
35.101	8.812
35.081	8.884
35.059	8.956
35.035	9.028
35.009	9.099
34.981	9.169
34.951	9.238
34.919	9.306
34.885	9.372
34.849	9.437
34.812	9.500
34.772	9.562
34.730	9.622
34.686	9.680
34.640	9.735
34.592	9.789
34.542	9.840
34.490	9.889
34.436	9.936
34.380	9.981
34.322	10.024
34.262	10.065
34.200	10.104
34.136	10.141
34.070	10.177
34.003	10.212
33.933	10.244
33.861	10.276
33.788	10.306
33.712	10.334
33.635	10.362
33.555	10.388
33.474	10.413
33.391	10.437
33.306	10.460
33.219	10.482
33.131	10.504
33.040	10.524
32.948	10.544
32.855	10.563
32.760	10.582
32.664	10.599
32.567	10.616
32.469	10.632
32.371	10.647
32.272	10.661
32.173	10.675
32.074	10.687
31.975	10.699
31.876	10.710
31.778	10.721
31.680	10.730
31.582	10.738
31.486	10.746
