X	Y
22.904	10.038
22.941	10.015
22.983	9.995
23.031	9.979
23.085	9.967
23.145	9.957
23.209	9.950
23.279	9.946
23.353	9.945
23.432	9.946
23.515	9.949
23.603	9.954
23.694	9.960
23.789	9.969
23.888	9.978
23.990	9.989
24.094	10.000
24.202	10.013
24.313	10.026
24.425	10.039
24.540	10.053
24.658	10.067
24.776	10.080
24.897	10.093
25.019	10.106
25.142	10.118
25.265	10.129
25.390	10.139
25.516	10.148
25.642	10.157
25.769	10.165
25.896	10.172
26.023	10.178
26.151	10.185
26.279	10.190
26.407	10.195
26.535	10.200
26.662	10.205
26.790	10.209
26.917	10.213
27.043	10.216
27.169	10.220
27.294	10.223
27.419	10.227
27.542	10.230
27.665	10.234
27.786	10.237
27.907	10.241
28.026	10.245
28.143	10.249
28.259	10.254
28.373	10.259
28.486	10.264
28.597	10.270
28.706	10.276
28.813	10.283
28.918	10.290
29.020	10.298
29.120	10.307
29.218	10.316
29.313	10.326
29.406	10.337
29.497	10.349
29.585	10.361
29.672	10.373
29.756	10.387
29.838	10.400
29.919	10.414
29.997	10.429
30.073	10.444
30.148	10.459
30.221	10.474
30.293	10.490
30.363	10.506
30.431	10.522
30.498	10.538
30.564	10.555
30.628	10.571
30.692	10.587
30.754	10.604
30.814	10.620
30.874	10.636
30.933	10.652
30.991	10.668
31.049	10.684
31.105	10.699
31.161	10.714
31.217	10.729
31.272	10.744
31.326	10.759
31.381	10.773
31.435	10.787
31.489	10.801
31.543	10.814
31.597	10.827
31.651	10.840
31.706	10.852
31.761	10.864
31.815	10.876
31.870	10.888
31.925	10.900
31.979	10.913
32.033	10.927
32.087	10.942
32.139	10.957
32.191	10.975
32.242	10.994
32.292	11.015
32.340	11.038
32.387	11.063
32.432	11.091
32.476	11.122
32.518	11.156
32.558	11.193
32.596	11.232
32.632	11.274
32.667	11.319
32.700	11.365
32.731	11.413
32.761	11.464
32.789	11.515
32.816	11.568
32.841	11.623
32.864	11.678
32.886	11.734
32.907	11.791
32.926	11.848
32.944	11.906
32.961	11.963
32.976	12.021
32.989	12.079
33.000	12.136
33.010	12.193
33.017	12.250
33.021	12.307
33.023	12.363
33.022	12.419
33.018	12.474
33.011	12.528
33.001	12.582
32.987	12.635
32.969	12.687
32.948	12.738
32.922	12.788
32.892	12.837
32.859	12.885
32.821	12.932
32.781	12.978
32.736	13.024
32.688	13.068
32.638	13.111
32.584	13.154
32.527	13.196
32.467	13.237
32.405	13.277
32.340	13.317
32.273	13.356
32.204	13.394
32.132	13.432
32.059	13.469
31.984	13.505
31.907	13.541
31.829	13.577
31.749	13.612
31.668	13.646
31.586	13.680
31.502	13.714
31.418	13.747
31.332	13.779
31.245	13.812
31.157	13.844
31.068	13.875
30.979	13.907
30.888	13.938
30.797	13.968
30.705	13.999
30.612	14.029
30.519	14.058
30.425	14.088
30.331	14.117
30.237	14.146
30.142	14.175
30.046	14.204
29.951	14.232
29.855	14.261
29.759	14.289
29.663	14.317
29.567	14.345
29.472	14.373
29.376	14.401
29.280	14.429
29.185	14.456
29.089	14.483
28.994	14.510
28.898	14.536
28.803	14.562
28.708	14.587
28.613	14.612
28.518	14.636
28.423	14.659
28.328	14.681
28.233	14.702
28.138	14.721
28.043	14.740
27.948	14.758
27.853	14.774
27.758	14.788
27.663	14.801
27.568	14.813
27.473	14.823
27.378	14.831
27.282	14.838
27.187	14.842
27.092	14.845
26.996	14.845
26.901	14.843
26.805	14.839
26.709	14.833
26.614	14.825
26.518	14.815
26.423	14.802
26.329	14.788
26.235	14.772
26.141	14.753
26.048	14.733
25.956	14.711
25.865	14.688
25.774	14.662
25.685	14.635
25.597	14.606
25.510	14.575
25.425	14.543
25.341	14.510
25.259	14.475
25.178	14.438
25.099	14.400
25.022	14.361
24.947	14.320
24.874	14.278
24.804	14.235
24.735	14.191
24.669	14.145
24.605	14.099
24.543	14.051
24.484	14.002
24.426	13.952
24.370	13.900
24.316	13.848
24.263	13.794
24.212	13.739
24.162	13.683
24.113	13.626
24.065	13.567
24.019	13.507
23.973	13.446
23.927	13.383
23.883	13.320
23.838	13.255
23.794	13.189
23.751	13.121
23.707	13.052
23.664	12.982
23.620	12.910
23.576	12.837
23.532	12.764
23.488	12.689
23.445	12.613
23.401	12.537
23.358	12.460
23.316	12.384
23.274	12.307
23.233	12.230
23.193	12.153
23.154	12.077
23.117	12.002
23.080	11.927
23.045	11.853
23.011	11.780
22.979	11.709
22.949	11.639
22.920	11.571
22.894	11.504
22.869	11.439
22.847	11.377
22.827	11.317
22.809	11.259
22.794	11.203
22.781	11.150
22.770	11.099
22.761	11.051
22.754	11.004
22.749	10.959
22.746	10.916
22.744	10.875
22.743	10.836
22.744	10.798
22.747	10.762
22.750	10.727
22.755	10.694
22.760	10.662
22.765	10.631
22.771	10.602
22.776	10.574
22.781	10.548
22.785	10.523
22.788	10.499
22.790	10.477
22.790	10.455
22.790	10.433
22.789	10.410
22.789	10.386
22.788	10.359
22.788	10.330
22.789	10.299
22.792	10.265
22.797	10.230
22.804	10.195
22.815	10.160
22.830	10.126
22.849	10.094
22.874	10.064
22.904	10.038
