X,Y
29.153,13.747
29.173,13.740
29.196,13.733
29.221,13.728
29.249,13.724
29.279,13.720
29.312,13.718
29.347,13.716
29.384,13.716
29.423,13.716
29.464,13.716
29.507,13.718
29.552,13.720
29.599,13.723
29.648,13.727
29.698,13.731
29.750,13.735
29.803,13.740
29.859,13.746
29.915,13.752
29.973,13.759
30.032,13.765
30.093,13.773
30.154,13.780
30.217,13.788
30.281,13.796
30.345,13.804
30.411,13.812
30.478,13.820
30.545,13.829
30.613,13.837
30.681,13.846
30.751,13.854
30.820,13.862
30.890,13.871
30.961,13.879
31.032,13.886
31.103,13.894
31.174,13.902
31.245,13.909
31.316,13.915
31.388,13.922
31.459,13.928
31.530,13.933
31.601,13.939
31.672,13.944
31.744,13.949
31.815,13.953
31.886,13.957
31.957,13.961
32.028,13.965
32.098,13.968
32.169,13.971
32.240,13.974
32.311,13.977
32.381,13.980
32.452,13.982
32.522,13.984
32.592,13.986
32.662,13.988
32.732,13.989
32.802,13.991
32.872,13.992
32.942,13.993
33.011,13.994
33.080,13.995
33.150,13.996
33.219,13.997
33.288,13.997
33.356,13.998
33.425,13.998
33.493,13.999
33.562,13.999
33.630,14.000
33.697,14.000
33.765,14.000
33.833,14.001
33.900,14.001
33.967,14.002
34.034,14.002
34.100,14.003
34.167,14.003
34.233,14.004
34.299,14.005
34.364,14.005
34.430,14.006
34.495,14.007
34.560,14.008
34.625,14.010
34.689,14.011
34.753,14.012
34.817,14.014
34.880,14.016
34.944,14.018
35.007,14.020
35.070,14.022
35.132,14.025
35.194,14.027
35.257,14.030
35.318,14.033
35.380,14.036
35.442,14.040
35.503,14.043
35.564,14.047
35.625,14.050
35.686,14.054
35.747,14.058
35.807,14.063
35.868,14.067
35.928,14.071
35.988,14.076
36.048,14.081
36.108,14.086
36.168,14.091
36.228,14.097
36.288,14.102
36.347,14.108
36.407,14.114
36.466,14.120
36.526,14.126
36.585,14.132
36.645,14.139
36.704,14.146
36.764,14.152
36.823,14.159
36.883,14.167
36.942,14.174
37.002,14.181
37.062,14.189
37.121,14.197
37.181,14.205
37.241,14.213
37.301,14.222
37.360,14.230
37.420,14.239
37.481,14.248
37.541,14.257
37.601,14.266
37.662,14.275
37.722,14.285
37.782,14.295
37.843,14.305
37.903,14.315
37.963,14.325
38.023,14.335
38.083,14.346
38.143,14.357
38.202,14.368
38.262,14.379
38.321,14.391
38.379,14.403
38.438,14.415
38.496,14.427
38.554,14.439
38.611,14.452
38.668,14.465
38.725,14.478
38.781,14.491
38.836,14.505
38.891,14.519
38.946,14.533
39.000,14.547
39.053,14.562
39.105,14.576
39.157,14.591
39.209,14.607
39.259,14.622
39.309,14.638
39.358,14.654
39.406,14.671
39.454,14.687
39.500,14.704
39.546,14.722
39.591,14.739
39.635,14.757
39.678,14.775
39.720,14.794
39.760,14.812
39.800,14.831
39.839,14.851
39.878,14.870
39.915,14.890
39.952,14.910
39.988,14.931
40.023,14.952
40.058,14.973
40.092,14.994
40.126,15.016
40.160,15.038
40.193,15.060
40.226,15.083
40.258,15.106
40.291,15.130
40.323,15.153
40.355,15.177
40.388,15.201
40.420,15.226
40.452,15.251
40.485,15.276
40.518,15.302
40.551,15.328
40.584,15.354
40.618,15.380
40.652,15.407
40.687,15.435
40.722,15.462
40.758,15.490
40.795,15.518
40.832,15.547
40.870,15.576
40.908,15.605
40.947,15.634
40.986,15.664
41.026,15.694
41.066,15.725
41.107,15.756
41.148,15.787
41.189,15.818
41.230,15.850
41.271,15.881
41.312,15.914
41.353,15.946
41.395,15.979
41.436,16.012
41.477,16.045
41.518,16.078
41.558,16.112
41.598,16.146
41.638,16.180
41.678,16.214
41.717,16.249
41.755,16.284
41.793,16.319
41.830,16.354
41.867,16.389
41.903,16.425
41.938,16.461
41.973,16.497
42.006,16.533
42.039,16.569
42.070,16.606
42.101,16.643
42.130,16.679
42.159,16.716
42.186,16.754
42.212,16.791
42.237,16.828
42.260,16.866
42.283,16.904
42.304,16.942
42.325,16.980
42.344,17.018
42.361,17.057
42.378,17.096
42.394,17.135
42.409,17.174
42.422,17.214
42.434,17.253
42.446,17.293
42.456,17.333
42.465,17.374
42.473,17.415
42.480,17.456
42.486,17.497
42.491,17.539
42.495,17.580
42.498,17.623
42.500,17.665
42.501,17.708
42.501,17.751
42.500,17.794
42.498,17.838
42.495,17.882
42.491,17.927
42.486,17.972
42.480,18.017
42.473,18.063
42.466,18.108
42.457,18.155
42.448,18.201
42.437,18.247
42.426,18.294
42.414,18.341
42.401,18.388
42.387,18.435
42.372,18.481
42.357,18.528
42.341,18.575
42.324,18.622
42.306,18.668
42.287,18.714
42.268,18.760
42.248,18.806
42.227,18.852
42.205,18.897
42.183,18.942
42.159,18.986
42.136,19.030
42.111,19.073
42.086,19.116
42.060,19.158
42.034,19.200
42.006,19.241
41.979,19.281
41.950,19.321
41.921,19.360
41.891,19.398
41.861,19.435
41.830,19.472
41.799,19.507
41.767,19.542
41.734,19.575
41.701,19.608
41.668,19.640
41.634,19.671
41.600,19.702
41.566,19.732
41.531,19.761
41.496,19.790
41.462,19.818
41.427,19.846
41.392,19.874
41.357,19.901
41.322,19.929
41.288,19.956
41.254,19.982
41.220,20.009
41.186,20.036
41.153,20.063
41.120,20.090
41.087,20.117
41.055,20.145
41.024,20.173
40.994,20.201
40.964,20.229
40.934,20.258
40.906,20.288
40.879,20.318
40.852,20.349
40.826,20.380
40.802,20.412
40.778,20.445
40.756,20.479
40.735,20.514
40.714,20.550
40.695,20.586
40.676,20.622
40.658,20.660
40.641,20.697
40.625,20.736
40.609,20.774
40.594,20.812
40.579,20.851
40.565,20.890
40.550,20.929
40.537,20.968
40.523,21.006
40.509,21.045
40.496,21.083
40.482,21.121
40.469,21.158
40.455,21.195
40.441,21.231
40.427,21.267
40.412,21.302
40.397,21.336
40.381,21.369
40.365,21.401
40.348,21.433
40.331,21.463
40.313,21.492
40.294,21.520
40.274,21.546
40.254,21.572
40.233,21.597
40.211,21.620
40.189,21.644
40.166,21.666
40.143,21.688
40.120,21.709
40.097,21.730
40.073,21.751
40.050,21.772
40.026,21.792
40.003,21.813
39.979,21.834
39.956,21.855
39.933,21.876
39.910,21.898
39.888,21.920
39.866,21.943
39.845,21.966
39.824,21.990
39.804,22.015
39.785,22.042
39.766,22.069
39.748,22.097
39.731,22.125
39.714,22.155
39.698,22.185
39.681,22.215
39.666,22.246
39.650,22.278
39.635,22.309
39.619,22.341
39.604,22.373
39.589,22.405
39.573,22.437
39.558,22.469
39.542,22.500
39.525,22.531
39.509,22.562
39.492,22.592
39.474,22.622
39.456,22.651
39.437,22.679
39.418,22.707
39.398,22.733
39.376,22.759
39.354,22.783
39.331,22.806
39.308,22.828
39.283,22.850
39.257,22.870
39.231,22.889
39.204,22.908
39.176,22.925
39.148,22.942
39.119,22.959
39.089,22.974
39.059,22.989
39.029,23.003
38.998,23.017
38.966,23.031
38.934,23.044
38.902,23.056
38.870,23.069
38.837,23.081
38.804,23.093
38.771,23.104
38.737,23.116
38.704,23.127
38.671,23.139
38.637,23.150
38.603,23.162
38.570,23.173
38.536,23.185
38.503,23.197
38.469,23.208
38.435,23.220
38.400,23.232
38.366,23.243
38.331,23.255
38.296,23.267
38.261,23.278
38.225,23.290
38.189,23.301
38.153,23.313
38.116,23.324
38.078,23.335
38.040,23.346
38.001,23.357
37.962,23.368
37.922,23.378
37.882,23.389
37.841,23.399
37.799,23.409
37.756,23.419
37.713,23.428
37.668,23.438
37.623,23.447
37.577,23.456
37.530,23.464
37.482,23.473
37.433,23.481
37.383,23.489
37.333,23.496
37.282,23.504
37.230,23.511
37.178,23.518
37.125,23.525
37.072,23.532
37.019,23.539
36.966,23.546
36.912,23.553
36.858,23.560
36.805,23.567
36.751,23.574
36.698,23.581
36.645,23.589
36.592,23.597
36.540,23.604
36.488,23.612
36.437,23.621
36.386,23.629
36.336,23.638
36.287,23.647
36.239,23.657
36.192,23.667
36.146,23.677
36.101,23.688
36.057,23.700
36.014,23.712
35.973,23.724
35.933,23.737
35.895,23.750
35.858,23.765
35.823,23.779
35.789,23.795
35.758,23.811
35.728,23.828
35.700,23.845
35.673,23.863
35.647,23.881
35.622,23.900
35.599,23.919
35.576,23.938
35.554,23.957
35.532,23.977
35.511,23.996
35.490,24.015
35.469,24.035
35.448,24.054
35.426,24.073
35.405,24.091
35.383,24.109
35.360,24.127
35.336,24.144
35.312,24.161
35.286,24.177
35.260,24.192
35.232,24.207
35.202,24.220
35.171,24.233
35.140,24.245
35.107,24.257
35.073,24.268
35.038,24.278
35.002,24.287
34.966,24.296
34.929,24.304
34.891,24.311
34.853,24.318
34.814,24.324
34.775,24.330
34.736,24.335
34.696,24.340
34.657,24.344
34.617,24.347
34.578,24.351
34.538,24.353
34.499,24.355
34.460,24.357
34.422,24.359
34.383,24.360
34.346,24.360
34.309,24.360
34.273,24.360
34.237,24.360
34.203,24.359
34.169,24.359
34.135,24.358
34.103,24.356
34.070,24.355
34.038,24.354
34.007,24.353
33.976,24.352
33.944,24.351
33.913,24.351
33.883,24.351
33.852,24.351
33.821,24.351
33.789,24.352
33.758,24.354
33.726,24.356
33.694,24.358
33.662,24.362
33.629,24.366
33.595,24.371
33.561,24.377
33.526,24.384
33.491,24.391
33.454,24.400
33.417,24.410
33.378,24.420
33.339,24.432
33.300,24.444
33.260,24.456
33.219,24.470
33.178,24.483
33.136,24.497
33.094,24.511
33.051,24.525
33.008,24.539
32.965,24.553
32.922,24.567
32.879,24.581
32.835,24.594
32.792,24.606
32.749,24.618
32.705,24.630
32.662,24.640
32.619,24.650
32.576,24.659
32.534,24.666
32.492,24.673
32.450,24.678
32.409,24.682
32.369,24.684
32.329,24.685
32.289,24.684
32.250,24.681
32.212,24.677
32.175,24.670
32.139,24.662
32.103,24.652
32.068,24.639
32.034,24.626
32.001,24.610
31.968,24.593
31.935,24.574
31.904,24.553
31.872,24.531
31.842,24.508
31.811,24.483
31.781,24.457
31.752,24.430
31.723,24.401
31.694,24.371
31.666,24.340
31.637,24.309
31.610,24.276
31.582,24.242
31.554,24.207
31.527,24.171
31.499,24.135
31.472,24.098
31.445,24.060
31.418,24.022
31.391,23.983
31.363,23.943
31.336,23.903
31.309,23.863
31.281,23.822
31.253,23.781
31.225,23.740
31.197,23.698
31.169,23.656
31.141,23.614
31.113,23.571
31.085,23.529
31.057,23.486
31.028,23.443
31.000,23.399
30.972,23.356
30.944,23.312
30.916,23.268
30.888,23.224
30.860,23.180
30.832,23.135
30.804,23.091
30.777,23.046
30.750,23.002
30.722,22.957
30.695,22.912
30.669,22.867
30.642,22.823
30.616,22.778
30.590,22.733
30.564,22.688
30.538,22.643
30.513,22.599
30.488,22.554
30.464,22.509
30.440,22.465
30.416,22.420
30.392,22.376
30.369,22.332
30.347,22.288
30.325,22.244
30.303,22.200
30.282,22.156
30.261,22.113
30.241,22.069
30.221,22.026
30.201,21.983
30.182,21.940
30.163,21.897
30.144,21.854
30.126,21.812
30.108,21.769
30.090,21.726
30.072,21.684
30.055,21.641
30.037,21.599
30.020,21.556
30.003,21.514
29.986,21.471
29.969,21.428
29.953,21.386
29.936,21.343
29.919,21.300
29.903,21.258
29.886,21.215
29.869,21.172
29.853,21.128
29.836,21.085
29.819,21.042
29.802,20.998
29.784,20.955
29.767,20.911
29.749,20.867
29.732,20.823
29.714,20.778
29.695,20.734
29.677,20.689
29.658,20.644
29.639,20.599
29.620,20.553
29.601,20.507
29.581,20.462
29.562,20.415
29.543,20.369
29.524,20.323
29.504,20.276
29.485,20.229
29.466,20.182
29.448,20.135
29.429,20.087
29.411,20.039
29.393,19.991
29.375,19.943
29.358,19.895
29.341,19.847
29.325,19.798
29.309,19.749
29.294,19.700
29.279,19.651
29.265,19.601
29.251,19.552
29.239,19.502
29.226,19.452
29.215,19.402
29.204,19.352
29.195,19.301
29.186,19.251
29.178,19.200
29.171,19.149
29.164,19.098
29.159,19.047
29.155,18.995
29.152,18.944
29.150,18.892
29.150,18.840
29.150,18.788
29.151,18.736
29.153,18.684
29.155,18.632
29.159,18.580
29.163,18.529
29.167,18.477
29.172,18.426
29.178,18.374
29.184,18.324
29.190,18.273
29.197,18.223
29.204,18.173
29.211,18.123
29.218,18.074
29.225,18.025
29.232,17.977
29.239,17.930
29.245,17.883
29.252,17.836
29.258,17.791
29.263,17.746
29.269,17.701
29.274,17.658
29.278,17.615
29.281,17.573
29.284,17.532
29.287,17.492
29.288,17.453
29.288,17.415
29.288,17.378
29.286,17.342
29.284,17.307
29.280,17.273
29.275,17.241
29.270,17.209
29.263,17.178
29.256,17.147
29.247,17.118
29.238,17.089
29.228,17.061
29.218,17.034
29.207,17.007
29.195,16.980
29.183,16.954
29.170,16.928
29.157,16.902
29.144,16.877
29.130,16.851
29.116,16.826
29.102,16.800
29.087,16.775
29.072,16.749
29.058,16.723
29.043,16.697
29.028,16.671
29.013,16.644
28.999,16.617
28.984,16.590
28.970,16.563
28.955,16.536
28.941,16.508
28.927,16.480
28.913,16.453
28.900,16.425
28.886,16.397
28.873,16.370
28.861,16.342
28.848,16.315
28.836,16.287
28.825,16.260
28.814,16.233
28.803,16.206
28.793,16.179
28.783,16.153
28.774,16.126
28.765,16.100
28.757,16.075
28.750,16.049
28.743,16.024
28.737,15.999
28.732,15.973
28.727,15.948
28.722,15.923
28.719,15.898
28.716,15.872
28.713,15.847
28.711,15.821
28.710,15.794
28.710,15.768
28.710,15.741
28.711,15.713
28.713,15.685
28.716,15.656
