X,Y
18.154,8.613
18.160,8.610
18.168,8.609
18.177,8.609
18.188,8.610
18.199,8.613
18.212,8.617
18.225,8.622
18.240,8.628
18.255,8.635
18.271,8.642
18.288,8.650
18.306,8.659
18.324,8.668
18.343,8.677
18.362,8.686
18.382,8.695
18.402,8.705
18.422,8.714
18.443,8.723
18.463,8.731
18.484,8.739
18.505,8.746
18.526,8.753
18.546,8.758
18.567,8.763
18.587,8.766
18.607,8.769
18.626,8.770
18.645,8.770
18.664,8.769
18.683,8.766
18.701,8.762
18.718,8.758
18.736,8.752
18.753,8.746
18.770,8.738
18.786,8.730
18.803,8.721
18.819,8.712
18.835,8.702
18.851,8.691
18.866,8.680
18.882,8.668
18.897,8.656
18.912,8.644
18.927,8.632
18.942,8.619
18.957,8.606
18.972,8.594
18.987,8.581
19.001,8.569
19.016,8.556
19.031,8.544
19.046,8.532
19.060,8.520
19.075,8.509
19.090,8.498
19.105,8.488
19.120,8.478
19.135,8.469
19.150,8.460
19.165,8.451
19.181,8.443
19.196,8.435
19.212,8.427
19.227,8.420
19.243,8.413
19.258,8.407
19.274,8.400
19.290,8.394
19.306,8.389
19.322,8.384
19.338,8.378
19.354,8.374
19.370,8.369
19.386,8.365
19.403,8.361
19.419,8.357
19.436,8.354
19.452,8.350
19.469,8.347
19.486,8.344
19.503,8.341
19.520,8.339
19.537,8.336
19.554,8.334
19.572,8.332
19.589,8.330
19.607,8.328
19.625,8.326
19.643,8.324
19.661,8.322
19.680,8.320
19.698,8.318
19.717,8.316
19.736,8.314
19.755,8.312
19.775,8.310
19.794,8.308
19.814,8.306
19.834,8.304
19.855,8.302
19.876,8.299
19.897,8.297
19.918,8.294
19.940,8.291
19.961,8.288
19.984,8.284
20.006,8.281
20.029,8.277
20.052,8.273
20.076,8.269
20.100,8.264
20.124,8.259
20.149,8.254
20.174,8.248
20.200,8.242
20.225,8.236
20.251,8.230
20.278,8.224
20.305,8.217
20.332,8.210
20.359,8.203
20.386,8.196
20.414,8.188
20.442,8.180
20.471,8.172
20.499,8.164
20.528,8.156
20.557,8.148
20.586,8.139
20.616,8.130
20.645,8.122
20.675,8.113
20.705,8.104
20.735,8.095
20.766,8.086
20.796,8.076
20.827,8.067
20.858,8.058
20.889,8.048
20.920,8.039
20.951,8.029
20.982,8.020
21.013,8.010
21.045,8.001
21.076,7.991
21.108,7.982
21.139,7.972
21.171,7.963
21.203,7.953
21.234,7.944
21.266,7.934
21.298,7.925
21.330,7.916
21.361,7.907
21.393,7.898
21.425,7.889
21.457,7.880
21.488,7.871
21.520,7.863
21.551,7.854
21.583,7.846
21.614,7.838
21.646,7.829
21.677,7.821
21.708,7.813
21.740,7.806
21.771,7.798
21.802,7.790
21.834,7.783
21.865,7.775
21.896,7.768
21.927,7.760
21.959,7.753
21.990,7.746
22.021,7.739
22.052,7.732
22.083,7.725
22.115,7.718
22.146,7.711
22.177,7.704
22.209,7.697
22.240,7.690
22.271,7.683
22.302,7.677
22.334,7.670
22.365,7.663
22.397,7.657
22.428,7.650
22.460,7.643
22.491,7.636
22.523,7.630
22.555,7.623
22.586,7.616
22.618,7.610
22.650,7.603
22.682,7.596
22.714,7.590
22.746,7.583
22.778,7.576
22.810,7.569
22.842,7.562
22.874,7.555
22.907,7.548
22.939,7.541
22.972,7.534
23.005,7.527
23.037,7.520
23.070,7.513
23.103,7.506
23.136,7.498
23.169,7.491
23.202,7.483
23.236,7.476
23.269,7.468
23.302,7.461
23.336,7.453
23.369,7.445
23.403,7.438
23.436,7.430
23.470,7.422
23.503,7.414
23.537,7.406
23.570,7.398
23.604,7.390
23.637,7.382
23.671,7.375
23.704,7.367
23.738,7.359
23.771,7.351
23.804,7.343
23.838,7.335
23.871,7.327
23.904,7.319
23.937,7.311
23.970,7.303
24.003,7.295
24.036,7.287
24.068,7.279
24.101,7.271
24.133,7.263
24.166,7.256
24.198,7.248
24.230,7.240
24.262,7.232
24.294,7.225
24.325,7.217
24.357,7.209
24.388,7.202
24.419,7.194
24.450,7.187
24.481,7.179
24.512,7.172
24.542,7.165
24.572,7.158
24.602,7.150
24.632,7.143
24.661,7.136
24.690,7.129
24.719,7.123
24.748,7.116
24.777,7.109
24.805,7.103
24.833,7.096
24.861,7.090
24.889,7.083
24.916,7.077
24.943,7.071
24.971,7.064
24.998,7.058
25.024,7.052
25.051,7.046
25.078,7.040
25.104,7.035
25.131,7.029
25.157,7.023
25.184,7.017
25.210,7.012
25.236,7.006
25.262,7.001
25.288,6.995
25.315,6.990
25.341,6.984
25.367,6.979
25.393,6.974
25.419,6.969
25.445,6.963
25.472,6.958
25.498,6.953
25.524,6.948
25.551,6.943
25.577,6.938
25.604,6.933
25.631,6.928
25.658,6.923
25.685,6.919
25.712,6.914
25.740,6.909
25.767,6.904
25.795,6.899
25.823,6.895
25.851,6.890
25.879,6.885
25.908,6.881
25.937,6.876
25.965,6.871
25.995,6.867
26.024,6.863
26.053,6.858
26.083,6.854
26.112,6.850
26.142,6.846
26.171,6.842
26.201,6.838
26.231,6.834
26.261,6.830
26.291,6.827
26.321,6.823
26.350,6.820
26.380,6.817
26.410,6.814
26.440,6.812
26.469,6.809
26.499,6.807
26.528,6.805
26.558,6.803
26.587,6.801
26.616,6.800
26.645,6.799
26.674,6.798
26.702,6.797
26.731,6.797
26.759,6.797
26.787,6.797
26.814,6.798
26.842,6.798
26.869,6.799
26.896,6.801
26.922,6.803
26.949,6.805
26.975,6.807
27.000,6.810
27.025,6.813
27.050,6.816
27.075,6.820
27.099,6.825
27.123,6.829
27.146,6.834
27.169,6.840
27.191,6.845
27.214,6.851
27.235,6.858
27.257,6.864
27.278,6.871
27.299,6.878
27.320,6.885
27.340,6.893
27.361,6.901
27.380,6.908
27.400,6.916
27.420,6.925
27.439,6.933
27.458,6.941
27.477,6.950
27.496,6.958
27.515,6.967
27.533,6.975
27.552,6.984
27.570,6.993
27.588,7.001
27.607,7.010
27.625,7.018
27.643,7.027
27.661,7.035
27.679,7.043
27.697,7.051
27.716,7.059
27.734,7.067
27.752,7.074
27.770,7.081
27.788,7.089
27.807,7.096
27.825,7.102
27.843,7.109
27.861,7.116
27.880,7.122
27.898,7.128
27.916,7.134
27.933,7.140
27.951,7.146
27.969,7.152
27.986,7.157
28.003,7.163
28.020,7.168
28.037,7.173
28.054,7.179
28.070,7.184
28.086,7.189
28.102,7.194
28.118,7.199
28.133,7.204
28.148,7.208
28.162,7.213
28.176,7.218
28.190,7.223
28.203,7.227
28.216,7.232
28.229,7.237
28.241,7.242
28.252,7.247
28.263,7.252
28.274,7.257
28.284,7.263
28.294,7.268
28.303,7.275
28.312,7.281
28.320,7.288
28.327,7.295
28.334,7.303
28.340,7.311
28.346,7.320
28.351,7.329
28.356,7.339
28.360,7.350
28.363,7.361
28.366,7.373
28.368,7.386
28.369,7.399
28.370,7.413
28.371,7.427
28.371,7.442
28.370,7.458
28.370,7.474
28.368,7.490
28.367,7.508
28.364,7.525
28.362,7.544
28.359,7.563
28.356,7.582
28.352,7.602
28.349,7.622
28.345,7.643
28.340,7.664
28.336,7.686
28.331,7.708
28.326,7.731
28.321,7.754
28.316,7.778
28.310,7.802
28.305,7.826
28.299,7.851
28.294,7.876
28.288,7.902
28.282,7.928
28.276,7.954
28.270,7.981
