X	Y
48.468	47.903
48.529	47.831
48.605	47.761
48.697	47.694
48.803	47.630
48.921	47.568
49.052	47.509
49.195	47.451
49.348	47.396
49.510	47.342
49.681	47.289
49.860	47.238
50.046	47.188
50.238	47.139
50.435	47.091
50.636	47.043
50.841	46.995
51.048	46.947
51.257	46.900
51.466	46.851
51.676	46.803
51.885	46.754
52.095	46.706
52.304	46.658
52.514	46.610
52.724	46.564
52.935	46.518
53.146	46.474
53.357	46.432
53.569	46.392
53.782	46.354
53.995	46.319
54.210	46.286
54.425	46.257
54.641	46.231
54.858	46.209
55.076	46.191
55.296	46.177
55.516	46.167
55.738	46.162
55.962	46.163
56.187	46.168
56.413	46.180
56.641	46.197
56.871	46.220
57.103	46.250
57.336	46.285
57.570	46.327
57.805	46.373
58.040	46.425
58.276	46.481
58.513	46.542
58.749	46.608
58.984	46.677
59.219	46.750
59.453	46.826
59.686	46.906
59.918	46.989
60.148	47.074
60.376	47.161
60.602	47.251
60.826	47.342
61.046	47.435
61.264	47.529
61.479	47.624
61.690	47.719
61.898	47.816
62.102	47.912
62.301	48.008
62.496	48.103
62.687	48.198
62.872	48.292
63.053	48.385
63.229	48.477
63.401	48.569
63.568	48.661
63.732	48.754
63.893	48.847
64.050	48.940
64.205	49.035
64.356	49.131
64.506	49.229
64.653	49.329
64.798	49.431
64.942	49.536
65.084	49.644
65.226	49.754
65.366	49.868
65.506	49.986
65.646	50.108
65.786	50.233
65.926	50.364
66.067	50.499
66.208	50.639
66.349	50.783
66.490	50.932
66.631	51.084
66.770	51.240
66.909	51.400
67.045	51.562
67.180	51.728
67.313	51.896
67.442	52.066
67.569	52.238
67.693	52.412
67.813	52.588
67.929	52.765
68.041	52.942
68.149	53.121
68.251	53.299
68.348	53.478
68.440	53.657
68.525	53.835
68.605	54.013
68.677	54.190
68.743	54.365
68.802	54.540
68.854	54.712
68.900	54.883
68.940	55.053
68.974	55.220
69.002	55.386
69.025	55.549
69.044	55.710
69.058	55.869
69.067	56.025
69.073	56.179
69.074	56.330
69.073	56.478
69.068	56.623
69.061	56.766
69.050	56.905
69.038	57.041
69.024	57.173
69.008	57.302
68.990	57.428
68.970	57.550
68.949	57.669
68.926	57.785
68.902	57.898
68.875	58.007
68.848	58.114
68.819	58.217
68.788	58.318
68.757	58.416
68.723	58.511
68.689	58.603
68.653	58.693
