X	Y
3978.000	2184.000
3980.493	2179.641
3983.310	2175.207
3986.442	2170.700
3989.880	2166.126
3993.616	2161.487
3997.640	2156.786
4001.943	2152.029
4006.518	2147.217
4011.354	2142.355
4016.444	2137.447
4021.777	2132.495
4027.346	2127.504
4033.142	2122.478
4039.156	2117.419
4045.378	2112.332
4051.801	2107.219
4058.415	2102.085
4065.211	2096.934
4072.181	2091.769
4079.315	2086.593
4086.605	2081.410
4094.043	2076.223
4101.619	2071.038
4109.323	2065.855
4117.149	2060.681
4125.086	2055.518
4133.126	2050.370
4141.260	2045.240
4149.479	2040.131
4157.775	2035.049
4166.138	2029.996
4174.560	2024.975
4183.031	2019.991
4191.543	2015.048
4200.088	2010.147
4208.656	2005.294
4217.238	2000.492
4225.826	1995.745
4234.411	1991.055
4242.983	1986.428
4251.535	1981.865
4260.057	1977.372
4268.541	1972.951
4276.977	1968.606
4285.356	1964.342
4293.671	1960.160
4301.917	1956.062
4310.099	1952.045
4318.218	1948.106
4326.279	1944.240
4334.285	1940.446
4342.238	1936.719
4350.143	1933.057
4358.003	1929.456
4365.821	1925.914
4373.600	1922.426
4381.344	1918.989
4389.056	1915.601
4396.740	1912.258
4404.398	1908.957
4412.034	1905.694
4419.652	1902.467
4427.254	1899.271
4434.845	1896.105
4442.427	1892.964
4450.003	1889.845
4457.578	1886.746
4465.153	1883.662
4472.734	1880.591
4480.323	1877.530
4487.923	1874.474
4495.537	1871.422
4503.170	1868.369
4510.824	1865.312
4518.502	1862.249
4526.209	1859.176
4533.947	1856.089
4541.720	1852.985
4549.531	1849.862
4557.383	1846.716
4565.279	1843.543
4573.224	1840.341
4581.220	1837.106
4589.271	1833.836
4597.379	1830.525
4605.549	1827.173
4613.784	1823.774
4622.086	1820.327
4630.460	1816.827
4638.908	1813.272
4647.435	1809.658
4656.042	1805.982
4664.733	1802.242
4673.507	1798.438
4682.361	1794.574
4691.292	1790.651
4700.300	1786.671
4709.380	1782.636
4718.532	1778.549
4727.753	1774.412
4737.041	1770.226
4746.393	1765.994
4755.807	1761.718
4765.281	1757.400
4774.812	1753.042
4784.400	1748.646
4794.041	1744.214
4803.732	1739.750
4813.473	1735.253
4823.260	1730.728
4833.092	1726.175
4842.965	1721.597
4852.879	1716.996
4862.830	1712.374
4872.816	1707.733
4882.836	1703.076
4892.887	1698.404
4902.966	1693.720
4913.072	1689.026
4923.202	1684.323
4933.354	1679.614
4943.525	1674.901
4953.714	1670.187
4963.919	1665.473
4974.136	1660.760
4984.364	1656.053
4994.602	1651.352
5004.845	1646.660
5015.092	1641.978
5025.341	1637.309
5035.590	1632.656
5045.836	1628.019
5056.077	1623.402
5066.312	1618.806
5076.536	1614.234
5086.750	1609.687
5096.949	1605.168
5107.133	1600.678
5117.298	1596.221
5127.442	1591.797
5137.564	1587.410
5147.662	1583.061
5157.731	1578.752
5167.771	1574.486
5177.780	1570.264
5187.755	1566.089
5197.694	1561.963
5207.594	1557.887
5217.454	1553.865
5227.271	1549.897
5237.042	1545.987
5246.768	1542.136
5256.448	1538.342
5266.084	1534.608
5275.675	1530.931
5285.222	1527.314
5294.726	1523.755
5304.186	1520.256
5313.604	1516.816
5322.980	1513.435
5332.315	1510.113
5341.608	1506.850
5350.861	1503.648
5360.074	1500.505
5369.248	1497.422
5378.382	1494.398
5387.478	1491.435
5396.536	1488.532
5405.556	1485.689
5414.539	1482.907
5423.486	1480.185
5432.396	1477.523
5441.271	1474.923
5450.110	1472.383
5458.916	1469.904
5467.687	1467.487
5476.423	1465.130
5485.127	1462.835
5493.799	1460.601
5502.438	1458.429
5511.045	1456.318
5519.621	1454.270
