X	Y
4012.000	2470.000
4015.950	2467.282
4020.505	2464.869
4025.646	2462.750
4031.354	2460.916
4037.610	2459.357
4044.396	2458.064
4051.691	2457.028
4059.478	2456.239
4067.738	2455.687
4076.450	2455.364
4085.597	2455.258
4095.160	2455.362
4105.120	2455.665
4115.457	2456.157
4126.152	2456.831
4137.188	2457.675
4148.544	2458.680
4160.203	2459.837
4172.144	2461.136
4184.350	2462.569
4196.800	2464.124
4209.477	2465.793
4222.360	2467.567
4235.433	2469.435
4248.674	2471.388
4262.065	2473.417
4275.589	2475.512
4289.225	2477.664
4302.954	2479.863
4316.757	2482.100
4330.617	2484.364
4344.513	2486.647
4358.428	2488.940
4372.340	2491.232
4386.233	2493.514
4400.087	2495.776
4413.883	2498.010
4427.602	2500.204
4441.225	2502.351
4454.733	2504.441
4468.108	2506.463
4481.330	2508.409
4494.381	2510.268
4507.240	2512.032
4519.895	2513.694
4532.345	2515.255
4544.595	2516.719
4556.650	2518.092
4568.515	2519.378
4580.194	2520.581
4591.691	2521.705
4603.012	2522.755
4614.161	2523.735
4625.142	2524.650
4635.961	2525.504
4646.622	2526.301
4657.128	2527.046
4667.487	2527.743
4677.701	2528.396
4687.775	2529.010
4697.714	2529.590
4707.523	2530.139
4717.207	2530.662
4726.769	2531.164
4736.215	2531.648
4745.549	2532.120
4754.775	2532.583
4763.899	2533.042
4772.926	2533.501
4781.858	2533.965
4790.703	2534.438
4799.463	2534.925
4808.144	2535.429
4816.750	2535.955
4825.285	2536.509
4833.755	2537.093
4842.165	2537.712
4850.518	2538.371
4858.819	2539.075
4867.073	2539.826
4875.285	2540.631
4883.459	2541.493
4891.600	2542.417
4899.711	2543.404
4907.795	2544.454
4915.853	2545.565
4923.887	2546.737
4931.900	2547.970
4939.894	2549.261
4947.869	2550.610
4955.829	2552.016
4963.776	2553.478
4971.711	2554.995
4979.637	2556.566
4987.555	2558.190
4995.468	2559.866
5003.378	2561.594
5011.286	2563.372
5019.195	2565.199
5027.106	2567.075
5035.022	2568.998
5042.945	2570.967
5050.877	2572.982
5058.820	2575.042
5066.775	2577.145
5074.745	2579.291
5082.732	2581.478
5090.738	2583.706
5098.765	2585.973
5106.814	2588.280
5114.889	2590.624
5122.990	2593.006
5131.121	2595.423
5139.282	2597.875
5147.476	2600.361
5155.700	2602.878
5163.948	2605.422
5172.212	2607.989
5180.487	2610.574
5188.765	2613.174
5197.038	2615.783
5205.302	2618.398
5213.548	2621.014
5221.771	2623.627
5229.962	2626.233
5238.116	2628.827
5246.227	2631.406
5254.286	2633.964
5262.287	2636.498
5270.224	2639.003
5278.089	2641.476
5285.876	2643.911
5293.579	2646.305
5301.189	2648.653
5308.702	2650.951
5316.109	2653.195
5323.405	2655.380
5330.581	2657.502
5337.632	2659.558
5344.551	2661.542
5351.331	2663.450
5357.965	2665.278
5364.447	2667.022
5370.770	2668.677
5376.926	2670.240
5382.909	2671.706
5388.710	2673.086
5394.316	2674.403
5399.716	2675.681
5404.897	2676.947
5409.847	2678.222
5414.554	2679.534
5419.006	2680.906
5423.190	2682.362
5427.095	2683.927
5430.708	2685.626
5434.016	2687.483
5437.009	2689.522
5439.674	2691.769
5441.998	2694.248
5443.969	2696.983
5445.576	2699.999
5446.809	2703.317
5447.692	2706.929
5448.273	2710.806
5448.597	2714.920
5448.709	2719.243
5448.656	2723.746
