X	Y
33.067	11.250
33.090	11.209
33.117	11.169
33.148	11.130
33.183	11.092
33.222	11.054
33.264	11.017
33.310	10.980
33.358	10.944
33.410	10.908
33.465	10.873
33.523	10.837
33.583	10.802
33.646	10.766
33.710	10.731
33.777	10.695
33.846	10.659
33.916	10.623
33.988	10.586
34.061	10.549
34.135	10.511
34.210	10.473
34.286	10.434
34.363	10.394
34.440	10.353
34.518	10.312
34.595	10.269
34.673	10.225
34.750	10.180
34.827	10.133
34.903	10.086
34.980	10.037
35.055	9.987
35.131	9.936
35.206	9.884
35.281	9.831
35.356	9.778
35.430	9.723
35.504	9.668
35.578	9.612
35.652	9.556
35.725	9.499
35.798	9.441
35.871	9.383
35.944	9.325
36.016	9.266
36.088	9.207
36.161	9.148
36.232	9.088
36.304	9.029
36.376	8.969
36.447	8.910
36.519	8.850
36.590	8.791
36.661	8.732
36.732	8.673
36.803	8.615
36.874	8.557
36.945	8.499
37.016	8.442
37.087	8.385
37.157	8.329
37.228	8.273
37.299	8.219
37.370	8.165
37.440	8.112
37.511	8.059
37.582	8.008
37.653	7.957
37.724	7.907
37.794	7.857
37.865	7.808
37.937	7.760
38.008	7.713
38.079	7.665
38.150	7.619
38.222	7.573
38.293	7.527
38.365	7.482
38.437	7.437
38.509	7.393
38.581	7.349
38.653	7.305
38.726	7.262
38.798	7.219
38.871	7.176
38.944	7.134
39.017	7.091
39.091	7.049
39.164	7.007
39.238	6.965
39.312	6.923
39.387	6.881
39.461	6.839
39.536	6.797
39.611	6.755
39.687	6.713
39.763	6.671
39.839	6.629
39.915	6.587
39.992	6.545
40.068	6.503
40.146	6.460
40.223	6.418
40.300	6.376
40.378	6.334
40.456	6.293
40.534	6.251
40.612	6.210
40.690	6.169
40.769	6.129
40.847	6.089
40.926	6.050
41.004	6.011
41.083	5.973
41.162	5.935
41.240	5.898
41.319	5.861
41.398	5.826
41.476	5.791
41.555	5.756
41.633	5.723
41.712	5.691
41.790	5.659
41.868	5.629
41.946	5.600
42.024	5.571
42.101	5.544
42.179	5.518
42.256	5.493
42.333	5.470
42.410	5.447
42.486	5.426
42.562	5.407
42.638	5.389
42.713	5.372
42.788	5.357
42.862	5.344
42.935	5.333
43.007	5.324
43.079	5.316
43.149	5.311
43.219	5.307
43.287	5.306
43.354	5.307
43.420	5.310
43.485	5.316
43.548	5.324
43.610	5.335
43.670	5.348
43.729	5.365
43.786	5.383
43.841	5.405
43.894	5.430
43.945	5.458
43.994	5.488
44.042	5.522
44.087	5.559
44.130	5.600
44.171	5.643
44.209	5.689
44.246	5.739
44.281	5.791
44.314	5.845
44.345	5.902
44.375	5.962
44.402	6.024
44.428	6.088
44.452	6.154
44.475	6.222
44.496	6.292
44.516	6.364
44.534	6.438
44.551	6.513
44.566	6.590
44.581	6.668
44.593	6.747
44.605	6.828
44.616	6.909
44.625	6.992
44.633	7.075
44.641	7.159
44.647	7.244
44.653	7.330
44.657	7.415
44.661	7.501
44.664	7.588
44.666	7.674
44.668	7.761
44.668	7.848
44.668	7.935
44.667	8.022
44.665	8.109
44.662	8.196
44.658	8.283
44.653	8.370
44.648	8.457
44.641	8.543
44.634	8.629
44.626	8.715
44.617	8.801
44.607	8.886
44.596	8.971
44.584	9.055
44.571	9.139
44.557	9.222
44.542	9.304
44.526	9.386
44.510	9.467
44.492	9.548
44.473	9.628
44.453	9.706
44.433	9.784
44.411	9.862
44.388	9.938
44.364	10.013
44.340	10.087
44.314	10.160
44.287	10.232
44.259	10.302
44.230	10.372
44.200	10.440
44.169	10.508
44.136	10.574
44.103	10.639
44.068	10.703
44.033	10.766
43.996	10.828
43.958	10.888
43.919	10.948
43.878	11.006
43.837	11.064
43.794	11.120
43.750	11.175
43.705	11.229
43.658	11.283
43.611	11.335
43.562	11.386
43.512	11.435
43.460	11.484
43.407	11.532
43.353	11.579
43.298	11.624
43.241	11.669
43.183	11.713
43.124	11.755
43.063	11.797
43.001	11.837
42.938	11.877
42.873	11.916
42.807	11.953
42.740	11.990
42.671	12.026
42.602	12.061
42.531	12.095
42.458	12.129
42.385	12.161
42.310	12.193
42.234	12.224
42.157	12.254
42.079	12.284
42.000	12.313
41.919	12.342
41.837	12.369
41.755	12.397
41.671	12.423
41.586	12.449
41.500	12.475
41.412	12.500
41.324	12.524
41.235	12.549
41.145	12.572
41.054	12.596
40.961	12.618
40.868	12.641
40.774	12.663
40.679	12.685
40.583	12.707
40.485	12.728
40.387	12.749
40.289	12.770
40.189	12.791
40.089	12.811
39.988	12.831
39.886	12.851
39.784	12.871
39.681	12.890
39.578	12.909
39.474	12.928
39.370	12.947
39.266	12.965
39.162	12.983
39.058	13.001
38.953	13.018
38.849	13.035
38.744	13.052
38.640	13.068
38.536	13.084
38.432	13.100
38.329	13.115
38.226	13.130
38.123	13.145
38.021	13.159
37.919	13.173
37.818	13.187
37.718	13.200
37.618	13.213
37.519	13.226
37.421	13.238
37.324	13.250
37.228	13.261
37.133	13.272
37.039	13.283
36.946	13.293
36.855	13.303
36.764	13.312
36.675	13.321
36.588	13.330
36.502	13.338
36.417	13.345
36.334	13.352
36.252	13.359
36.172	13.365
36.092	13.371
36.014	13.377
35.937	13.381
35.861	13.385
35.786	13.389
35.711	13.392
35.638	13.395
35.565	13.397
35.493	13.398
35.421	13.399
35.350	13.399
35.279	13.398
35.209	13.397
35.140	13.395
35.070	13.392
35.001	13.389
34.932	13.385
34.862	13.380
34.793	13.374
34.724	13.368
34.655	13.361
34.586	13.353
34.516	13.345
34.446	13.335
34.375	13.325
34.305	13.314
34.234	13.302
34.164	13.289
34.094	13.275
34.024	13.260
33.955	13.244
33.887	13.227
33.821	13.209
33.756	13.190
33.692	13.170
33.630	13.149
33.570	13.127
33.513	13.103
33.457	13.078
33.405	13.052
33.355	13.025
33.308	12.997
33.264	12.967
33.224	12.936
33.188	12.903
33.155	12.869
33.126	12.834
33.101	12.797
33.081	12.758
33.065	12.719
33.052	12.678
33.043	12.637
33.037	12.596
33.033	12.554
33.032	12.512
33.033	12.470
33.035	12.429
33.039	12.388
33.044	12.349
33.049	12.310
33.055	12.273
33.061	12.238
33.066	12.205
33.071	12.173
33.075	12.144
33.078	12.116
33.080	12.089
33.081	12.063
33.082	12.037
33.081	12.011
33.079	11.984
33.077	11.957
33.073	11.928
33.068	11.898
33.062	11.865
33.055	11.831
33.048	11.795
33.040	11.757
33.033	11.717
33.026	11.677
33.020	11.636
33.016	11.593
33.013	11.550
33.012	11.507
33.013	11.464
33.017	11.420
33.024	11.377
33.035	11.334
33.049	11.291
33.067	11.250
